Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.45575E-4,0.014557475,0.271800028,1,0,0
1.60051E-4,0.030562603,0.294410162,0.999565217,0,0
1.94429E-4,0.067478386,0.345330298,0.998695652,0,0
2.10234E-4,0.10894234,0.367489677,0.997826087,0,0.00952381
2.16562E-4,0.216625062,0.376151669,0.995652174,0.002364066,0.00952381
2.19012E-4,0.303844456,0.379472651,0.993913043,0.002364066,0.00952381
2.28846E-4,0.416898143,0.392627259,0.99173913,0.002364066,0.00952381
2.33318E-4,0.509772565,0.398515687,0.99,0.002364066,0.00952381
2.34904E-4,0.603419723,0.400591408,0.98826087,0.002364066,0.00952381
2.3759E-4,0.721352098,0.404088992,0.986086957,0.007092199,0.019047619
2.4014E-4,0.769307524,0.40739053,0.985217391,0.007092199,0.019047619
2.40228E-4,0.817349333,0.407503727,0.984347826,0.007092199,0.019047619
2.42224E-4,0.914026708,0.410074998,0.982608696,0.009456265,0.019047619
2.43651E-4,1.011271294,0.411906062,0.980869565,0.009456265,0.019047619
2.44486E-4,1.108880746,0.412975265,0.979130435,0.009456265,0.019047619
2.45239E-4,1.206882994,0.413937858,0.977391304,0.011820331,0.019047619
2.45957E-4,1.305154384,0.414854188,0.975652174,0.014184397,0.019047619
2.46836E-4,1.403788308,0.415973229,0.973913043,0.014184397,0.019047619
2.48302E-4,1.502939489,0.417835282,0.972173913,0.014184397,0.028571429
2.49627E-4,1.751838201,0.419513795,0.967826087,0.016548463,0.038095238
2.50545E-4,2.00203373,0.420673691,0.963478261,0.01891253,0.038095238
2.52275E-4,2.25352608,0.422853331,0.959130435,0.01891253,0.038095238
2.53196E-4,2.506264329,0.424010002,0.954782609,0.01891253,0.038095238
2.55162E-4,2.760516693,0.426472104,0.950434783,0.021276596,0.038095238
2.56754E-4,3.016772172,0.4284583,0.946086957,0.021276596,0.038095238
2.57771E-4,3.27427499,0.42972377,0.94173913,0.021276596,0.047619048
2.58827E-4,3.5068839,0.431034378,0.937826087,0.021276596,0.047619048
2.60181E-4,3.766189405,0.432709684,0.933478261,0.023640662,0.066666667
2.61821E-4,4.00126024,0.434733555,0.929565217,0.028368794,0.066666667
2.62787E-4,4.263721138,0.435922556,0.925217391,0.028368794,0.076190476
2.64618E-4,4.501319661,0.438167696,0.921304348,0.030732861,0.076190476
2.65965E-4,4.766606057,0.4398142,0.916956522,0.037825059,0.085714286
2.66798E-4,5.006419498,0.440830148,0.913043478,0.047281324,0.085714286
2.68188E-4,5.274142148,0.442520885,0.908695652,0.047281324,0.095238095
2.69132E-4,5.515950668,0.443666031,0.904782609,0.047281324,0.104761905
2.70236E-4,5.758827093,0.445002969,0.900869565,0.052009456,0.104761905
2.71686E-4,6.002763002,0.446753496,0.896956522,0.056737589,0.104761905
2.72753E-4,6.275022765,0.448038024,0.892608696,0.056737589,0.104761905
2.73873E-4,6.521229816,0.449384217,0.888695652,0.059101655,0.104761905
2.75182E-4,6.768224838,0.450952015,0.884782609,0.061465721,0.114285714
2.7663E-4,7.01657084,0.452681547,0.880869565,0.066193853,0.114285714
2.77679E-4,7.266075674,0.453930612,0.876956522,0.06855792,0.114285714
2.7886E-4,7.516606529,0.455334282,0.873043478,0.070921986,0.114285714
2.80369E-4,7.768584105,0.457122461,0.869130435,0.070921986,0.114285714
2.81803E-4,8.021750695,0.45881584,0.865217391,0.070921986,0.114285714
2.8302E-4,8.276112414,0.460248658,0.861304348,0.070921986,0.114285714
2.83795E-4,8.502834002,0.461158907,0.857826087,0.070921986,0.114285714
2.85361E-4,8.752647407,0.462994364,0.853913043,0.075650118,0.123809524
2.86752E-4,9.016454391,0.464619458,0.85,0.080378251,0.133333333
2.88104E-4,9.2750854,0.466194114,0.846086957,0.080378251,0.142857143
2.89146E-4,9.506063117,0.467405415,0.842608696,0.082742317,0.142857143
2.91971E-4,9.767665963,0.470672669,0.838695652,0.089834515,0.142857143
2.93405E-4,10.002044549,0.472324131,0.835217391,0.094562648,0.142857143
2.95292E-4,10.267142496,0.474489455,0.831304348,0.094562648,0.142857143
2.96113E-4,10.503879627,0.475428398,0.827826087,0.094562648,0.171428571
2.98093E-4,10.771407859,0.477686804,0.823913043,0.101654846,0.180952381
3.00124E-4,11.010764133,0.479993088,0.820434783,0.106382979,0.19047619
3.01362E-4,11.25156363,0.481393784,0.816956522,0.108747045,0.19047619
3.0299E-4,11.523419663,0.483229681,0.813043478,0.108747045,0.19047619
3.04349E-4,11.766288043,0.484757496,0.809565217,0.111111111,0.19047619
3.06171E-4,12.010506401,0.486799244,0.806086957,0.113475177,0.2
3.06796E-4,12.255788916,0.487497627,0.802608696,0.115839243,0.2
3.0806E-4,12.501976729,0.488907174,0.799130435,0.120567376,0.2
3.11007E-4,12.780761567,0.492178114,0.795217391,0.127659574,0.219047619
3.12721E-4,13.030188376,0.494070918,0.79173913,0.132387707,0.219047619
3.13795E-4,13.280793468,0.495253284,0.78826087,0.132387707,0.219047619
3.14791E-4,13.500966133,0.496347638,0.785217391,0.134751773,0.219047619
3.15866E-4,13.753241385,0.497526671,0.78173913,0.134751773,0.219047619
3.17215E-4,14.00647918,0.499001339,0.77826087,0.134751773,0.219047619
3.18768E-4,14.260996717,0.500692884,0.774782609,0.139479905,0.219047619
3.20945E-4,14.517140512,0.503056443,0.771304348,0.144208038,0.219047619
3.22103E-4,14.774363729,0.504307838,0.767826087,0.146572104,0.228571429
3.23125E-4,15.000284679,0.505410725,0.764782609,0.153664303,0.228571429
3.25733E-4,15.260069914,0.508213078,0.761304348,0.158392435,0.247619048
3.27004E-4,15.521173614,0.509572719,0.757826087,0.158392435,0.247619048
3.2828E-4,15.750719949,0.510934259,0.754782609,0.158392435,0.257142857
3.28953E-4,16.013656222,0.511651521,0.751304348,0.158392435,0.257142857
3.31279E-4,16.278150861,0.514120126,0.747826087,0.163120567,0.257142857
3.3239E-4,16.510496068,0.515294895,0.744782609,0.163120567,0.257142857
3.34877E-4,16.777707041,0.517914045,0.741304348,0.1678487,0.257142857
3.36292E-4,17.012621617,0.519398354,0.73826087,0.170212766,0.257142857
3.38002E-4,17.282445393,0.521185863,0.734782609,0.174940898,0.257142857
3.39722E-4,17.519699816,0.522976227,0.73173913,0.174940898,0.257142857
3.41658E-4,17.758441604,0.524983978,0.728695652,0.174940898,0.257142857
3.43951E-4,18.032925044,0.527351841,0.725217391,0.174940898,0.266666667
3.44669E-4,18.273976123,0.5280901,0.722173913,0.174940898,0.266666667
3.459E-4,18.515722135,0.52935485,0.719130435,0.174940898,0.276190476
3.46912E-4,18.758297818,0.530391521,0.716086957,0.179669031,0.276190476
3.47691E-4,19.001439418,0.531187311,0.713043478,0.179669031,0.276190476
3.49184E-4,19.280492779,0.532709973,0.709565217,0.179669031,0.276190476
3.50372E-4,19.525490946,0.533918205,0.706521739,0.179669031,0.276190476
3.52307E-4,19.771545166,0.535879044,0.703478261,0.179669031,0.285714286
3.53312E-4,20.0185286,0.536894389,0.700434783,0.182033097,0.285714286
3.54449E-4,20.26627146,0.538039775,0.697391304,0.182033097,0.295238095
3.55603E-4,20.514857833,0.539199675,0.694347826,0.182033097,0.295238095
3.57284E-4,20.764633194,0.54088475,0.691304348,0.184397163,0.295238095
3.57761E-4,21.014897296,0.541361895,0.68826087,0.184397163,0.295238095
3.59148E-4,21.265904531,0.542744895,0.685217391,0.184397163,0.295238095
3.60698E-4,21.518116628,0.54428673,0.682173913,0.184397163,0.295238095
3.6185E-4,21.771158221,0.545429332,0.679130435,0.186761229,0.295238095
3.62687E-4,22.024799628,0.546257938,0.676086957,0.189125296,0.295238095
3.64013E-4,22.279049152,0.547567077,0.673043478,0.191489362,0.304761905
3.64402E-4,22.534005988,0.547949639,0.67,0.193853428,0.304761905
3.65443E-4,22.753011291,0.54897439,0.667391304,0.19858156,0.304761905
3.66483E-4,23.009281431,0.549994652,0.664347826,0.203309693,0.314285714
3.67344E-4,23.266152059,0.550838268,0.661304348,0.205673759,0.314285714
3.67916E-4,23.523464047,0.551397969,0.65826087,0.208037825,0.314285714
3.68815E-4,23.781368806,0.552275352,0.655217391,0.210401891,0.314285714
3.70476E-4,24.00320379,0.553892887,0.652608696,0.212765957,0.333333333
3.7092E-4,24.262640658,0.554324637,0.649565217,0.212765957,0.333333333
3.72027E-4,24.522608013,0.555397765,0.646521739,0.21749409,0.333333333
3.72643E-4,24.783286164,0.555994037,0.643478261,0.219858156,0.333333333
3.73077E-4,25.007048769,0.556413993,0.640869565,0.222222222,0.333333333
3.74024E-4,25.268471839,0.557328755,0.637826087,0.224586288,0.333333333
3.75277E-4,25.530818622,0.558535274,0.634782609,0.229314421,0.333333333
3.75869E-4,25.756221166,0.559104202,0.632173913,0.229314421,0.333333333
3.76884E-4,26.019677652,0.560077868,0.629130435,0.231678487,0.352380952
3.79096E-4,26.284313216,0.562193466,0.626086957,0.236406619,0.352380952
3.8002E-4,26.512250124,0.563073473,0.623478261,0.236406619,0.352380952
3.80943E-4,26.778642614,0.563952038,0.620434783,0.236406619,0.352380952
3.81314E-4,27.007330298,0.564304231,0.617826087,0.236406619,0.352380952
3.82209E-4,27.274618052,0.565152902,0.614782609,0.238770686,0.352380952
3.83265E-4,27.504268283,0.566152314,0.612173913,0.241134752,0.352380952
3.84538E-4,27.773233608,0.567353898,0.609130435,0.241134752,0.352380952
3.85337E-4,28.004240799,0.568106186,0.606521739,0.241134752,0.371428571
3.87283E-4,28.27478972,0.569933763,0.603478261,0.243498818,0.371428571
3.88068E-4,28.507440492,0.570668102,0.600869565,0.24822695,0.371428571
3.88336E-4,28.77919444,0.57091919,0.597826087,0.24822695,0.371428571
3.89616E-4,29.012650953,0.572114567,0.595217391,0.250591017,0.371428571
3.90942E-4,29.285979812,0.573348469,0.592173913,0.255319149,0.380952381
3.91749E-4,29.52081738,0.574097693,0.589565217,0.257683215,0.380952381
3.92923E-4,29.756310851,0.575186211,0.586956522,0.262411348,0.380952381
3.93858E-4,30.031884899,0.576050366,0.583913043,0.271867612,0.380952381
3.9461E-4,30.268485734,0.57674459,0.581304348,0.276595745,0.380952381
3.95756E-4,30.505625679,0.577800476,0.578695652,0.281323877,0.380952381
3.96807E-4,30.783175229,0.578765617,0.575652174,0.290780142,0.380952381
3.97744E-4,31.021574606,0.579624774,0.573043478,0.293144208,0.380952381
3.98488E-4,31.260559774,0.580305921,0.570434783,0.295508274,0.380952381
3.99184E-4,31.539754562,0.580942023,0.567391304,0.29787234,0.380952381
4.00641E-4,31.779646879,0.58227014,0.564782609,0.29787234,0.380952381
4.01007E-4,32.020142375,0.582602965,0.562173913,0.300236407,0.380952381
4.01888E-4,32.261076639,0.583403716,0.559565217,0.302600473,0.380952381
4.02543E-4,32.502390492,0.583997842,0.556956522,0.304964539,0.380952381
4.03666E-4,32.784561069,0.585014526,0.553913043,0.314420804,0.380952381
4.04165E-4,33.026920007,0.585465054,0.551304348,0.314420804,0.380952381
4.05053E-4,33.269687593,0.586266362,0.548695652,0.31678487,0.380952381
4.05751E-4,33.512867694,0.586894836,0.546086957,0.321513002,0.380952381
4.06734E-4,33.756728047,0.587778781,0.543478261,0.326241135,0.380952381
4.07454E-4,34.001054172,0.588424908,0.540869565,0.326241135,0.380952381
4.07967E-4,34.286499503,0.588885308,0.537826087,0.326241135,0.380952381
4.08478E-4,34.531471466,0.589341985,0.535217391,0.330969267,0.380952381
4.09261E-4,34.776927648,0.590042684,0.532608696,0.333333333,0.380952381
4.1006E-4,35.022807368,0.590755793,0.53,0.333333333,0.380952381
4.10804E-4,35.269092063,0.591418542,0.527391304,0.333333333,0.380952381
4.11668E-4,35.515823276,0.592186935,0.524782609,0.340425532,0.380952381
4.11963E-4,35.762920791,0.592448405,0.522173913,0.342789598,0.380952381
4.12602E-4,36.010347927,0.593016198,0.519565217,0.349881797,0.380952381
4.13754E-4,36.258280347,0.594035663,0.516956522,0.354609929,0.380952381
4.14491E-4,36.506704821,0.594687755,0.514347826,0.354609929,0.380952381
4.15208E-4,36.755753155,0.595320294,0.51173913,0.359338061,0.380952381
4.16305E-4,37.005332093,0.596286215,0.509130435,0.359338061,0.4
4.16976E-4,37.25544239,0.596876236,0.506521739,0.359338061,0.4
4.18087E-4,37.505997082,0.597850894,0.503913043,0.361702128,0.4
4.19094E-4,37.757111469,0.598732434,0.501304348,0.361702128,0.4
4.20631E-4,38.009164475,0.600073731,0.498695652,0.361702128,0.4
4.21126E-4,38.261751413,0.600504643,0.496086957,0.361702128,0.40952381
4.21541E-4,38.514583016,0.600865907,0.493478261,0.364066194,0.40952381
4.22987E-4,38.768115678,0.602121647,0.490869565,0.368794326,0.40952381
4.23512E-4,39.022048283,0.602576469,0.48826087,0.371158392,0.419047619
4.24455E-4,39.276395646,0.603392057,0.485652174,0.371158392,0.419047619
4.25198E-4,39.531312905,0.60403319,0.483043478,0.373522459,0.419047619
4.26081E-4,39.786691526,0.60479404,0.480434783,0.373522459,0.419047619
4.2698E-4,40.000035722,0.605567988,0.47826087,0.375886525,0.419047619
4.28051E-4,40.256569634,0.606487161,0.475652174,0.378250591,0.419047619
4.29056E-4,40.513740704,0.607348173,0.473043478,0.380614657,0.419047619
4.30266E-4,40.77149493,0.608381421,0.470434783,0.380614657,0.419047619
4.32064E-4,41.030345937,0.609912749,0.467826087,0.380614657,0.419047619
4.33297E-4,41.289954916,0.610959044,0.465217391,0.382978723,0.419047619
4.33672E-4,41.506685759,0.611277058,0.463043478,0.382978723,0.419047619
4.34894E-4,41.767256775,0.612310478,0.460434783,0.38534279,0.428571429
4.35801E-4,42.028527456,0.613075799,0.457826087,0.387706856,0.428571429
4.37779E-4,42.290751694,0.614739991,0.455217391,0.394799054,0.428571429
4.39067E-4,42.510097545,0.615820047,0.453043478,0.394799054,0.428571429
4.39849E-4,42.773841223,0.616473355,0.450434783,0.397163121,0.428571429
4.41693E-4,43.038544873,0.61801179,0.447826087,0.397163121,0.428571429
4.42812E-4,43.259614539,0.618941802,0.445652174,0.397163121,0.428571429
4.43271E-4,43.525447166,0.619322739,0.443043478,0.399527187,0.438095238
4.43689E-4,43.79152441,0.619669302,0.440434783,0.399527187,0.438095238
4.45079E-4,44.013730482,0.620819231,0.43826087,0.399527187,0.438095238
4.45694E-4,44.280995953,0.62132692,0.435652174,0.401891253,0.438095238
4.46678E-4,44.504166734,0.622137695,0.433478261,0.404255319,0.438095238
4.48052E-4,44.772646768,0.623267049,0.430869565,0.406619385,0.438095238
4.49307E-4,45.04195383,0.624296543,0.42826087,0.411347518,0.438095238
4.49946E-4,45.2667505,0.624818924,0.426086957,0.411347518,0.438095238
4.51429E-4,45.5373079,0.626028837,0.423478261,0.413711584,0.438095238
4.52531E-4,45.763314087,0.626925944,0.421304348,0.418439716,0.438095238
4.54267E-4,46.035461749,0.628334765,0.418695652,0.423167849,0.438095238
4.54653E-4,46.262707817,0.628647249,0.416521739,0.425531915,0.447619048
4.55604E-4,46.535763663,0.629415655,0.413913043,0.425531915,0.447619048
4.56227E-4,46.763714455,0.629918041,0.41173913,0.430260047,0.447619048
4.57222E-4,47.037718115,0.630719441,0.409130435,0.432624113,0.457142857
4.58817E-4,47.266780505,0.632000997,0.406956522,0.43498818,0.457142857
4.59617E-4,47.542387639,0.632641869,0.404347826,0.437352246,0.457142857
4.60162E-4,47.772332393,0.633077398,0.402173913,0.442080378,0.457142857
4.61072E-4,48.002693994,0.633804195,0.4,0.442080378,0.457142857
4.63212E-4,48.280062451,0.635507722,0.397391304,0.444444444,0.466666667
4.63832E-4,48.511872996,0.63599971,0.395217391,0.446808511,0.466666667
4.65255E-4,48.790726599,0.637126891,0.392608696,0.449172577,0.466666667
4.6581E-4,49.012678045,0.637565486,0.390434783,0.451536643,0.466666667
4.66442E-4,49.256665707,0.638064361,0.38826087,0.456264775,0.476190476
4.67792E-4,49.536984106,0.639127278,0.385652174,0.458628842,0.476190476
4.69244E-4,49.771318344,0.640266806,0.383478261,0.458628842,0.485714286
4.70366E-4,50.006364894,0.641145463,0.381304348,0.46572104,0.485714286
4.71659E-4,50.28287136,0.642154795,0.378695652,0.468085106,0.485714286
4.72338E-4,50.525062618,0.642683543,0.376521739,0.470449173,0.495238095
4.74063E-4,50.761515281,0.644024646,0.374347826,0.475177305,0.495238095
4.74737E-4,51.046162327,0.644546586,0.37173913,0.477541371,0.495238095
4.75073E-4,51.283651023,0.644806978,0.369565217,0.479905437,0.495238095
4.75655E-4,51.521408697,0.645256788,0.367391304,0.479905437,0.495238095
4.76056E-4,51.759336501,0.64556672,0.365217391,0.479905437,0.495238095
4.7685E-4,52.045148873,0.646179443,0.362608696,0.48463357,0.495238095
4.77401E-4,52.283745933,0.646604181,0.360434783,0.489361702,0.495238095
4.78193E-4,52.522651493,0.647213047,0.35826087,0.489361702,0.495238095
4.78831E-4,52.761962069,0.647703192,0.356086957,0.494089835,0.514285714
4.79988E-4,53.001749248,0.648590345,0.353913043,0.501182033,0.514285714
4.81083E-4,53.290196879,0.649427727,0.351304348,0.508274232,0.514285714
4.81859E-4,53.530925441,0.650019625,0.349130435,0.510638298,0.514285714
4.82443E-4,53.771978967,0.650464775,0.346956522,0.513002364,0.514285714
4.83012E-4,54.013370829,0.650897634,0.344782609,0.513002364,0.514285714
4.8349E-4,54.254982315,0.651261485,0.342608696,0.51536643,0.514285714
4.84201E-4,54.545425919,0.651800983,0.34,0.517730496,0.514285714
4.85679E-4,54.7878546,0.652920913,0.337826087,0.520094563,0.514285714
4.85876E-4,55.030775815,0.653069905,0.335652174,0.524822695,0.514285714
4.87532E-4,55.274212052,0.654318945,0.333478261,0.529550827,0.514285714
4.88424E-4,55.518274144,0.654990047,0.331304348,0.53427896,0.533333333
4.89046E-4,55.762693183,0.655457627,0.329130435,0.539007092,0.542857143
4.89603E-4,56.007382958,0.655875577,0.326956522,0.543735225,0.542857143
4.90017E-4,56.252309291,0.656185779,0.324782609,0.546099291,0.542857143
4.91372E-4,56.546702909,0.657199053,0.322173913,0.550827423,0.552380952
4.92126E-4,56.792610792,0.657761817,0.32,0.550827423,0.561904762
4.93656E-4,57.039108263,0.658900538,0.317826087,0.553191489,0.561904762
4.94078E-4,57.286060017,0.659214182,0.315652174,0.557919622,0.561904762
4.95035E-4,57.533434766,0.659924286,0.313478261,0.560283688,0.561904762
4.95621E-4,57.781156168,0.660358356,0.311304348,0.562647754,0.561904762
4.96144E-4,58.0291462,0.66074515,0.309130435,0.56501182,0.561904762
4.9726E-4,58.277656865,0.661569124,0.306956522,0.56501182,0.561904762
4.98668E-4,58.526626105,0.662605218,0.304782609,0.56501182,0.561904762
4.99761E-4,58.776273956,0.663408256,0.302608696,0.56501182,0.561904762
5.01026E-4,59.026634891,0.664334168,0.300434783,0.569739953,0.571428571
5.02029E-4,59.277510951,0.665067285,0.29826087,0.569739953,0.59047619
5.02833E-4,59.528746392,0.665653403,0.296086957,0.576832151,0.6
5.03272E-4,59.77829511,0.665973102,0.293913043,0.579196217,0.6
5.04566E-4,60.0323418,0.666913108,0.29173913,0.58392435,0.60952381
5.05421E-4,60.284918787,0.667533191,0.289565217,0.58392435,0.60952381
5.05975E-4,60.531541375,0.667934571,0.287391304,0.58392435,0.60952381
5.06713E-4,60.790964919,0.668468007,0.285217391,0.586288416,0.619047619
5.07618E-4,61.044672198,0.669120933,0.283043478,0.586288416,0.619047619
5.08326E-4,61.298748663,0.66963109,0.280869565,0.586288416,0.628571429
5.09098E-4,61.502259101,0.670186645,0.279130435,0.586288416,0.628571429
5.09415E-4,61.75689711,0.670414085,0.276956522,0.588652482,0.628571429
5.09773E-4,62.011689202,0.670670785,0.274782609,0.591016548,0.628571429
5.1019E-4,62.266651572,0.670970428,0.272608696,0.593380615,0.628571429
5.10391E-4,62.521807189,0.671114326,0.270434783,0.598108747,0.628571429
5.10727E-4,62.777100378,0.671354941,0.26826087,0.598108747,0.628571429
5.11237E-4,63.032618572,0.671719626,0.266086957,0.598108747,0.628571429
5.12108E-4,63.288446397,0.672342476,0.263913043,0.602836879,0.628571429
5.12846E-4,63.544795337,0.672868714,0.26173913,0.602836879,0.647619048
5.13511E-4,63.750094035,0.673342506,0.26,0.607565012,0.647619048
5.13947E-4,64.006982686,0.673652604,0.257826087,0.607565012,0.647619048
5.14906E-4,64.250325135,0.674333777,0.255652174,0.612293144,0.647619048
5.15355E-4,64.52195557,0.674652072,0.253478261,0.61465721,0.666666667
5.15952E-4,64.779784603,0.675074964,0.251304348,0.61465721,0.666666667
5.16664E-4,65.037929895,0.675578339,0.249130435,0.619385343,0.666666667
5.1695E-4,65.254093229,0.675780788,0.246956522,0.624113475,0.666666667
5.17675E-4,65.5033503,0.676292214,0.245217391,0.631205674,0.676190476
5.18023E-4,65.762281373,0.676537785,0.243043478,0.635933806,0.676190476
5.18503E-4,66.02149337,0.676875881,0.240869565,0.635933806,0.676190476
5.19419E-4,66.280968845,0.677520057,0.238695652,0.640661939,0.676190476
5.2002E-4,66.540870346,0.677942166,0.236521739,0.640661939,0.685714286
5.2043E-4,66.801015957,0.678229866,0.234347826,0.643026005,0.685714286
5.20923E-4,67.009318656,0.678575534,0.232608696,0.645390071,0.685714286
5.21633E-4,67.269942532,0.679072299,0.230434783,0.645390071,0.695238095
5.22154E-4,67.521103929,0.679436285,0.22826087,0.647754137,0.695238095
5.23093E-4,67.79225972,0.680091483,0.226086957,0.65248227,0.714285714
5.23528E-4,68.001629137,0.680394312,0.224347826,0.654846336,0.714285714
5.23915E-4,68.263503674,0.680663942,0.222173913,0.654846336,0.714285714
5.24753E-4,68.52578623,0.68124634,0.22,0.657210402,0.723809524
5.25228E-4,68.788302982,0.681575973,0.217826087,0.657210402,0.733333333
5.25468E-4,69.050993584,0.681742461,0.215652174,0.661938534,0.733333333
5.25996E-4,69.261341234,0.682108551,0.213913043,0.661938534,0.733333333
5.26871E-4,69.524614622,0.682713988,0.21173913,0.661938534,0.752380952
5.27116E-4,69.788131495,0.682883125,0.209565217,0.661938534,0.752380952
5.27248E-4,70.051739847,0.682974358,0.207391304,0.669030733,0.752380952
