Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.02826E-4,0.020282647,0.360379443,1,0,0
2.42393E-4,0.044521981,0.413777804,0.999563128,0,0
2.58079E-4,0.070329838,0.433690824,0.999126256,0,0
2.64735E-4,0.122699482,0.441935694,0.998252512,0,0
2.6664E-4,0.202541211,0.444272832,0.996941896,0.002398082,0
2.67899E-4,0.309481289,0.445813004,0.995194408,0.007194245,0.009615385
2.69213E-4,0.416948901,0.447414638,0.99344692,0.007194245,0.009615385
2.69727E-4,0.524764744,0.448040394,0.991699432,0.009592326,0.009615385
2.70467E-4,0.605793597,0.448938698,0.990388816,0.009592326,0.009615385
2.72393E-4,0.714431263,0.45127238,0.988641328,0.009592326,0.009615385
2.72522E-4,0.768925361,0.451428382,0.987767584,0.009592326,0.009615385
2.73471E-4,0.823556364,0.452574034,0.98689384,0.011990408,0.009615385
2.74223E-4,0.905737234,0.453480209,0.985583224,0.014388489,0.009615385
2.75001E-4,1.015656537,0.454416767,0.983835736,0.016786571,0.009615385
2.76539E-4,1.126127692,0.456262774,0.982088248,0.016786571,0.009615385
2.76702E-4,1.209125494,0.456457656,0.980777632,0.019184652,0.009615385
2.77265E-4,1.319958567,0.457130977,0.979030144,0.019184652,0.009615385
2.77494E-4,1.403181345,0.457405337,0.977719528,0.021582734,0.009615385
2.7756E-4,1.514196121,0.457483945,0.97597204,0.021582734,0.009615385
2.787E-4,1.764627877,0.458845117,0.972040192,0.023980815,0.009615385
2.79691E-4,2.015895035,0.460025784,0.968108344,0.026378897,0.009615385
2.80717E-4,2.268142109,0.461244808,0.964176496,0.026378897,0.009615385
2.81849E-4,2.521302005,0.462586181,0.960244648,0.026378897,0.009615385
2.83081E-4,2.775587445,0.464043892,0.9563128,0.026378897,0.019230769
2.84557E-4,3.002675626,0.465783379,0.952817824,0.026378897,0.019230769
2.85436E-4,3.259248904,0.466817065,0.948885976,0.03117506,0.019230769
2.86551E-4,3.5167477,0.468125737,0.944954128,0.033573141,0.019230769
2.8749E-4,3.775116042,0.469223963,0.94102228,0.033573141,0.019230769
2.88135E-4,4.005439178,0.469977753,0.937527304,0.038369305,0.028846154
2.89708E-4,4.265649608,0.471811487,0.933595457,0.038369305,0.028846154
2.90424E-4,4.526663419,0.472644374,0.929663609,0.045563549,0.028846154
2.91376E-4,4.759418302,0.473749544,0.926168633,0.050359712,0.048076923
2.92388E-4,5.02203981,0.47492207,0.922236785,0.052757794,0.057692308
2.93221E-4,5.25633239,0.475884252,0.918741809,0.052757794,0.057692308
2.94132E-4,5.520528543,0.476935514,0.914809961,0.052757794,0.057692308
