variable,x,y
swa_2000lulc_2km,1.0,0.7264443039894104
swa_2000lulc_2km,2.0,0.5565282106399536
swa_2000lulc_2km,3.0,0.3903857469558716
swa_2000lulc_2km,7.0,0.6108413338661194
swa_2000lulc_2km,8.0,0.5604010820388794
swa_2000lulc_2km,9.0,0.7694580554962158
swa_2000lulc_2km,12.0,0.6108413338661194
swa_2000lulc_2km,13.0,0.8398382663726807
swa_2000lulc_2km,14.0,0.6108413338661194
swa_2000lulc_2km,15.0,0.6508100628852844
swa_2000lulc_2km,21.0,0.6108413338661194
swa_2000lulc_2km,25.0,0.6108413338661194
swa_2000lulc_2km,31.0,0.990425169467926
swa_2000lulc_2km,99.0,0.9997542500495911
