variable,x,y
swa_2000lulc_2km,1.0,0.7713322043418884
swa_2000lulc_2km,2.0,0.5284751057624817
swa_2000lulc_2km,3.0,0.3667490780353546
swa_2000lulc_2km,7.0,0.5736993551254272
swa_2000lulc_2km,8.0,0.5736993551254272
swa_2000lulc_2km,9.0,0.8361322283744812
swa_2000lulc_2km,12.0,0.5736993551254272
swa_2000lulc_2km,13.0,0.9453973770141602
swa_2000lulc_2km,14.0,0.5736993551254272
swa_2000lulc_2km,15.0,0.6234633922576904
swa_2000lulc_2km,21.0,0.5736993551254272
swa_2000lulc_2km,25.0,0.9882235527038574
swa_2000lulc_2km,31.0,0.5736993551254272
swa_2000lulc_2km,99.0,0.9998612999916077
