x,y,species_4 cloglog values
1.0,1.0,0.5885847
2.0,2.0,0.60964906
3.0,3.0,0.5742095
4.0,4.0,0.61213386
5.0,5.0,0.47175837
6.0,6.0,0.59107023
7.0,7.0,0.54357785
8.0,8.0,0.5797967
9.0,9.0,0.571188
10.0,10.0,0.5497129
11.0,11.0,0.37813866
12.0,12.0,0.54385644
13.0,13.0,0.57749236
14.0,14.0,0.5886647
15.0,15.0,0.5151211
16.0,16.0,0.8546272
17.0,17.0,0.4614774
18.0,18.0,0.4835843
19.0,19.0,0.5479956
20.0,20.0,0.53852165
21.0,21.0,0.5611871
22.0,22.0,0.6232063
23.0,23.0,0.5810888
24.0,24.0,0.52187765
25.0,25.0,0.502295
26.0,26.0,0.60459405
27.0,27.0,0.5922321
28.0,28.0,0.7017817
29.0,29.0,0.49457437
30.0,30.0,0.5323323
31.0,31.0,0.5523121
32.0,32.0,0.5591014
33.0,33.0,0.6045948
34.0,34.0,0.5699695
35.0,35.0,0.51368785
36.0,36.0,0.49073774
37.0,37.0,0.8129779
38.0,38.0,0.5179971
39.0,39.0,0.54219913
40.0,40.0,0.57157123
41.0,41.0,0.54274976
42.0,42.0,0.5144867
43.0,43.0,0.6491624
44.0,44.0,0.52284837
45.0,45.0,0.50112575
46.0,46.0,0.6002307
47.0,47.0,0.5877876
48.0,48.0,0.8402098
49.0,49.0,0.57788354
50.0,50.0,0.7620965
51.0,51.0,0.58999807
52.0,52.0,0.32747188
53.0,53.0,0.5456853
54.0,54.0,0.55959773
55.0,55.0,0.5920176
56.0,56.0,0.45196384
57.0,57.0,0.54956
58.0,58.0,0.5560852
59.0,59.0,0.4820561
60.0,60.0,0.718171
61.0,61.0,0.5288123
62.0,62.0,0.7081106
63.0,63.0,0.49736547
64.0,64.0,0.62269264
65.0,65.0,0.5090712
66.0,66.0,0.58344823
67.0,67.0,0.48293093
68.0,68.0,0.46114472
69.0,69.0,0.5912632
70.0,70.0,0.560323
71.0,71.0,0.5639837
72.0,72.0,0.5656116
73.0,73.0,0.58901525
74.0,74.0,0.6512387
75.0,75.0,0.5306251
76.0,76.0,0.56146
77.0,77.0,0.5282327
78.0,78.0,0.7817195
79.0,79.0,0.7613788
80.0,80.0,0.7515669
81.0,81.0,0.48292923
82.0,82.0,0.7942503
83.0,83.0,0.46402305
84.0,84.0,0.54198307
85.0,85.0,0.5269157
86.0,86.0,0.621052
87.0,87.0,0.45657295
88.0,88.0,0.54660994
89.0,89.0,0.79827297
90.0,90.0,0.48515195
91.0,91.0,0.5440608
92.0,92.0,0.5351432
93.0,93.0,0.42700177
94.0,94.0,0.55137813
95.0,95.0,0.61541754
96.0,96.0,0.49115264
97.0,97.0,0.48508835
98.0,98.0,0.59994775
99.0,99.0,0.54408604
100.0,100.0,0.50428
101.0,101.0,0.5562338
102.0,102.0,0.53929085
