Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.61128E-6,0.000361128,0.006606167,1,0,0
3.62254E-6,0.000723382,0.006626696,0.999540652,0,0
4.10173E-6,0.001133556,0.007499985,0.999081305,0,0
4.88547E-6,0.00251712,0.008926626,0.997703261,0,0
7.66607E-6,0.005749315,0.013971647,0.995406523,0,0
9.31492E-6,0.010041533,0.01695113,0.993109784,0,0
1.85266E-5,0.026767491,0.033431724,0.988056959,0,0
2.67072E-5,0.050033319,0.047835857,0.983463482,0,0
4.04842E-5,0.10126937,0.071610627,0.976573266,0.008230453,0
5.88309E-5,0.200579532,0.102352011,0.967386311,0.008230453,0
7.41966E-5,0.300876843,0.127313722,0.960496096,0.008230453,0
8.31933E-5,0.401638171,0.141605494,0.954524575,0.008230453,0
8.83662E-5,0.505026342,0.149716797,0.949012402,0.008230453,0
9.34306E-5,0.604784734,0.157583594,0.943959577,0.008230453,0
9.84657E-5,0.700908688,0.165332764,0.9393661,0.008230453,0.016393443
1.01589E-4,0.750880632,0.170104174,0.937069362,0.008230453,0.016393443
1.03193E-4,0.802325199,0.172543051,0.934772623,0.008230453,0.016393443
1.07338E-4,0.906918138,0.178814469,0.930179146,0.008230453,0.016393443
1.11085E-4,1.005622119,0.18444262,0.926045016,0.008230453,0.016393443
1.13629E-4,1.106773374,0.1882418,0.921910887,0.008230453,0.016393443
1.1755E-4,1.210961175,0.194062756,0.917776757,0.012345679,0.016393443
1.19123E-4,1.305685406,0.196386284,0.914101975,0.012345679,0.016393443
1.2166E-4,1.401914169,0.200119135,0.910427193,0.012345679,0.016393443
1.2367E-4,1.50012903,0.203064892,0.906752412,0.012345679,0.016393443
1.30818E-4,1.75478562,0.213451855,0.897565457,0.012345679,0.016393443
1.34329E-4,2.006790603,0.218503322,0.88883785,0.024691358,0.016393443
1.40336E-4,2.253203222,0.227072494,0.880569591,0.024691358,0.016393443
1.44753E-4,2.510155524,0.233313506,0.872301332,0.024691358,0.016393443
1.52601E-4,2.764286375,0.24427731,0.864492421,0.028806584,0.016393443
1.57469E-4,3.012611264,0.250999147,0.857142857,0.028806584,0.016393443
1.64598E-4,3.255241114,0.260736334,0.850252641,0.032921811,0.016393443
1.7007E-4,3.506632084,0.268123714,0.843362425,0.032921811,0.016393443
1.75367E-4,3.765323362,0.275204038,0.836472209,0.041152263,0.016393443
1.82279E-4,4.015180776,0.284341611,0.830041341,0.041152263,0.049180328
1.85418E-4,4.254558387,0.288451973,0.824069821,0.04526749,0.049180328
1.91372E-4,4.517979651,0.296185953,0.817638953,0.049382716,0.049180328
1.97037E-4,4.751050649,0.303466305,0.81212678,0.053497942,0.06557377
2.01247E-4,5.009967091,0.308826454,0.80615526,0.057613169,0.06557377
2.06822E-4,5.255462761,0.315863547,0.800643087,0.061728395,0.06557377
2.11398E-4,5.506692566,0.32158451,0.795130914,0.061728395,0.06557377
2.15185E-4,5.76269288,0.326284596,0.789618741,0.061728395,0.081967213
2.19721E-4,6.001985628,0.331869962,0.784565916,0.061728395,0.081967213
2.23866E-4,6.267748967,0.336933388,0.779053744,0.061728395,0.081967213
2.28394E-4,6.515761411,0.342421567,0.774000919,0.065843621,0.081967213
2.37482E-4,6.772327632,0.353298588,0.768948094,0.065843621,0.081967213
2.44464E-4,7.013980104,0.36153306,0.764354616,0.065843621,0.081967213
2.50263E-4,7.261473167,0.368292461,0.759761139,0.069958848,0.081967213
2.53755E-4,7.513713127,0.372327468,0.755167662,0.074074074,0.081967213
2.60461E-4,7.771121993,0.380006347,0.750574185,0.074074074,0.081967213
2.65164E-4,8.007732382,0.385334486,0.746440055,0.0781893,0.081967213
2.68744E-4,8.274977553,0.389360032,0.741846578,0.0781893,0.081967213
