x,y,species avg
1.0,1.0,0.4926517
2.0,2.0,0.48790798
3.0,3.0,0.75451696
4.0,4.0,0.49075305
5.0,5.0,0.10924138
6.0,6.0,0.7790548
7.0,7.0,0.2986147
8.0,8.0,0.65259206
9.0,9.0,0.7802173
10.0,10.0,0.7780517
11.0,11.0,0.011866391
12.0,12.0,0.46756822
13.0,13.0,0.3748375
14.0,14.0,0.46498117
15.0,15.0,0.2881184
16.0,16.0,0.66504973
17.0,17.0,0.46537533
18.0,18.0,0.4880502
19.0,19.0,0.44381198
20.0,20.0,0.7002995
21.0,21.0,0.5941629
22.0,22.0,0.6195542
23.0,23.0,0.7337242
24.0,24.0,0.5172462
25.0,25.0,0.68860275
26.0,26.0,0.37618464
27.0,27.0,0.30036262
28.0,28.0,0.7243344
29.0,29.0,0.028971933
30.0,30.0,0.75746095
31.0,31.0,0.72791284
32.0,32.0,0.5678031
33.0,33.0,0.6046613
34.0,34.0,0.6857634
35.0,35.0,0.50372875
36.0,36.0,0.13437185
37.0,37.0,0.8175484
38.0,38.0,0.7396195
39.0,39.0,0.7460718
40.0,40.0,0.2703971
41.0,41.0,0.66130155
42.0,42.0,0.73132354
43.0,43.0,0.5187971
44.0,44.0,0.21446674
45.0,45.0,0.5318876
46.0,46.0,0.5019586
47.0,47.0,0.6281041
48.0,48.0,0.5342136
49.0,49.0,0.21602497
50.0,50.0,0.7295155
51.0,51.0,0.5108417
52.0,52.0,0.3377659
53.0,53.0,0.5061698
54.0,54.0,0.21893677
55.0,55.0,0.26447365
56.0,56.0,0.094863385
57.0,57.0,0.74002606
58.0,58.0,0.23499958
59.0,59.0,0.60958105
60.0,60.0,0.14943588
61.0,61.0,0.32111982
62.0,62.0,0.154226
63.0,63.0,0.6328112
64.0,64.0,0.66630346
65.0,65.0,0.4870127
66.0,66.0,0.65508926
67.0,67.0,0.61409545
68.0,68.0,0.47621012
69.0,69.0,0.40986583
70.0,70.0,0.58442986
71.0,71.0,0.23355725
72.0,72.0,0.30919588
73.0,73.0,0.27107313
74.0,74.0,0.62292415
75.0,75.0,0.6322169
76.0,76.0,0.60713035
77.0,77.0,0.32951376
78.0,78.0,0.5506734
79.0,79.0,0.2974059
80.0,80.0,0.20614319
81.0,81.0,0.16960944
82.0,82.0,0.5088558
83.0,83.0,0.55698997
84.0,84.0,0.16217048
85.0,85.0,0.51035
86.0,86.0,0.57387877
87.0,87.0,0.5102093
88.0,88.0,0.76175404
89.0,89.0,0.2850833
90.0,90.0,0.62923706
91.0,91.0,0.64093983
92.0,92.0,0.24466814
93.0,93.0,0.28627366
94.0,94.0,0.7059155
95.0,95.0,0.6524648
96.0,96.0,0.61092985
97.0,97.0,0.6273821
98.0,98.0,0.6584934
99.0,99.0,0.6896785
100.0,100.0,0.27480626
101.0,101.0,0.27616042
102.0,102.0,0.6942255
103.0,103.0,0.037504017
104.0,104.0,0.17545371
105.0,105.0,0.7549742
106.0,106.0,0.64182377
107.0,107.0,0.725686
108.0,108.0,0.7533058
109.0,109.0,0.7517091
110.0,110.0,0.73850644
111.0,111.0,0.18693528
112.0,112.0,0.5955603
113.0,113.0,0.576958
114.0,114.0,0.5663205
115.0,115.0,0.35650945
116.0,116.0,0.53284824
117.0,117.0,0.67333
118.0,118.0,0.14299315
119.0,119.0,0.6511018
120.0,120.0,0.57412535
121.0,121.0,0.25887173
122.0,122.0,0.011983231
123.0,123.0,0.69330186
124.0,124.0,0.7287659
125.0,125.0,0.6471388
126.0,126.0,0.31146017
127.0,127.0,0.32413396
128.0,128.0,0.61972153
129.0,129.0,0.36718738
130.0,130.0,0.52445996
131.0,131.0,0.4587647
132.0,132.0,0.3666798
133.0,133.0,0.46596885
134.0,134.0,0.31912726
135.0,135.0,0.24463186
136.0,136.0,0.7199665
137.0,137.0,0.5082677
138.0,138.0,0.53883827
139.0,139.0,0.4732677
140.0,140.0,0.4863813
141.0,141.0,0.13973099
142.0,142.0,0.51713794
143.0,143.0,0.3017876
144.0,144.0,0.7561279
145.0,145.0,0.8195064
146.0,146.0,0.6873182
147.0,147.0,0.64357847
148.0,148.0,0.65988046
149.0,149.0,0.6202913
150.0,150.0,0.51195407
151.0,151.0,0.4236162
152.0,152.0,0.35932493
153.0,153.0,0.18718284
154.0,154.0,0.33268192
155.0,155.0,0.49635804
156.0,156.0,0.2593902
157.0,157.0,0.32791495
158.0,158.0,0.729347
159.0,159.0,0.22653614
160.0,160.0,0.4340242
161.0,161.0,0.6661741
162.0,162.0,0.50787896
163.0,163.0,0.742304
164.0,164.0,0.53483677
165.0,165.0,0.2550488
166.0,166.0,0.6602825
167.0,167.0,0.23732997
168.0,168.0,0.7334642
169.0,169.0,0.60157216
170.0,170.0,0.65765333
171.0,171.0,0.21223071
172.0,172.0,0.27613068
173.0,173.0,0.6659629
174.0,174.0,0.47889745
175.0,175.0,0.751255
176.0,176.0,0.3380418
177.0,177.0,0.56497175
178.0,178.0,0.1652781
179.0,179.0,0.20118561
180.0,180.0,0.69509643
181.0,181.0,0.5577102
182.0,182.0,0.6006049
183.0,183.0,0.61745757
184.0,184.0,0.27085423
185.0,185.0,0.659031
186.0,186.0,0.6128663
187.0,187.0,0.6363876
188.0,188.0,0.25082684
189.0,189.0,0.6321373
190.0,190.0,0.5127719
191.0,191.0,0.3779917
192.0,192.0,0.7499729
193.0,193.0,0.58354104
194.0,194.0,0.5001942
195.0,195.0,0.73180854
196.0,196.0,0.5769257
197.0,197.0,0.47313428
198.0,198.0,0.5210187
199.0,199.0,0.48119593
200.0,200.0,0.739054
201.0,201.0,0.75527036
202.0,202.0,0.17483169
203.0,203.0,0.404754
204.0,204.0,0.34646812
205.0,205.0,0.5833176
206.0,206.0,0.5833715
207.0,207.0,0.420926
208.0,208.0,0.60899556
209.0,209.0,0.63310695
210.0,210.0,0.5356444
211.0,211.0,0.32397488
212.0,212.0,0.3398879
213.0,213.0,0.5431834
214.0,214.0,0.2378417
215.0,215.0,0.4932052
216.0,216.0,0.4631367
217.0,217.0,0.74509114
218.0,218.0,0.7746336
219.0,219.0,0.40797487
220.0,220.0,0.571012
221.0,221.0,0.26492712
222.0,222.0,0.7621716
223.0,223.0,0.69858193
224.0,224.0,0.47789466
225.0,225.0,0.17830661
226.0,226.0,0.73747367
227.0,227.0,0.6449376
228.0,228.0,0.7431363
229.0,229.0,0.6495866
230.0,230.0,0.14337774
231.0,231.0,0.15349478
232.0,232.0,0.62631893
233.0,233.0,0.1975772
234.0,234.0,0.4873389
235.0,235.0,0.63549596
236.0,236.0,0.45495775
237.0,237.0,0.53847134
238.0,238.0,0.7568753
239.0,239.0,0.69990325
240.0,240.0,0.47254962
241.0,241.0,0.30977193
242.0,242.0,0.6428578
243.0,243.0,0.68436277
244.0,244.0,0.11258389
245.0,245.0,0.75424653
246.0,246.0,0.565946
247.0,247.0,0.4069457
248.0,248.0,0.22716637
249.0,249.0,0.18472236
250.0,250.0,0.39367443
251.0,251.0,0.39411178
252.0,252.0,0.68917423
253.0,253.0,0.49731532
254.0,254.0,0.55423623
255.0,255.0,0.46463326
256.0,256.0,0.892315
257.0,257.0,0.4528828
258.0,258.0,0.60813266
259.0,259.0,0.22641209
260.0,260.0,0.33893958
261.0,261.0,0.21244316
262.0,262.0,0.4837177
263.0,263.0,0.3734431
264.0,264.0,0.5869809
265.0,265.0,0.19888198
266.0,266.0,0.104857154
267.0,267.0,0.7360946
268.0,268.0,0.75976926
269.0,269.0,0.21252757
270.0,270.0,0.38910633
271.0,271.0,0.76451457
272.0,272.0,0.79294556
273.0,273.0,0.5631215
274.0,274.0,0.43687463
275.0,275.0,0.62092966
276.0,276.0,0.5403326
277.0,277.0,0.6653448
278.0,278.0,0.36639538
279.0,279.0,0.5639873
280.0,280.0,0.6837199
281.0,281.0,0.61187845
282.0,282.0,0.66288185
283.0,283.0,0.6661186
284.0,284.0,0.120806694
285.0,285.0,0.515066
286.0,286.0,0.1602058
287.0,287.0,0.47752693
288.0,288.0,0.106300406
289.0,289.0,0.70310175
290.0,290.0,0.6737298
291.0,291.0,0.59225124
292.0,292.0,0.5015619
293.0,293.0,0.5834889
294.0,294.0,0.6484756
295.0,295.0,0.5032127
296.0,296.0,0.7086846
297.0,297.0,0.79453504
298.0,298.0,0.1892825
299.0,299.0,0.49947807
300.0,300.0,0.3376688
301.0,301.0,0.6604688
302.0,302.0,0.46678874
303.0,303.0,0.6914159
304.0,304.0,0.49769646
305.0,305.0,0.1619577
306.0,306.0,0.49344012
307.0,307.0,0.83959275
308.0,308.0,0.35611454
309.0,309.0,0.58215785
310.0,310.0,0.66247445
311.0,311.0,0.67642665
312.0,312.0,0.7118989
313.0,313.0,0.08818562
