X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
3.0,3.0,train,6.022555846324821E-4,57.700857443886164,0.6801415425710762
4.0,4.0,train,1.9047028409510628E-4,3.5922174796147743,0.3026718470349232
5.0,5.0,train,0.0015609050267661219,98.2988389832751,0.9478844908260363
6.0,6.0,train,2.7018047798779834E-4,8.254358974257787,0.4003235434997323
8.0,8.0,train,6.534620524088763E-4,68.8043293700093,0.7096865637881126
9.0,9.0,train,5.659411240333681E-4,48.91550182387174,0.6573840273470721
10.0,10.0,train,0.001219165972466844,97.15066540482388,0.9004893142769284
11.0,11.0,train,7.006396542147966E-4,78.82420293973247,0.7344855986289309
12.0,12.0,train,3.1121698820081237E-4,11.64921007266179,0.44513695606988657
13.0,13.0,train,2.8230811988887703E-4,9.208191124498466,0.41393158415180265
14.0,14.0,train,6.713353510170396E-4,72.31560053479714,0.7193431550121374
16.0,16.0,train,5.654687346171729E-4,48.581456029386295,0.6570775636986244
17.0,17.0,train,4.888229968789636E-4,34.14128702158377,0.6035420063573735
18.0,18.0,train,0.0028373802592849416,99.03017208579062,0.9953470366948592
19.0,19.0,train,6.59998356246834E-4,70.02794406357663,0.7132559440908209
20.0,20.0,train,8.428164236061762E-4,93.46095657026858,0.7971282415157346
21.0,21.0,train,5.188250024652848E-4,38.29170822212029,0.6254272974297854
23.0,23.0,train,5.649512247458521E-4,48.326293362916175,0.6567415133976379
24.0,24.0,train,2.912537888280343E-4,9.970457636928082,0.4237709426911638
25.0,25.0,train,6.467949577777582E-4,67.44986779005956,0.7059999827237572
27.0,27.0,train,8.137361285735422E-4,92.22768985548818,0.7856492437001329
29.0,29.0,train,7.923265528384868E-4,90.86723295808386,0.7767850556988496
30.0,30.0,train,0.0012622206665562886,97.33198784288531,0.9082767122671693
31.0,31.0,train,1.30297379910955E-4,0.8658988228393169,0.21855550774493782
32.0,32.0,train,5.821954884519317E-4,53.714427021298484,0.6677638846420453
33.0,33.0,train,0.0013610771157212495,97.86527268760416,0.923928571784553
34.0,34.0,train,7.065992133302276E-4,80.02806047038627,0.7374636503614718
35.0,35.0,train,6.111247736302763E-4,59.83312143000382,0.6854660414445108
36.0,36.0,train,6.879637702789097E-4,76.22569538609334,0.7280385127477165
40.0,40.0,train,4.1262637183630245E-4,23.953806396067,0.5420381560658618
41.0,41.0,train,6.717252992811676E-4,72.4064727299051,0.7195502165409895
42.0,42.0,train,3.993520960793538E-4,22.17566370414172,0.530386593009408
43.0,43.0,train,4.0185633094487325E-4,22.582656107456703,0.5326071594744679
46.0,46.0,train,6.483222403926738E-4,67.71633815880193,0.7068486085772929
47.0,47.0,train,7.123790549515652E-4,81.8011631399119,0.7403199852825987
48.0,48.0,train,5.682861608579692E-4,49.95540735234138,0.6589013253403464
49.0,49.0,train,5.469085347203292E-4,43.91476796634299,0.6448171258718252
50.0,50.0,train,7.020611034974664E-4,79.25221889543027,0.7351989646532341
51.0,51.0,train,5.795391487286427E-4,53.0411172335507,0.6660893286064384
53.0,53.0,train,6.087375064880675E-4,59.10278437372035,0.6840416573511852
54.0,54.0,train,6.171626690921653E-4,61.30460342000137,0.689040012405013
56.0,56.0,train,7.173632025069292E-4,82.54926743057302,0.7427581308677389
57.0,57.0,train,4.3819950986747773E-4,27.265662558641964,0.5636764215571073
59.0,59.0,train,5.918920056889741E-4,55.732750555811556,0.6738056044071896
60.0,60.0,train,1.7708257999017517E-4,2.918694082811484,0.28477674507002126
