Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.24119E-4,0.022411873,0.359986531,1,0,0
2.33817E-4,0.045793531,0.372226883,0.999521531,0,0
2.3389E-4,0.069182543,0.372318809,0.999043062,0,0
2.39204E-4,0.116838333,0.378924985,0.998086124,0,0
2.44396E-4,0.213580902,0.385312894,0.996172249,0,0
2.51656E-4,0.313488066,0.394134862,0.994258373,0,0
2.53646E-4,0.414629451,0.39653175,0.992344498,0,0
2.56462E-4,0.516710443,0.399905676,0.990430622,0,0
2.58058E-4,0.619767528,0.40180911,0.988516746,0,0
2.60954E-4,0.72378079,0.405249054,0.986602871,0,0
2.62013E-4,0.776176325,0.406501757,0.985645933,0,0
2.62207E-4,0.802397061,0.406731545,0.985167464,0,0
2.64444E-4,0.907923496,0.409368285,0.983253589,0,0
2.65531E-4,1.01398446,0.410644501,0.981339713,0,0
2.67228E-4,1.120566888,0.412633431,0.979425837,0,0
2.67902E-4,1.20086186,0.41342096,0.977990431,0,0
2.68875E-4,1.308298596,0.414556252,0.976076555,0,0
2.70382E-4,1.416120149,0.4163099,0.974162679,0.006993007,0
2.70916E-4,1.524395693,0.416930191,0.972248804,0.006993007,0
2.72157E-4,1.768889383,0.418369453,0.967942584,0.013986014,0.027777778
2.73876E-4,2.069579659,0.420357488,0.962679426,0.020979021,0.027777778
2.75566E-4,2.261980199,0.422304031,0.959330144,0.020979021,0.027777778
2.77855E-4,2.511307624,0.424931835,0.955023923,0.027972028,0.027777778
2.80344E-4,2.762400197,0.427773921,0.950717703,0.027972028,0.027777778
2.82505E-4,3.015885916,0.430231942,0.946411483,0.027972028,0.027777778
2.83841E-4,3.270833951,0.431745192,0.942105263,0.034965035,0.027777778
2.85811E-4,3.527218682,0.433969792,0.937799043,0.034965035,0.027777778
2.87382E-4,3.756633341,0.435737606,0.933971292,0.041958042,0.027777778
2.88894E-4,4.016010708,0.437434301,0.929665072,0.041958042,0.027777778
2.90744E-4,4.27711996,0.439503021,0.925358852,0.041958042,0.027777778
2.92792E-4,4.510787775,0.441783028,0.9215311,0.048951049,0.027777778
2.95462E-4,4.775815852,0.444743616,0.91722488,0.055944056,0.027777778
2.97493E-4,5.013239989,0.446984526,0.913397129,0.062937063,0.027777778
2.98907E-4,5.252028919,0.4485388,0.909569378,0.062937063,0.027777778
3.02085E-4,5.522194489,0.452017594,0.905263158,0.06993007,0.055555556
3.04586E-4,5.764462008,0.454739677,0.901435407,0.06993007,0.083333333
3.06198E-4,6.00902411,0.456487239,0.897607656,0.06993007,0.083333333
3.08849E-4,6.25477284,0.459348506,0.893779904,0.076923077,0.083333333
3.11793E-4,6.502889254,0.462509208,0.889952153,0.076923077,0.083333333
3.13268E-4,6.752852867,0.464085178,0.886124402,0.076923077,0.083333333
3.14951E-4,7.004376117,0.465878826,0.882296651,0.076923077,0.083333333
3.16511E-4,7.257074327,0.467534649,0.8784689,0.076923077,0.083333333
3.17729E-4,7.510731052,0.468824175,0.874641148,0.083916084,0.083333333
3.19875E-4,7.765937402,0.471089294,0.870813397,0.083916084,0.083333333
3.20733E-4,8.022216668,0.471992511,0.866985646,0.083916084,0.083333333
3.22333E-4,8.279506468,0.473671592,0.863157895,0.083916084,0.083333333
3.24193E-4,8.505793786,0.475617252,0.859808612,0.083916084,0.083333333
3.25887E-4,8.765975358,0.477383493,0.855980861,0.083916084,0.083333333
3.27316E-4,9.027375132,0.478868024,0.85215311,0.090909091,0.083333333
3.28424E-4,9.256865401,0.480017273,0.848803828,0.090909091,0.083333333
3.31693E-4,9.520746176,0.483390465,0.844976077,0.090909091,0.083333333
3.33356E-4,9.753698263,0.485098124,0.841626794,0.090909091,0.083333333
3.34688E-4,10.021002071,0.48646242,0.837799043,0.090909091,0.083333333
3.36985E-4,10.256187939,0.488805901,0.834449761,0.090909091,0.083333333
3.3872E-4,10.526500942,0.490568945,0.83062201,0.090909091,0.083333333
3.40543E-4,10.764397863,0.492415127,0.827272727,0.090909091,0.083333333
3.41983E-4,11.003365873,0.493868274,0.823923445,0.090909091,0.083333333
3.43108E-4,11.277491011,0.495000966,0.820095694,0.090909091,0.083333333
3.44373E-4,11.518113341,0.496271362,0.816746411,0.090909091,0.111111111
