x,y,species_4 cloglog values
1.0,1.0,0.67807686
2.0,2.0,0.5196503
3.0,3.0,0.72359014
4.0,4.0,0.5210061
5.0,5.0,0.47905144
6.0,6.0,0.7470478
7.0,7.0,0.5842112
8.0,8.0,0.7264314
9.0,9.0,0.7150281
10.0,10.0,0.7433302
11.0,11.0,0.46699697
12.0,12.0,0.6701856
13.0,13.0,0.62612
14.0,14.0,0.6670116
15.0,15.0,0.5752315
16.0,16.0,0.704356
17.0,17.0,0.6000191
18.0,18.0,0.63531
19.0,19.0,0.66098624
20.0,20.0,0.72359014
21.0,21.0,0.7203155
22.0,22.0,0.57010514
23.0,23.0,0.7311519
24.0,24.0,0.64119756
25.0,25.0,0.4973608
26.0,26.0,0.47490746
27.0,27.0,0.439638
28.0,28.0,0.75703144
29.0,29.0,0.4800629
30.0,30.0,0.7112055
31.0,31.0,0.35406157
32.0,32.0,0.71044403
33.0,33.0,0.72688055
34.0,34.0,0.754017
35.0,35.0,0.6284402
36.0,36.0,0.36565256
37.0,37.0,0.62731576
38.0,38.0,0.6744698
39.0,39.0,0.7311519
40.0,40.0,0.57244015
41.0,41.0,0.7264314
42.0,42.0,0.66470873
43.0,43.0,0.6879091
44.0,44.0,0.38717425
45.0,45.0,0.6039319
46.0,46.0,0.68319124
47.0,47.0,0.72511846
48.0,48.0,0.6528804
49.0,49.0,0.3939922
50.0,50.0,0.56582093
51.0,51.0,0.52599096
52.0,52.0,0.33780912
53.0,53.0,0.6855735
54.0,54.0,0.3935885
55.0,55.0,0.42183587
56.0,56.0,0.4800629
57.0,57.0,0.74239856
58.0,58.0,0.4021292
59.0,59.0,0.30912814
60.0,60.0,0.49458697
61.0,61.0,0.59433705
62.0,62.0,0.5023113
63.0,63.0,0.6470828
64.0,64.0,0.5871996
65.0,65.0,0.62157166
66.0,66.0,0.7311519
67.0,67.0,0.3478688
68.0,68.0,0.6000191
69.0,69.0,0.64438564
70.0,70.0,0.71666324
71.0,71.0,0.54926765
72.0,72.0,0.5931795
73.0,73.0,0.42494687
74.0,74.0,0.57284486
75.0,75.0,0.6461022
76.0,76.0,0.72496915
77.0,77.0,0.5982831
78.0,78.0,0.624515
79.0,79.0,0.537931
80.0,80.0,0.5002462
81.0,81.0,0.5038625
82.0,82.0,0.6345793
83.0,83.0,0.37086496
84.0,84.0,0.3561791
85.0,85.0,0.64806336
86.0,86.0,0.553246
87.0,87.0,0.58051544
88.0,88.0,0.73866314
89.0,89.0,0.5360451
90.0,90.0,0.39199966
91.0,91.0,0.7188403
92.0,92.0,0.4052776
93.0,93.0,0.6902518
94.0,94.0,0.68225616
95.0,95.0,0.7452211
96.0,96.0,0.638254
97.0,97.0,0.3725668
98.0,98.0,0.7465161
99.0,99.0,0.34108254
100.0,100.0,0.56642246
101.0,101.0,0.42374986
102.0,102.0,0.72453797
103.0,103.0,0.34296507
104.0,104.0,0.50344443
105.0,105.0,0.7358526
106.0,106.0,0.5612691
107.0,107.0,0.6764185
108.0,108.0,0.74239856
109.0,109.0,0.6938888
110.0,110.0,0.74426097
111.0,111.0,0.5136894
112.0,112.0,0.7131181
113.0,113.0,0.52746624
114.0,114.0,0.7102229
115.0,115.0,0.46500865
116.0,116.0,0.65981865
117.0,117.0,0.81496507
118.0,118.0,0.49767026
119.0,119.0,0.6441406
120.0,120.0,0.7127804
121.0,121.0,0.52098674
122.0,122.0,0.35502163
123.0,123.0,0.33474243
124.0,124.0,0.68225616
125.0,125.0,0.6333472
126.0,126.0,0.44576412
127.0,127.0,0.6041655
128.0,128.0,0.7264436
129.0,129.0,0.618697
130.0,130.0,0.6900224
131.0,131.0,0.50727844
132.0,132.0,0.31589898
133.0,133.0,0.5034613
134.0,134.0,0.4459336
135.0,135.0,0.4095232
