Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.08602E-4,0.010860175,0.184621174,1,0,0
1.22911E-4,0.034923045,0.206256686,0.999015263,0,0
1.41565E-4,0.063107657,0.233601287,0.998030527,0,0
1.45139E-4,0.1064248,0.238731651,0.996553422,0,0
1.58987E-4,0.211602482,0.258288219,0.993106844,0,0
1.69751E-4,0.310044118,0.273141486,0.990152634,0,0
1.74086E-4,0.413579894,0.279040447,0.987198424,0,0
1.76213E-4,0.501280153,0.281915632,0.984736583,0,0
1.78001E-4,0.607595202,0.284324875,0.981782373,0,0
1.80395E-4,0.715041209,0.287537317,0.978828163,0,0
1.80818E-4,0.751167743,0.288103267,0.977843427,0,0
1.8325E-4,0.806062367,0.291349793,0.976366322,0,0
1.85174E-4,0.916520992,0.29390749,0.973412112,0.014925373,0
1.872E-4,1.009681933,0.29659085,0.970950271,0.014925373,0
1.89069E-4,1.103829051,0.299058317,0.968488429,0.014925373,0
1.92255E-4,1.21845,0.303241679,0.96553422,0.014925373,0
1.93017E-4,1.314807642,0.304239862,0.963072378,0.014925373,0
1.94938E-4,1.411784372,0.306747211,0.960610537,0.014925373,0
1.97388E-4,1.509917545,0.309932046,0.958148695,0.014925373,0
2.01503E-4,1.768794523,0.315247459,0.951747907,0.014925373,0
2.05316E-4,2.012752207,0.320137005,0.945839488,0.014925373,0
2.09174E-4,2.261723869,0.325048493,0.939931068,0.014925373,0
2.12351E-4,2.514446609,0.329067043,0.934022649,0.014925373,0
2.16008E-4,2.750303056,0.33366142,0.928606598,0.014925373,0
2.19199E-4,3.011911036,0.33764584,0.922698178,0.014925373,0
2.22488E-4,3.254532386,0.341727686,0.917282127,0.014925373,0
2.26811E-4,3.501868792,0.347053735,0.911866076,0.014925373,0
2.29989E-4,3.75332522,0.350942339,0.906450025,0.014925373,0
2.34093E-4,4.009012565,0.355928977,0.901033973,0.014925373,0
2.36929E-4,4.268523997,0.359353091,0.895617922,0.014925373,0
2.39139E-4,4.506554187,0.36200768,0.890694239,0.014925373,0
2.43491E-4,4.772467407,0.367205316,0.885278188,0.014925373,0
2.48446E-4,5.018619601,0.373070906,0.880354505,0.014925373,0
2.5364E-4,5.270137178,0.379160799,0.875430822,0.014925373,0
2.56238E-4,5.525315076,0.382183853,0.870507139,0.014925373,0
2.59971E-4,5.757979258,0.386503636,0.866075825,0.014925373,0
2.62273E-4,6.019018014,0.389151965,0.861152142,0.029850746,0
2.63862E-4,6.25577481,0.390973056,0.856720827,0.029850746,0
2.66484E-4,6.521110337,0.393967284,0.851797144,0.044776119,0
2.69164E-4,6.762503823,0.397011852,0.84736583,0.044776119,0
2.70921E-4,7.005617941,0.399000033,0.842934515,0.044776119,0
2.73253E-4,7.250452221,0.401628329,0.8385032,0.044776119,0
2.75852E-4,7.525080845,0.404543903,0.833579517,0.044776119,0
2.78487E-4,7.774697253,0.407484946,0.829148203,0.044776119,0
2.81039E-4,8.054810226,0.410320511,0.82422452,0.059701493,0.058823529
