variable,x,y
swa_2000lulc_2km,1.0,0.6340667009353638
swa_2000lulc_2km,2.0,0.5694913268089294
swa_2000lulc_2km,3.0,0.4862501621246338
swa_2000lulc_2km,7.0,0.6401169300079346
swa_2000lulc_2km,8.0,0.6401169300079346
swa_2000lulc_2km,9.0,0.6401169300079346
swa_2000lulc_2km,12.0,0.6401169300079346
swa_2000lulc_2km,13.0,0.8216571807861328
swa_2000lulc_2km,14.0,0.6401169300079346
swa_2000lulc_2km,15.0,0.6401169300079346
swa_2000lulc_2km,21.0,0.6743404269218445
swa_2000lulc_2km,25.0,0.7622694373130798
swa_2000lulc_2km,31.0,0.8829337954521179
swa_2000lulc_2km,78.0,0.9322009086608887
swa_2000lulc_2km,99.0,0.914257287979126
