Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.56011E-4,0.015601063,0.315090284,1,0,0
1.57826E-4,0.031383692,0.318100428,0.99959984,0,0
1.61251E-4,0.063464154,0.323742543,0.99879952,0,0
1.63586E-4,0.112268037,0.327561514,0.99759904,0,0
1.68464E-4,0.212667416,0.335472906,0.995198079,0,0
1.86608E-4,0.301574317,0.36408812,0.993197279,0.00141844,0
2.22005E-4,0.406704533,0.416415157,0.991196479,0.004255319,0.005681818
2.6003E-4,0.501547797,0.467839657,0.989595838,0.004255319,0.005681818
2.65957E-4,0.606963248,0.47543622,0.987995198,0.005673759,0.005681818
2.69192E-4,0.71414468,0.47953642,0.986394558,0.007092199,0.005681818
2.69532E-4,0.768035013,0.479965474,0.985594238,0.008510638,0.005681818
2.69792E-4,0.821969235,0.480294437,0.984793918,0.008510638,0.005681818
2.70039E-4,0.902960222,0.480605007,0.983593437,0.009929078,0.011363636
2.70788E-4,1.011196831,0.481548151,0.981992797,0.012765957,0.011363636
2.71447E-4,1.119699838,0.482376154,0.980392157,0.015602837,0.017045455
2.717E-4,1.201194573,0.482693606,0.979191677,0.015602837,0.017045455
2.71888E-4,1.309919353,0.482930251,0.977591036,0.017021277,0.017045455
2.72179E-4,1.418730864,0.483294731,0.975990396,0.018439716,0.022727273
2.72671E-4,1.500501824,0.483911355,0.974789916,0.019858156,0.022727273
2.73596E-4,1.773773517,0.485067272,0.970788315,0.022695035,0.022727273
2.74463E-4,2.020517029,0.486149184,0.967186875,0.026950355,0.022727273
2.7513E-4,2.267855561,0.486979989,0.963585434,0.028368794,0.022727273
2.75655E-4,2.515702846,0.48763302,0.959983994,0.031205674,0.022727273
2.76556E-4,2.764293296,0.488752532,0.956382553,0.032624113,0.022727273
2.77077E-4,3.013477827,0.48939843,0.952781112,0.036879433,0.022727273
2.77627E-4,3.263102046,0.49007937,0.949179672,0.039716312,0.034090909
