Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.44624E-4,0.024462422,0.436097029,1,0,0
2.48414E-4,0.049303847,0.441079899,0.999586264,0,0
2.49169E-4,0.074220699,0.442066296,0.999172528,0,0
2.49727E-4,0.124146279,0.442795552,0.998345056,0,0
2.54411E-4,0.200082106,0.448874125,0.997103848,0,0
2.60592E-4,0.3032416,0.456794309,0.995448904,0,0
2.64044E-4,0.408390143,0.461167373,0.993793959,0.001760563,0
2.72788E-4,0.516809593,0.472089709,0.992139015,0.001760563,0
2.79209E-4,0.62730948,0.479968169,0.990484071,0.003521127,0
2.82466E-4,0.711760945,0.483919595,0.989242863,0.003521127,0.007042254
2.83599E-4,0.768400461,0.485286732,0.988415391,0.003521127,0.007042254
2.85465E-4,0.82543435,0.487531492,0.987587919,0.00528169,0.007042254
2.86319E-4,0.911299856,0.488554899,0.986346711,0.008802817,0.007042254
2.86965E-4,1.025938596,0.489328232,0.984691767,0.008802817,0.007042254
2.8705E-4,1.112043318,0.4894303,0.983450559,0.008802817,0.007042254
2.89101E-4,1.227337574,0.491876183,0.981795614,0.008802817,0.007042254
2.89309E-4,1.314105494,0.492123853,0.980554406,0.008802817,0.007042254
2.89616E-4,1.40095936,0.492488661,0.979313198,0.008802817,0.007042254
2.89677E-4,1.516820345,0.492561248,0.977658254,0.012323944,0.007042254
2.90131E-4,1.777834723,0.493100641,0.97393463,0.017605634,0.007042254
2.90689E-4,2.010235022,0.493762271,0.970624741,0.019366197,0.007042254
2.91111E-4,2.27209494,0.494262779,0.966901117,0.022887324,0.007042254
2.91306E-4,2.505070646,0.49449399,0.963591229,0.022887324,0.007042254
2.91638E-4,2.767362978,0.494886122,0.959867604,0.024647887,0.007042254
2.92182E-4,3.000902394,0.495529451,0.956557716,0.029929577,0.007042254
2.92601E-4,3.264109099,0.496024699,0.952834092,0.029929577,0.014084507
2.93196E-4,3.527717033,0.496725704,0.949110468,0.035211268,0.021126761
2.93529E-4,3.762428722,0.497119033,0.945800579,0.036971831,0.021126761
2.94171E-4,4.0268762,0.497873548,0.942076955,0.042253521,0.021126761
2.94815E-4,4.262520081,0.498630267,0.938767067,0.045774648,0.035211268
2.9622E-4,4.528615171,0.500277909,0.935043442,0.052816901,0.049295775
2.97334E-4,4.766172104,0.501579809,0.931733554,0.056338028,0.056338028
2.98689E-4,5.004569037,0.503159016,0.928423666,0.056338028,0.056338028
2.99722E-4,5.273942262,0.504359314,0.924700041,0.058098592,0.056338028
3.01483E-4,5.514387214,0.506398523,0.921390153,0.058098592,0.056338028
3.03656E-4,5.756525232,0.508904359,0.918080265,0.059859155,0.056338028
3.05045E-4,6.030492406,0.510499865,0.91435664,0.059859155,0.056338028
3.05857E-4,6.274865194,0.511428976,0.911046752,0.061619718,0.063380282
3.07225E-4,6.520105828,0.512991764,0.907736864,0.063380282,0.070422535
3.07869E-4,6.766145073,0.513726354,0.904426976,0.066901408,0.070422535
3.0843E-4,7.012781015,0.51436485,0.901117087,0.068661972,0.077464789
3.09251E-4,7.260059191,0.515296887,0.897807199,0.070422535,0.077464789
3.09786E-4,7.507660424,0.515903965,0.894497311,0.070422535,0.077464789
3.10328E-4,7.755715684,0.51651843,0.891187422,0.073943662,0.077464789
3.1113E-4,8.004297135,0.51742557,0.887877534,0.073943662,0.084507042
3.11281E-4,8.253264152,0.517595668,0.884567646,0.075704225,0.084507042
3.11736E-4,8.502442458,0.51810914,0.881257758,0.075704225,0.084507042
3.12393E-4,8.752142503,0.518850621,0.877947869,0.079225352,0.091549296
3.12968E-4,9.002338367,0.519498179,0.874637981,0.082746479,0.091549296
3.13576E-4,9.253047589,0.520181423,0.871328093,0.084507042,0.091549296
3.14517E-4,9.504370705,0.521237504,0.868018204,0.088028169,0.098591549
3.15082E-4,9.756229753,0.521871069,0.864708316,0.091549296,0.105633803
3.15577E-4,10.008513026,0.522425159,0.861398428,0.093309859,0.105633803
3.15881E-4,10.261089522,0.522765007,0.85808854,0.093309859,0.105633803
3.16391E-4,10.514062738,0.523334648,0.854778651,0.096830986,0.105633803
3.17171E-4,10.767503631,0.524204619,0.851468763,0.102112676,0.105633803
3.17796E-4,11.021474313,0.524899767,0.848158875,0.103873239,0.105633803
3.18097E-4,11.275825398,0.525234563,0.844848986,0.107394366,0.105633803
3.18596E-4,11.53058053,0.525789587,0.841539098,0.107394366,0.112676056
3.18869E-4,11.753701623,0.52609279,0.838642946,0.10915493,0.112676056
3.19337E-4,12.009024554,0.526611886,0.835333058,0.110915493,0.11971831
3.20075E-4,12.264804642,0.527428904,0.832023169,0.112676056,0.11971831
3.20735E-4,12.521127638,0.52815923,0.828713281,0.112676056,0.11971831
3.21519E-4,12.777931912,0.529024865,0.825403393,0.117957746,0.11971831
3.2181E-4,13.00313718,0.529344971,0.82250724,0.121478873,0.11971831
3.22106E-4,13.260722082,0.529671768,0.819197352,0.123239437,0.126760563
3.23098E-4,13.518808667,0.530762643,0.815887464,0.126760563,0.133802817
3.23402E-4,13.777425962,0.53109692,0.812577576,0.13028169,0.133802817
3.24488E-4,14.004187633,0.532288161,0.809681423,0.132042254,0.14084507
3.26046E-4,14.264289061,0.533991398,0.806371535,0.132042254,0.14084507
3.27634E-4,14.526016843,0.535721107,0.803061647,0.133802817,0.14084507
3.28937E-4,14.755977919,0.537135967,0.800165494,0.13556338,0.147887324
3.29575E-4,15.019407139,0.537826535,0.796855606,0.139084507,0.147887324
3.30179E-4,15.250332524,0.538479361,0.793959454,0.139084507,0.147887324
3.31865E-4,15.515211854,0.540298429,0.790649566,0.14084507,0.147887324
3.32754E-4,15.781097639,0.541254523,0.787339677,0.144366197,0.147887324
3.33591E-4,16.014345707,0.542152738,0.784443525,0.144366197,0.154929577
3.341E-4,16.281495251,0.542698255,0.781133637,0.149647887,0.169014085
3.34841E-4,16.515772512,0.543490711,0.778237484,0.153169014,0.169014085
3.35141E-4,16.750262217,0.54381132,0.775341332,0.153169014,0.169014085
3.35545E-4,17.018624215,0.54424321,0.772031444,0.154929577,0.169014085
3.35937E-4,17.253706375,0.544661261,0.769135292,0.156690141,0.169014085
3.3611E-4,17.522534447,0.544845379,0.765825403,0.158450704,0.169014085
3.36546E-4,17.757989361,0.545310366,0.762929251,0.161971831,0.176056338
3.36749E-4,18.027319328,0.545526604,0.759619363,0.165492958,0.183098592
3.37029E-4,18.263148999,0.545824457,0.756723211,0.169014085,0.190140845
3.37331E-4,18.532872742,0.546145057,0.753413322,0.170774648,0.190140845
3.37611E-4,18.769133136,0.546442696,0.75051717,0.170774648,0.197183099
3.37888E-4,19.005576576,0.546736647,0.747621018,0.172535211,0.204225352
3.3827E-4,19.276021568,0.547142843,0.744311129,0.174295775,0.204225352
3.38377E-4,19.512848178,0.547255364,0.741414977,0.174295775,0.204225352
3.38664E-4,19.783677985,0.547560037,0.738105089,0.179577465,0.204225352
3.38885E-4,20.020835792,0.547794412,0.735208937,0.179577465,0.211267606
3.39071E-4,20.258158372,0.547991082,0.732312784,0.181338028,0.211267606
3.39746E-4,20.529781508,0.548704566,0.729002896,0.183098592,0.218309859
3.39919E-4,20.767679297,0.548887245,0.726106744,0.183098592,0.218309859
3.4017E-4,21.005714329,0.549152542,0.723210592,0.184859155,0.218309859
3.40591E-4,21.278017991,0.549596661,0.719900703,0.188380282,0.225352113
3.41325E-4,21.516751802,0.55037085,0.717004551,0.193661972,0.232394366
3.41804E-4,21.755834341,0.550874399,0.714108399,0.197183099,0.23943662
3.42625E-4,22.029758258,0.551737094,0.710798511,0.197183099,0.246478873
3.43524E-4,22.269989946,0.552679712,0.707902358,0.200704225,0.246478873
3.44189E-4,22.510681793,0.553376626,0.705006206,0.204225352,0.246478873
3.45009E-4,22.751976637,0.554233094,0.702110054,0.207746479,0.246478873
3.4721E-4,23.029034406,0.556524943,0.698800165,0.209507042,0.246478873
3.48144E-4,23.272572311,0.557493568,0.695904013,0.209507042,0.253521127
3.49047E-4,23.516575911,0.558428968,0.693007861,0.211267606,0.253521127
3.50036E-4,23.761199325,0.559449995,0.690111709,0.214788732,0.253521127
3.50545E-4,24.006426319,0.559975221,0.687215556,0.216549296,0.26056338
3.51362E-4,24.252066665,0.56081593,0.684319404,0.220070423,0.26056338
3.52092E-4,24.533468459,0.561566294,0.681009516,0.221830986,0.26056338
3.53116E-4,24.780191946,0.562616737,0.678113364,0.223591549,0.274647887
3.53638E-4,25.027580048,0.563150678,0.675217211,0.227112676,0.274647887
3.53895E-4,25.275243883,0.563413182,0.672321059,0.232394366,0.274647887
3.54934E-4,25.523425104,0.56447445,0.669424907,0.23415493,0.295774648
3.55367E-4,25.772010803,0.564915638,0.666528755,0.237676056,0.302816901
3.55983E-4,26.020957869,0.565542872,0.663632602,0.241197183,0.302816901
3.56635E-4,26.270454011,0.566206382,0.66073645,0.242957746,0.309859155
3.58079E-4,26.520813418,0.567670772,0.657840298,0.246478873,0.309859155
3.58969E-4,26.771734909,0.568570877,0.654944146,0.251760563,0.309859155
3.5996E-4,27.023436144,0.569570418,0.652047993,0.251760563,0.323943662
3.6078E-4,27.275752851,0.570396551,0.649151841,0.257042254,0.323943662
3.61376E-4,27.528509066,0.570995518,0.646255689,0.262323944,0.323943662
3.62417E-4,27.781880703,0.572039782,0.643359537,0.264084507,0.323943662
3.63184E-4,28.035834777,0.572807966,0.640463384,0.26584507,0.323943662
3.64089E-4,28.254092769,0.57371247,0.637980968,0.269366197,0.330985915
3.64855E-4,28.509228593,0.574476286,0.635084816,0.272887324,0.345070423
3.65614E-4,28.765018418,0.575231979,0.632188664,0.276408451,0.345070423
3.66526E-4,29.021432981,0.576138473,0.629292511,0.276408451,0.352112676
3.66947E-4,29.278225279,0.576556423,0.626396359,0.279929577,0.352112676
3.67308E-4,29.535238794,0.576913977,0.623500207,0.283450704,0.352112676
3.67482E-4,29.755695458,0.57708664,0.621017791,0.288732394,0.352112676
3.67825E-4,30.013051926,0.577425698,0.618121638,0.292253521,0.352112676
3.68275E-4,30.270748044,0.57787073,0.615225486,0.294014085,0.352112676
3.68554E-4,30.528651844,0.578146897,0.612329334,0.297535211,0.352112676
3.6901E-4,30.786822258,0.578596836,0.609433182,0.297535211,0.352112676
3.69243E-4,31.045241383,0.57882731,0.606537029,0.299295775,0.352112676
3.69559E-4,31.266894051,0.579138215,0.604054613,0.302816901,0.35915493
3.69842E-4,31.525687247,0.579417804,0.601158461,0.306338028,0.35915493
3.70118E-4,31.784702072,0.579689319,0.598262309,0.309859155,0.35915493
3.70495E-4,32.006950429,0.580060043,0.595779892,0.313380282,0.35915493
3.70903E-4,32.266453249,0.58046144,0.59288374,0.320422535,0.35915493
3.71255E-4,32.526241625,0.580806294,0.589987588,0.322183099,0.35915493
3.71751E-4,32.786362379,0.581293145,0.587091436,0.327464789,0.35915493
3.7218E-4,33.009588469,0.58171367,0.584609019,0.329225352,0.35915493
3.72672E-4,33.27028488,0.582195852,0.581712867,0.332746479,0.35915493
3.73272E-4,33.531470228,0.582781989,0.578816715,0.336267606,0.35915493
3.74065E-4,33.755713725,0.583556401,0.576334299,0.338028169,0.35915493
3.74771E-4,34.017842705,0.584244672,0.573438146,0.341549296,0.35915493
3.75954E-4,34.28060828,0.585394667,0.570541994,0.343309859,0.35915493
3.76449E-4,34.506315378,0.585875219,0.568059578,0.345070423,0.35915493
3.77088E-4,34.770051425,0.586493876,0.565163426,0.346830986,0.35915493
3.77494E-4,35.034209749,0.586887175,0.562267273,0.350352113,0.35915493
3.77932E-4,35.260803408,0.587310254,0.559784857,0.350352113,0.35915493
3.78544E-4,35.525650748,0.58790189,0.556888705,0.353873239,0.35915493
3.79167E-4,35.753029256,0.58850274,0.554406289,0.353873239,0.35915493
3.80088E-4,36.018852189,0.589388905,0.551510137,0.357394366,0.35915493
3.81412E-4,36.285575943,0.590659698,0.548613984,0.360915493,0.366197183
3.82703E-4,36.514942049,0.591895356,0.546131568,0.36443662,0.373239437
