x,y,species_0 cloglog values
1.0,1.0,0.5530525
2.0,2.0,0.628511
3.0,3.0,0.6942841
4.0,4.0,0.6915565
5.0,5.0,0.49949986
6.0,6.0,0.4878005
7.0,7.0,0.57970095
8.0,8.0,0.63820666
9.0,9.0,0.4859751
10.0,10.0,0.48762965
11.0,11.0,0.67437714
12.0,12.0,0.51863366
13.0,13.0,0.48619568
14.0,14.0,0.5721907
15.0,15.0,0.5039968
16.0,16.0,0.81055844
17.0,17.0,0.59229946
18.0,18.0,0.5380269
19.0,19.0,0.6253811
20.0,20.0,0.52493805
21.0,21.0,0.68414956
22.0,22.0,0.6980378
23.0,23.0,0.5831721
24.0,24.0,0.6455955
25.0,25.0,0.575573
26.0,26.0,0.5226566
27.0,27.0,0.4835412
28.0,28.0,0.6202184
29.0,29.0,0.5079193
30.0,30.0,0.68752813
31.0,31.0,0.5113588
32.0,32.0,0.4874358
33.0,33.0,0.530866
34.0,34.0,0.6852611
35.0,35.0,0.72071946
36.0,36.0,0.8266418
37.0,37.0,0.6531222
38.0,38.0,0.7333044
39.0,39.0,0.5097516
40.0,40.0,0.5199954
41.0,41.0,0.68684167
42.0,42.0,0.491646
43.0,43.0,0.6911154
44.0,44.0,0.70869195
45.0,45.0,0.5243749
46.0,46.0,0.66805375
47.0,47.0,0.58186805
48.0,48.0,0.65824145
49.0,49.0,0.6598826
50.0,50.0,0.51502717
51.0,51.0,0.6558641
52.0,52.0,0.6821428
53.0,53.0,0.5195193
54.0,54.0,0.4996566
55.0,55.0,0.5057209
56.0,56.0,0.59908104
57.0,57.0,0.5153748
58.0,58.0,0.7000021
59.0,59.0,0.51736987
60.0,60.0,0.5161544
61.0,61.0,0.50073045
62.0,62.0,0.6392051
63.0,63.0,0.6784966
64.0,64.0,0.5580608
65.0,65.0,0.592302
66.0,66.0,0.50491107
67.0,67.0,0.5958576
68.0,68.0,0.68636066
69.0,69.0,0.72257316
70.0,70.0,0.48685178
71.0,71.0,0.55711365
72.0,72.0,0.50602037
73.0,73.0,0.48776934
74.0,74.0,0.59672105
75.0,75.0,0.5199276
76.0,76.0,0.7058307
77.0,77.0,0.50189984
78.0,78.0,0.5304797
79.0,79.0,0.5986271
80.0,80.0,0.5095666
81.0,81.0,0.5075181
82.0,82.0,0.49864286
83.0,83.0,0.5139736
84.0,84.0,0.50258183
85.0,85.0,0.5408948
86.0,86.0,0.6607644
87.0,87.0,0.58907336
88.0,88.0,0.6139266
89.0,89.0,0.6982764
90.0,90.0,0.4915923
91.0,91.0,0.68408084
92.0,92.0,0.66323173
93.0,93.0,0.64700323
94.0,94.0,0.62700653
95.0,95.0,0.7078723
96.0,96.0,0.48875624
97.0,97.0,0.65138966
98.0,98.0,0.630537
99.0,99.0,0.5849371
100.0,100.0,0.5138888
101.0,101.0,0.5162217
102.0,102.0,0.7103211
103.0,103.0,0.6307755
104.0,104.0,0.5072016
105.0,105.0,0.6699687
106.0,106.0,0.569112
107.0,107.0,0.7027797
108.0,108.0,0.6178846
109.0,109.0,0.58917
110.0,110.0,0.88954675
111.0,111.0,0.49707204
112.0,112.0,0.5384043
113.0,113.0,0.5115464
114.0,114.0,0.732966
115.0,115.0,0.85279995
116.0,116.0,0.51489264
117.0,117.0,0.82175267
118.0,118.0,0.6775772
119.0,119.0,0.55605674
120.0,120.0,0.7044583
121.0,121.0,0.689792
122.0,122.0,0.631714
123.0,123.0,0.67199135
124.0,124.0,0.71529037
125.0,125.0,0.6797437
126.0,126.0,0.6351061
127.0,127.0,0.6493886
128.0,128.0,0.5839274
129.0,129.0,0.7145091
130.0,130.0,0.50168186
131.0,131.0,0.7108436
132.0,132.0,0.5306711
133.0,133.0,0.66328144
