X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,5.426106425009089E-4,32.645118815031346,0.6529458799152593
2.0,2.0,train,7.378912395386736E-4,97.6887189613549,0.7628678871687207
3.0,3.0,train,7.245734808645356E-4,94.3219163452163,0.7566278959909634
4.0,4.0,train,6.87052768559925E-4,85.27175317220897,0.7381505651812527
6.0,6.0,train,6.00940682138696E-4,49.1500639820419,0.6902649053879164
7.0,7.0,train,6.763132856579709E-4,81.399392383066,0.7326081216255769
8.0,8.0,train,6.146334920861854E-4,55.21784923832366,0.6984270990207924
9.0,9.0,train,7.419540660776381E-4,98.28043899042687,0.7647394705490929
10.0,10.0,train,5.827653499826425E-4,41.13017696398449,0.6790884780163678
11.0,11.0,train,6.37471326991641E-4,66.29298748396204,0.7115648528167241
12.0,12.0,train,6.514484529724119E-4,72.06145431515658,0.719321429447696
13.0,13.0,train,5.915472374482039E-4,45.15475502175241,0.6845381367377824
14.0,14.0,train,5.780627095134706E-4,39.13441309235009,0.6761316213642996
15.0,15.0,train,6.662613965932557E-4,78.10406529467708,0.7273142917703074
17.0,17.0,train,6.552840560757875E-4,73.53856122702454,0.7214132747009286
19.0,19.0,train,6.086862492138217E-4,52.359910795181406,0.6949087478371697
20.0,20.0,train,6.442889654043954E-4,69.25089569910867,0.7153747042748018
21.0,21.0,train,6.660871632386856E-4,78.04769041948911,0.7272216135875618
23.0,23.0,train,6.401729630452774E-4,67.60377283210858,0.7130806510511749
24.0,24.0,train,6.583709073239043E-4,75.11485615639248,0.7230854411461325
25.0,25.0,train,6.723294007505072E-4,79.76560978019583,0.7305224143869551
26.0,26.0,train,7.250981955531712E-4,94.4426087690428,0.756876828638388
28.0,28.0,train,5.455057307363818E-4,32.805525406313784,0.6548999652614125
29.0,29.0,train,6.370282835542098E-4,66.1908043256481,0.711315512688828
32.0,32.0,train,6.16848058625649E-4,56.819175907420814,0.699726830193519
34.0,34.0,train,6.60263132633584E-4,75.77449634203406,0.7241055054454215
