x,y,species avg
1.0,1.0,0.38057736
2.0,2.0,0.40811822
3.0,3.0,0.6692893
4.0,4.0,0.8145624
5.0,5.0,0.013884547
6.0,6.0,0.03312224
7.0,7.0,0.0089433035
8.0,8.0,0.5413369
9.0,9.0,0.03412456
10.0,10.0,0.041277
11.0,11.0,0.74034953
12.0,12.0,0.14162701
13.0,13.0,0.033101007
14.0,14.0,0.059157833
15.0,15.0,0.013098594
16.0,16.0,0.72506183
17.0,17.0,0.64810556
18.0,18.0,0.0074040084
19.0,19.0,0.3606095
20.0,20.0,0.11442424
21.0,21.0,0.78609055
22.0,22.0,0.8041681
23.0,23.0,0.16328421
24.0,24.0,0.5263533
25.0,25.0,0.5079747
26.0,26.0,0.003801116
27.0,27.0,0.03810358
28.0,28.0,0.45416266
29.0,29.0,0.0052597634
30.0,30.0,0.71476704
31.0,31.0,0.006257026
32.0,32.0,0.02966584
33.0,33.0,0.23235846
34.0,34.0,0.2470536
35.0,35.0,0.84414184
36.0,36.0,0.7240293
37.0,37.0,0.6443641
38.0,38.0,0.7401766
39.0,39.0,0.034669284
40.0,40.0,0.17276104
41.0,41.0,0.7873659
42.0,42.0,0.05652147
43.0,43.0,0.8202578
44.0,44.0,0.78805834
45.0,45.0,0.005106831
46.0,46.0,0.62953115
47.0,47.0,0.4644882
48.0,48.0,0.6766835
49.0,49.0,0.61055386
50.0,50.0,0.004966638
51.0,51.0,0.6638913
52.0,52.0,0.69413865
53.0,53.0,0.0026226095
54.0,54.0,0.006951961
55.0,55.0,0.003943191
56.0,56.0,0.16478577
57.0,57.0,0.004313238
58.0,58.0,0.6236435
59.0,59.0,0.168262
60.0,60.0,0.15583482
61.0,61.0,0.082881264
62.0,62.0,0.5162051
63.0,63.0,0.57499844
64.0,64.0,0.3867636
65.0,65.0,0.12709117
66.0,66.0,0.010347494
67.0,67.0,0.00846606
68.0,68.0,0.64760476
69.0,69.0,0.8763226
70.0,70.0,0.04391143
71.0,71.0,0.05660755
72.0,72.0,0.012789
73.0,73.0,0.0391241
74.0,74.0,0.00813642
75.0,75.0,0.109211884
76.0,76.0,0.6995058
77.0,77.0,0.08793576
78.0,78.0,0.15451907
79.0,79.0,0.13513435
80.0,80.0,0.0031559458
81.0,81.0,0.003577786
82.0,82.0,0.015326769
83.0,83.0,0.016240573
84.0,84.0,0.03358965
85.0,85.0,0.219011
86.0,86.0,0.624512
87.0,87.0,0.006740738
88.0,88.0,0.30601907
89.0,89.0,0.84335166
90.0,90.0,0.04519494
91.0,91.0,0.6664594
92.0,92.0,0.5399371
93.0,93.0,0.5379762
94.0,94.0,0.4014719
95.0,95.0,0.8879857
96.0,96.0,0.024379676
97.0,97.0,0.53236914
98.0,98.0,0.5671165
99.0,99.0,0.0038933097
100.0,100.0,0.030594291
101.0,101.0,0.05995021
102.0,102.0,0.8331384
103.0,103.0,0.46170443
104.0,104.0,0.10974483
105.0,105.0,0.76866823
106.0,106.0,0.0625523
107.0,107.0,0.7761229
108.0,108.0,0.3015759
109.0,109.0,0.05723902
110.0,110.0,0.6965738
111.0,111.0,0.067530595
112.0,112.0,0.0051682116
113.0,113.0,0.004462662
114.0,114.0,0.77172655
115.0,115.0,0.8495776
116.0,116.0,0.025245639
117.0,117.0,0.8090573
118.0,118.0,0.7727977
119.0,119.0,0.3240996
120.0,120.0,0.8028035
121.0,121.0,0.6653002
122.0,122.0,0.45849317
123.0,123.0,0.73057395
124.0,124.0,0.8212926
125.0,125.0,0.56096363
126.0,126.0,0.40266603
127.0,127.0,0.516992
128.0,128.0,0.021376695
129.0,129.0,0.860831
130.0,130.0,0.008553588
131.0,131.0,0.61454034
132.0,132.0,0.19967902
133.0,133.0,0.6339178
134.0,134.0,0.7730643
135.0,135.0,0.6234893
136.0,136.0,0.32030967
137.0,137.0,0.020236144
138.0,138.0,0.6210887
139.0,139.0,0.2866122
140.0,140.0,0.0071582887
141.0,141.0,0.021855813
142.0,142.0,0.79985005
143.0,143.0,0.6834909
144.0,144.0,0.04925367
145.0,145.0,0.30051416
146.0,146.0,0.54238766
147.0,147.0,0.79424644
148.0,148.0,0.51362646
149.0,149.0,0.71257216
150.0,150.0,0.39704305
151.0,151.0,0.5510193
152.0,152.0,0.043703042
153.0,153.0,0.29609323
154.0,154.0,0.13490736
155.0,155.0,0.16328949
156.0,156.0,0.013163207
157.0,157.0,0.03443576
158.0,158.0,0.032126818
159.0,159.0,0.7840042
160.0,160.0,0.3649917
161.0,161.0,0.29326618
162.0,162.0,0.20900412
163.0,163.0,0.09015852
164.0,164.0,0.27793562
165.0,165.0,0.0068693403
166.0,166.0,0.29569477
167.0,167.0,0.76831216
168.0,168.0,0.05317312
169.0,169.0,0.37021843
170.0,170.0,0.7887769
171.0,171.0,0.47278893
172.0,172.0,0.09980665
173.0,173.0,0.024751648
174.0,174.0,0.14031634
175.0,175.0,0.04532641
176.0,176.0,0.030372862
177.0,177.0,0.8089529
