variable,x,y
swa_2000lulc_2km,1.0,0.7480700612068176
swa_2000lulc_2km,2.0,0.48654478788375854
swa_2000lulc_2km,3.0,0.48372653126716614
swa_2000lulc_2km,6.0,0.6668835282325745
swa_2000lulc_2km,8.0,0.6564987897872925
swa_2000lulc_2km,9.0,0.6668835282325745
swa_2000lulc_2km,13.0,0.8833040595054626
swa_2000lulc_2km,14.0,0.6668835282325745
swa_2000lulc_2km,15.0,0.2665680944919586
swa_2000lulc_2km,21.0,0.674763023853302
swa_2000lulc_2km,22.0,0.6668835282325745
swa_2000lulc_2km,25.0,0.6668835282325745
swa_2000lulc_2km,31.0,0.6668835282325745
swa_2000lulc_2km,78.0,0.6668835282325745
swa_2000lulc_2km,99.0,0.6668835282325745
