x,y,species_4 cloglog values
1.0,1.0,0.4543246
2.0,2.0,0.6369609
3.0,3.0,0.607529
4.0,4.0,0.7214726
5.0,5.0,0.8426836
6.0,6.0,0.42655876
7.0,7.0,0.46944037
8.0,8.0,0.68431765
9.0,9.0,0.5863913
10.0,10.0,0.44351846
11.0,11.0,0.4181456
12.0,12.0,0.76056856
13.0,13.0,0.5954293
14.0,14.0,0.40038753
15.0,15.0,0.5756107
16.0,16.0,0.5159673
17.0,17.0,0.74214876
18.0,18.0,0.7487767
19.0,19.0,0.7143834
20.0,20.0,0.6558116
21.0,21.0,0.7512712
22.0,22.0,0.6035159
23.0,23.0,0.66036534
24.0,24.0,0.6078933
25.0,25.0,0.3607236
26.0,26.0,0.3193352
27.0,27.0,0.69037324
28.0,28.0,0.67512274
29.0,29.0,0.68226707
30.0,30.0,0.6812469
31.0,31.0,0.661775
32.0,32.0,0.6943222
33.0,33.0,0.7381386
34.0,34.0,0.5478009
35.0,35.0,0.6402815
36.0,36.0,0.72346276
37.0,37.0,0.72782546
38.0,38.0,0.64596593
39.0,39.0,0.80096245
40.0,40.0,0.51502776
41.0,41.0,0.69549704
42.0,42.0,0.5452282
43.0,43.0,0.34051684
44.0,44.0,0.68717897
45.0,45.0,0.6973255
46.0,46.0,0.6501968
47.0,47.0,0.35484636
48.0,48.0,0.44397762
49.0,49.0,0.48547396
50.0,50.0,0.5931792
51.0,51.0,0.562153
52.0,52.0,0.604417
53.0,53.0,0.52237314
54.0,54.0,0.7500185
55.0,55.0,0.6464178
56.0,56.0,0.7188341
57.0,57.0,0.7022273
58.0,58.0,0.4507172
59.0,59.0,0.41298664
60.0,60.0,0.60541344
61.0,61.0,0.68856096
62.0,62.0,0.7441532
63.0,63.0,0.3162721
64.0,64.0,0.42804337
65.0,65.0,0.7365171
66.0,66.0,0.5756871
67.0,67.0,0.53958994
68.0,68.0,0.42572063
69.0,69.0,0.6186856
70.0,70.0,0.6676586
71.0,71.0,0.67559844
72.0,72.0,0.668157
73.0,73.0,0.6704229
74.0,74.0,0.6914992
75.0,75.0,0.71319526
76.0,76.0,0.4729736
77.0,77.0,0.6925507
78.0,78.0,0.6789878
79.0,79.0,0.69699913
80.0,80.0,0.37064487
81.0,81.0,0.63269824
82.0,82.0,0.6464089
83.0,83.0,0.6583172
84.0,84.0,0.6030235
85.0,85.0,0.67759013
86.0,86.0,0.37799117
87.0,87.0,0.4961686
88.0,88.0,0.7281167
89.0,89.0,0.41544276
90.0,90.0,0.3939
91.0,91.0,0.43021944
92.0,92.0,0.3827594
93.0,93.0,0.81614554
94.0,94.0,0.63219386
95.0,95.0,0.36191797
96.0,96.0,0.3658079
97.0,97.0,0.6502806
98.0,98.0,0.638612
99.0,99.0,0.31228924
100.0,100.0,0.644858
101.0,101.0,0.32911482
102.0,102.0,0.5200832
103.0,103.0,0.38976172
104.0,104.0,0.3463779
105.0,105.0,0.43275762
