x,y,species median
1.0,1.0,0.44796738
2.0,2.0,0.6044825
3.0,3.0,0.607529
4.0,4.0,0.7214726
5.0,5.0,0.8460196
6.0,6.0,0.4141283
7.0,7.0,0.44473884
8.0,8.0,0.68431765
9.0,9.0,0.5599435
10.0,10.0,0.4297012
11.0,11.0,0.4145597
12.0,12.0,0.76056856
13.0,13.0,0.5954293
14.0,14.0,0.3987161
15.0,15.0,0.54994655
16.0,16.0,0.4970188
17.0,17.0,0.74469084
18.0,18.0,0.7487767
19.0,19.0,0.6935464
20.0,20.0,0.6558116
21.0,21.0,0.7512712
22.0,22.0,0.6035159
23.0,23.0,0.66036534
24.0,24.0,0.6078933
25.0,25.0,0.38376704
26.0,26.0,0.3193352
27.0,27.0,0.69037324
28.0,28.0,0.67512274
29.0,29.0,0.68226707
30.0,30.0,0.6812469
31.0,31.0,0.661775
32.0,32.0,0.6943222
33.0,33.0,0.7381386
34.0,34.0,0.55161
35.0,35.0,0.6402815
36.0,36.0,0.72346276
37.0,37.0,0.702618
38.0,38.0,0.64596593
39.0,39.0,0.8087821
40.0,40.0,0.4965686
41.0,41.0,0.69549704
42.0,42.0,0.5243628
43.0,43.0,0.36379972
44.0,44.0,0.68717897
45.0,45.0,0.6973255
46.0,46.0,0.61883295
47.0,47.0,0.37857652
48.0,48.0,0.45457098
49.0,49.0,0.4626725
50.0,50.0,0.5931792
51.0,51.0,0.53821135
52.0,52.0,0.57919985
53.0,53.0,0.5038523
54.0,54.0,0.7500185
55.0,55.0,0.6464178
56.0,56.0,0.71910095
57.0,57.0,0.7022273
58.0,58.0,0.4700419
59.0,59.0,0.4312363
60.0,60.0,0.60541344
61.0,61.0,0.68856096
62.0,62.0,0.7441532
63.0,63.0,0.3162721
64.0,64.0,0.44132042
65.0,65.0,0.7365171
66.0,66.0,0.5756871
67.0,67.0,0.5182116
68.0,68.0,0.4377607
69.0,69.0,0.6186856
70.0,70.0,0.6676586
71.0,71.0,0.6539425
72.0,72.0,0.63271374
73.0,73.0,0.6704229
74.0,74.0,0.6914992
75.0,75.0,0.71319526
76.0,76.0,0.4508556
77.0,77.0,0.6925507
78.0,78.0,0.6789878
79.0,79.0,0.69699913
80.0,80.0,0.37064487
81.0,81.0,0.63269824
82.0,82.0,0.6146128
83.0,83.0,0.6583172
84.0,84.0,0.5738951
85.0,85.0,0.67759013
86.0,86.0,0.37708423
87.0,87.0,0.47333625
88.0,88.0,0.7102687
89.0,89.0,0.4047664
90.0,90.0,0.3939
91.0,91.0,0.41821063
92.0,92.0,0.40143937
93.0,93.0,0.8234036
94.0,94.0,0.63219386
95.0,95.0,0.38768
96.0,96.0,0.3658079
97.0,97.0,0.6263035
98.0,98.0,0.638612
99.0,99.0,0.2436977
100.0,100.0,0.644858
101.0,101.0,0.3511902
102.0,102.0,0.499636
103.0,103.0,0.38492125
104.0,104.0,0.3463779
105.0,105.0,0.4238131
106.0,106.0,0.53362167
107.0,107.0,0.5607573
108.0,108.0,0.7308214
109.0,109.0,0.6882145
110.0,110.0,0.40187576
111.0,111.0,0.7285454
112.0,112.0,0.7038267
113.0,113.0,0.5036144
114.0,114.0,0.54220426
115.0,115.0,0.6696989
116.0,116.0,0.34465742
117.0,117.0,0.2510183
118.0,118.0,0.6881944
119.0,119.0,0.6918413
120.0,120.0,0.5901255
121.0,121.0,0.4247211
122.0,122.0,0.7666344
123.0,123.0,0.44096375
124.0,124.0,0.47836837
125.0,125.0,0.49590874
126.0,126.0,0.6780928
127.0,127.0,0.5949019
128.0,128.0,0.52753794
129.0,129.0,0.7658514
130.0,130.0,0.6600714
131.0,131.0,0.6607164
132.0,132.0,0.36480278
133.0,133.0,0.79682
134.0,134.0,0.5781048
135.0,135.0,0.5844069
136.0,136.0,0.46925023
137.0,137.0,0.6525767
138.0,138.0,0.42644066
139.0,139.0,0.62513816
140.0,140.0,0.48414597
141.0,141.0,0.4989811
142.0,142.0,0.68628997
143.0,143.0,0.4753922
144.0,144.0,0.67104095
145.0,145.0,0.4282594
146.0,146.0,0.3257622
147.0,147.0,0.48281166
148.0,148.0,0.48848858
149.0,149.0,0.7700043
150.0,150.0,0.3687415
151.0,151.0,0.66240114
152.0,152.0,0.68671924
153.0,153.0,0.38790208
154.0,154.0,0.70918363
155.0,155.0,0.50928783
156.0,156.0,0.4250558
157.0,157.0,0.65856975
158.0,158.0,0.45490134
159.0,159.0,0.75613344
160.0,160.0,0.44960347
161.0,161.0,0.4004672
162.0,162.0,0.428606
163.0,163.0,0.41674194
164.0,164.0,0.5839199
165.0,165.0,0.37425143
166.0,166.0,0.5833587
167.0,167.0,0.529818
168.0,168.0,0.2705953
169.0,169.0,0.5620709
170.0,170.0,0.56523746
171.0,171.0,0.7161723
172.0,172.0,0.44676724
173.0,173.0,0.32136348
174.0,174.0,0.36412007
175.0,175.0,0.47128156
176.0,176.0,0.69064146
177.0,177.0,0.7010695
