X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,5.135140005495715E-4,53.79309377094489,0.6558313493401133
2.0,2.0,train,8.026195026491238E-4,96.54974260491558,0.8112112311241726
3.0,3.0,train,6.212526501422896E-4,87.55856726084461,0.7248415516971622
4.0,4.0,train,5.597601107259297E-4,69.3027148200923,0.6873533353876398
5.0,5.0,train,6.180587390894756E-4,86.74374554656603,0.7230100560493657
6.0,6.0,train,5.149394403255765E-4,54.17222203965368,0.6568488536648462
7.0,7.0,train,4.998611707447531E-4,48.270978188111854,0.6459315741243121
8.0,8.0,train,6.648387334959286E-4,92.9445700329593,0.748658102790978
9.0,9.0,train,5.945172717132622E-4,79.36095853274668,0.7091291522097631
11.0,11.0,train,6.099434854506354E-4,84.15308144010669,0.7183014714231595
12.0,12.0,train,5.15348911815397E-4,54.38850175269616,0.6571405851472004
13.0,13.0,train,6.052874443306009E-4,82.69469371066666,0.7155639219280776
14.0,14.0,train,6.49898867350305E-4,92.1957932071026,0.7407362581906086
15.0,15.0,train,8.148743086658177E-4,96.80617550991062,0.8159561171700934
17.0,17.0,train,6.082083760372902E-4,83.43568244888152,0.7172843960702706
18.0,18.0,train,5.866749723796586E-4,76.84597996829703,0.7043522710312056
19.0,19.0,train,0.0024896488549570476,98.952387942672,0.9943226280410886
20.0,20.0,train,5.082686973476376E-4,51.73934721440593,0.6520611116033075
22.0,22.0,train,3.024866356261344E-4,10.670315169994407,0.46650046541280954
23.0,23.0,train,3.4212437266360827E-4,18.523030143985793,0.5086648994150244
24.0,24.0,train,5.923523423749869E-4,78.82955681380099,0.7078182219018034
26.0,26.0,train,6.026075150546425E-4,82.05861511656667,0.7139761936647682
29.0,29.0,train,5.770890250081982E-4,73.88775946224446,0.6984066224212835
30.0,30.0,train,5.989609709042993E-4,81.05790182075562,0.7118015491365981
31.0,31.0,train,3.110049460064079E-4,13.163401622122805,0.475856890364561
32.0,32.0,train,6.943826875953423E-4,94.26933082470995,0.7636182219939975
33.0,33.0,train,5.186046171781923E-4,55.800634153050844,0.6594513321867584
34.0,34.0,train,6.065026586230478E-4,83.0171687555066,0.7162809702242006
36.0,36.0,train,5.978006107396289E-4,80.49320376311597,0.7111060977538555
37.0,37.0,train,5.572037385051394E-4,68.60232026003477,0.6856888105844594
38.0,38.0,train,5.217026534006711E-4,56.795203399864164,0.6616357109435362
39.0,39.0,train,5.216517407409063E-4,56.76628270041163,0.6615999266768939
41.0,41.0,train,6.279537075821185E-4,88.91701497912943,0.7286449001526321
