variable,x,y
swa_2000lulc_2km,1.0,0.8083862066268921
swa_2000lulc_2km,2.0,0.5504029989242554
swa_2000lulc_2km,3.0,0.20995385944843292
swa_2000lulc_2km,7.0,0.9430441856384277
swa_2000lulc_2km,8.0,0.6065174341201782
swa_2000lulc_2km,9.0,0.7352405190467834
swa_2000lulc_2km,12.0,0.6123548150062561
swa_2000lulc_2km,13.0,0.8084324598312378
swa_2000lulc_2km,14.0,0.7525889277458191
swa_2000lulc_2km,15.0,0.4880342483520508
swa_2000lulc_2km,21.0,0.6555210947990417
swa_2000lulc_2km,25.0,0.9051576852798462
swa_2000lulc_2km,31.0,0.6123548150062561
