Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.06716E-4,0.010671595,0.193465085,1,0,0.013888889
1.23661E-4,0.035116465,0.220535644,0.999092559,0,0.013888889
1.29982E-4,0.06065,0.23039988,0.998185118,0,0.013888889
1.37939E-4,0.100969957,0.242638617,0.996823956,0,0.013888889
1.48399E-4,0.201167199,0.25843349,0.993647913,0.003484321,0.013888889
1.57556E-4,0.308262591,0.271988284,0.990471869,0.006968641,0.013888889
1.61342E-4,0.404334964,0.277521243,0.987749546,0.010452962,0.013888889
1.65253E-4,0.503107943,0.283191338,0.985027223,0.010452962,0.013888889
1.67602E-4,0.602847256,0.286576287,0.9823049,0.013937282,0.013888889
1.73362E-4,0.705343636,0.294807984,0.979582577,0.013937282,0.013888889
1.75485E-4,0.757859845,0.297816982,0.978221416,0.013937282,0.013888889
1.78717E-4,0.811307485,0.302375224,0.976860254,0.013937282,0.013888889
1.81603E-4,0.901475021,0.306419265,0.974591652,0.013937282,0.013888889
1.86842E-4,1.012048528,0.313702649,0.971869328,0.017421603,0.013888889
1.90596E-4,1.106555807,0.318873727,0.969600726,0.017421603,0.013888889
1.93667E-4,1.202872895,0.323075194,0.967332123,0.017421603,0.013888889
1.96312E-4,1.300337811,0.326672766,0.965063521,0.017421603,0.013888889
1.99786E-4,1.419590378,0.331368734,0.962341198,0.017421603,0.013888889
2.01889E-4,1.520078416,0.334195503,0.960072595,0.017421603,0.013888889
2.0737E-4,1.765280778,0.341508013,0.954627949,0.024390244,0.013888889
2.12531E-4,2.018582061,0.348320119,0.949183303,0.024390244,0.013888889
2.16615E-4,2.254904307,0.353660223,0.944192377,0.024390244,0.013888889
2.23138E-4,2.519588262,0.362098464,0.938747731,0.024390244,0.013888889
2.27433E-4,2.76791983,0.367595281,0.933756806,0.027874564,0.013888889
2.30877E-4,3.020641466,0.371967657,0.92876588,0.031358885,0.013888889
2.32608E-4,3.252440941,0.374154405,0.924228675,0.031358885,0.013888889
2.37293E-4,3.511020672,0.380033849,0.91923775,0.038327526,0.013888889
2.41302E-4,3.750498978,0.38502205,0.914700544,0.038327526,0.041666667
2.44198E-4,4.017970031,0.388599677,0.909709619,0.038327526,0.055555556
2.47267E-4,4.263678762,0.392367745,0.905172414,0.041811847,0.069444444
2.5153E-4,4.512847533,0.397565239,0.900635209,0.052264808,0.069444444
2.56325E-4,4.767397896,0.403356486,0.896098004,0.055749129,0.069444444
2.59634E-4,5.000020217,0.407320701,0.892014519,0.06271777,0.083333333
2.61198E-4,5.260497573,0.409185439,0.887477314,0.06271777,0.083333333
2.64769E-4,5.523528938,0.413420877,0.882940109,0.066202091,0.097222222
2.66801E-4,5.762672681,0.415817608,0.878856624,0.069686411,0.097222222
2.68365E-4,6.003655972,0.417655635,0.87477314,0.069686411,0.111111111
2.70921E-4,6.27364826,0.420647373,0.870235935,0.069686411,0.125
2.73966E-4,6.518771242,0.424189975,0.86615245,0.073170732,0.125
2.76535E-4,6.766580794,0.427163471,0.862068966,0.076655052,0.125
2.78491E-4,7.016471773,0.4294164,0.857985481,0.076655052,0.125
2.80585E-4,7.268261926,0.431818853,0.853901996,0.076655052,0.125
2.82453E-4,7.521542758,0.433952247,0.849818512,0.076655052,0.138888889
2.84692E-4,7.777008684,0.436500182,0.845735027,0.080139373,0.138888889
2.86283E-4,8.005537646,0.4383037,0.842105263,0.080139373,0.138888889
2.89115E-4,8.26456435,0.441500095,0.838021779,0.080139373,0.138888889
2.89711E-4,8.524919041,0.442169826,0.833938294,0.083623693,0.138888889
2.92495E-4,8.75794352,0.445289606,0.83030853,0.083623693,0.138888889
2.93937E-4,9.021964885,0.446899355,0.826225045,0.083623693,0.138888889
2.95539E-4,9.257694891,0.448681868,0.822595281,0.087108014,0.138888889
2.97122E-4,9.524452948,0.450437517,0.818511797,0.094076655,0.138888889
2.99108E-4,9.763187473,0.452632015,0.814882033,0.094076655,0.138888889
3.00625E-4,10.003204665,0.454302789,0.811252269,0.094076655,0.138888889
3.02848E-4,10.274898485,0.456741088,0.807168784,0.097560976,0.138888889
3.05171E-4,10.518408331,0.459278098,0.80353902,0.104529617,0.138888889
3.07293E-4,10.763695544,0.461584772,0.799909256,0.108013937,0.138888889
3.08396E-4,11.010038647,0.462779608,0.796279492,0.108013937,0.166666667
3.10545E-4,11.257651009,0.465100765,0.792649728,0.111498258,0.166666667
3.12765E-4,11.506735476,0.467487798,0.789019964,0.114982578,0.166666667
3.13645E-4,11.757329089,0.468430668,0.7853902,0.118466899,0.166666667
3.15108E-4,12.00904709,0.469995267,0.781760436,0.118466899,0.166666667
3.17616E-4,12.262286084,0.472666643,0.778130672,0.118466899,0.180555556
3.19209E-4,12.517148276,0.474356331,0.774500907,0.118466899,0.180555556
3.21101E-4,12.773299655,0.476357066,0.770871143,0.12543554,0.180555556
3.23342E-4,13.031047466,0.478715954,0.767241379,0.128919861,0.180555556
3.24961E-4,13.257854066,0.48041369,0.764065336,0.128919861,0.180555556
3.26645E-4,13.518740357,0.482173113,0.760435572,0.132404181,0.180555556
3.29533E-4,13.781328579,0.485177746,0.756805808,0.132404181,0.180555556
3.31049E-4,14.01278144,0.486747089,0.753629764,0.135888502,0.180555556
3.32457E-4,14.278172969,0.48820192,0.75,0.135888502,0.180555556
3.34227E-4,14.511730589,0.490023464,0.746823956,0.135888502,0.180555556
3.36648E-4,14.780427772,0.492504411,0.743194192,0.139372822,0.180555556
3.38176E-4,15.016524029,0.494065326,0.740018149,0.139372822,0.194444444
