Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.31506E-4,0.013150612,0.236638961,1,0,0
1.64749E-4,0.029625542,0.287006569,0.999540652,0,0
1.74908E-4,0.064521798,0.301725405,0.998621957,0,0
1.80418E-4,0.100342436,0.30958035,0.997703261,0,0
1.91478E-4,0.21179083,0.325082484,0.994947175,0.003484321,0.013888889
2.08874E-4,0.313279503,0.348765036,0.992650436,0.006968641,0.013888889
2.18878E-4,0.421178538,0.362006359,0.990353698,0.010452962,0.013888889
2.25409E-4,0.51044486,0.370504967,0.988516307,0.010452962,0.013888889
2.32256E-4,0.60248348,0.379292301,0.986678916,0.017421603,0.013888889
2.36514E-4,0.720074883,0.384695891,0.984382177,0.017421603,0.013888889
2.42139E-4,0.768240659,0.391762071,0.983463482,0.017421603,0.013888889
2.44881E-4,0.816954637,0.395176606,0.982544786,0.017421603,0.013888889
2.48669E-4,0.915622143,0.399863336,0.980707395,0.017421603,0.013888889
2.53122E-4,1.015831863,0.405325035,0.978870005,0.017421603,0.013888889
2.57749E-4,1.117966488,0.410948529,0.977032614,0.017421603,0.013888889
2.64321E-4,1.223109685,0.418843189,0.975195223,0.017421603,0.013888889
2.66919E-4,1.302942405,0.421936092,0.97381718,0.017421603,0.013888889
2.70032E-4,1.410451943,0.425619318,0.971979789,0.020905923,0.013888889
2.71847E-4,1.518862456,0.427755696,0.970142398,0.020905923,0.013888889
2.84515E-4,1.770398317,0.442448745,0.966008268,0.024390244,0.013888889
2.88697E-4,2.000226935,0.447215625,0.962333486,0.024390244,0.013888889
2.92135E-4,2.261771899,0.451104784,0.958199357,0.024390244,0.013888889
2.95427E-4,2.526509378,0.454801892,0.954065227,0.027874564,0.013888889
2.97172E-4,2.763491322,0.456752301,0.950390446,0.031358885,0.013888889
2.98422E-4,3.001760947,0.458144402,0.946715664,0.031358885,0.013888889
2.99395E-4,3.270858769,0.459225975,0.942581534,0.034843206,0.013888889
3.0137E-4,3.511489609,0.461414121,0.938906752,0.034843206,0.013888889
3.04254E-4,3.753551218,0.464594393,0.935231971,0.034843206,0.013888889
3.06091E-4,4.028278169,0.466610491,0.931097841,0.038327526,0.013888889
3.07177E-4,4.273626179,0.467797897,0.927423059,0.038327526,0.013888889
3.08421E-4,4.519944935,0.469155849,0.923748277,0.041811847,0.013888889
3.09631E-4,4.767225867,0.470473714,0.920073496,0.041811847,0.013888889
3.11358E-4,5.015484423,0.472347246,0.916398714,0.045296167,0.013888889
3.12094E-4,5.264930565,0.473144508,0.912723932,0.052264808,0.013888889
3.13905E-4,5.515552592,0.475100354,0.90904915,0.052264808,0.013888889
3.16169E-4,5.767417295,0.477534822,0.905374368,0.055749129,0.027777778
3.17622E-4,6.021217025,0.479090696,0.901699587,0.055749129,0.027777778
3.18952E-4,6.26375096,0.480511329,0.898024805,0.059233449,0.027777778
3.21015E-4,6.500281452,0.482707485,0.894809371,0.06271777,0.069444444
3.22328E-4,6.757662821,0.484099838,0.891134589,0.069686411,0.069444444
3.23259E-4,7.01602894,0.485085397,0.887459807,0.080139373,0.083333333
3.24277E-4,7.274906634,0.486160702,0.883785025,0.080139373,0.083333333
3.24929E-4,7.502125865,0.48684815,0.880569591,0.080139373,0.083333333
3.2568E-4,7.762410623,0.487638375,0.876894809,0.080139373,0.083333333
3.26294E-4,8.023245082,0.488284296,0.873220028,0.090592334,0.083333333
3.27197E-4,8.251967567,0.489232552,0.870004593,0.090592334,0.083333333
3.27923E-4,8.514028876,0.489992662,0.866329812,0.090592334,0.083333333
3.28618E-4,8.776736132,0.490720437,0.86265503,0.090592334,0.083333333
3.29611E-4,9.003156062,0.491757687,0.859439596,0.094076655,0.083333333
3.3068E-4,9.271232083,0.492872171,0.855764814,0.097560976,0.097222222
3.31716E-4,9.503105299,0.493949921,0.85254938,0.101045296,0.111111111
3.33216E-4,9.769371913,0.49550587,0.848874598,0.101045296,0.111111111
3.34398E-4,10.00316628,0.496729134,0.845659164,0.104529617,0.111111111
3.3581E-4,10.271393294,0.4981855,0.841984382,0.108013937,0.111111111
3.36445E-4,10.506757078,0.498839701,0.838768948,0.108013937,0.111111111
3.37379E-4,10.776420735,0.49979975,0.835094166,0.111498258,0.125
3.38579E-4,11.013075772,0.501031217,0.831878732,0.118466899,0.125
3.39053E-4,11.250291545,0.501516262,0.828663298,0.118466899,0.125
3.40323E-4,11.522072272,0.502814725,0.824988516,0.12195122,0.125
3.41405E-4,11.760758909,0.503918107,0.821773082,0.12195122,0.125
3.42067E-4,12.000054047,0.504592199,0.818557648,0.12543554,0.125
3.43203E-4,12.274219598,0.505745528,0.814882866,0.12543554,0.138888889
3.43872E-4,12.514731384,0.506424914,0.811667432,0.128919861,0.152777778
3.44635E-4,12.75571074,0.507197497,0.808451998,0.135888502,0.152777778
3.45573E-4,13.031832922,0.508144919,0.804777216,0.135888502,0.166666667
3.46681E-4,13.274173229,0.509263279,0.801561782,0.139372822,0.180555556
3.47748E-4,13.517314407,0.510336838,0.798346348,0.142857143,0.180555556
3.48487E-4,13.760933253,0.511079448,0.795130914,0.142857143,0.180555556
3.49398E-4,14.005216402,0.511993272,0.79191548,0.142857143,0.180555556
3.49902E-4,14.250063198,0.512497898,0.788700046,0.146341463,0.180555556
3.50939E-4,14.53020651,0.513535225,0.785025264,0.149825784,0.180555556
3.52113E-4,14.776367017,0.51470652,0.78180983,0.149825784,0.180555556
3.5315E-4,15.023327875,0.515738534,0.778594396,0.153310105,0.194444444
3.54247E-4,15.270871742,0.516828303,0.775378962,0.156794425,0.194444444
3.54792E-4,15.519104682,0.517368444,0.772163528,0.160278746,0.194444444
3.55796E-4,15.767888582,0.518362272,0.768948094,0.160278746,0.194444444
3.56448E-4,16.017154328,0.519006404,0.76573266,0.163763066,0.194444444
3.57536E-4,16.267070159,0.520080365,0.762517226,0.167247387,0.222222222
3.58543E-4,16.517706251,0.521071729,0.759301791,0.174216028,0.222222222
3.59023E-4,16.768907288,0.521542716,0.756086357,0.174216028,0.222222222
3.59666E-4,17.020517785,0.5221746,0.752870923,0.174216028,0.222222222
3.60647E-4,17.272663973,0.523135542,0.749655489,0.177700348,0.236111111
3.61187E-4,17.525334756,0.523664393,0.746440055,0.177700348,0.236111111
3.6184E-4,17.778499858,0.5243031,0.743224621,0.181184669,0.236111111
3.62386E-4,18.032033191,0.524835699,0.740009187,0.181184669,0.236111111
3.63409E-4,18.286016983,0.525832981,0.736793753,0.18466899,0.236111111
3.64602E-4,18.504600557,0.526992411,0.734037667,0.18466899,0.236111111
3.65323E-4,18.760049312,0.527692213,0.730822232,0.18466899,0.236111111
3.66562E-4,19.016183972,0.528892672,0.727606798,0.18815331,0.236111111
3.67496E-4,19.27312731,0.52979543,0.724391364,0.18815331,0.236111111
3.68381E-4,19.530822055,0.530649343,0.72117593,0.18815331,0.236111111
3.68738E-4,19.751991801,0.530992382,0.718419844,0.18815331,0.236111111
3.69264E-4,20.010337561,0.53149913,0.71520441,0.191637631,0.236111111
3.70315E-4,20.269208559,0.532509301,0.711988976,0.191637631,0.236111111
3.70645E-4,20.528539381,0.532826096,0.708773542,0.191637631,0.236111111
3.71936E-4,20.75136832,0.534062369,0.706017455,0.195121951,0.236111111
3.72289E-4,21.011838013,0.534400433,0.702802021,0.195121951,0.236111111
3.7293E-4,21.27272519,0.53501208,0.699586587,0.198606272,0.236111111
3.74459E-4,21.534361356,0.536470284,0.696371153,0.202090592,0.236111111
3.75767E-4,21.759420095,0.537713524,0.693615067,0.202090592,0.25
3.75856E-4,22.022498845,0.537797625,0.690399633,0.202090592,0.25
3.76231E-4,22.285760541,0.538153051,0.687184198,0.202090592,0.25
3.76621E-4,22.511662025,0.538522835,0.684428112,0.202090592,0.25
3.77423E-4,22.775574273,0.539282585,0.681212678,0.205574913,0.25
3.77799E-4,23.002149955,0.539638273,0.678456592,0.205574913,0.25
3.78638E-4,23.266933048,0.540430513,0.675241158,0.216027875,0.25
3.79583E-4,23.532364743,0.54132162,0.672025723,0.219512195,0.263888889
3.80038E-4,23.760247709,0.54174998,0.669269637,0.219512195,0.263888889
3.8049E-4,24.026452775,0.542174701,0.666054203,0.222996516,0.263888889
3.80929E-4,24.254896865,0.542587549,0.663298117,0.222996516,0.263888889
3.81403E-4,24.521771947,0.543031794,0.660082683,0.222996516,0.263888889
3.81963E-4,24.750827319,0.543557759,0.657326596,0.226480836,0.263888889
3.82343E-4,25.018350753,0.543913878,0.654111162,0.226480836,0.263888889
3.82974E-4,25.286277361,0.54450412,0.650895728,0.226480836,0.263888889
3.83436E-4,25.5161726,0.544935624,0.648139642,0.226480836,0.263888889
3.83618E-4,25.784660914,0.545106157,0.644924208,0.229965157,0.263888889
3.83939E-4,26.014951406,0.545405445,0.642168121,0.229965157,0.263888889
3.84544E-4,26.283980695,0.545969965,0.638952687,0.229965157,0.277777778
3.85033E-4,26.514896653,0.546425519,0.636196601,0.229965157,0.277777778
3.85877E-4,26.784764122,0.547210726,0.632981167,0.229965157,0.277777778
3.86257E-4,27.016362364,0.547564063,0.63022508,0.229965157,0.305555556
3.86993E-4,27.286951911,0.54824709,0.627009646,0.233449477,0.305555556
3.8778E-4,27.519382608,0.548977068,0.62425356,0.233449477,0.305555556
3.882E-4,27.752240105,0.549365147,0.621497474,0.236933798,0.305555556
3.88821E-4,28.024286397,0.5499401,0.61828204,0.240418118,0.305555556
3.89817E-4,28.257882093,0.550859443,0.615525953,0.240418118,0.305555556
3.90459E-4,28.531010224,0.551450554,0.612310519,0.240418118,0.305555556
3.91287E-4,28.765631886,0.552212677,0.609554433,0.240418118,0.305555556
3.91735E-4,29.000505464,0.552624541,0.606798346,0.240418118,0.305555556
3.92454E-4,29.27495929,0.553284416,0.603582912,0.243902439,0.305555556
3.93231E-4,29.510654143,0.553996473,0.600826826,0.25087108,0.305555556
3.9465E-4,29.786610922,0.555294344,0.597611392,0.257839721,0.305555556
3.9548E-4,30.023705747,0.556051928,0.594855305,0.257839721,0.305555556
3.97267E-4,30.261830901,0.557677414,0.592099219,0.264808362,0.319444444
3.97987E-4,30.500504975,0.558331393,0.589343133,0.264808362,0.319444444
3.98975E-4,30.779591826,0.559225796,0.586127699,0.264808362,0.319444444
3.99391E-4,31.019094287,0.559602222,0.583371612,0.264808362,0.333333333
4.00071E-4,31.258936472,0.560217163,0.580615526,0.264808362,0.333333333
4.01003E-4,31.53920969,0.561057698,0.577400092,0.264808362,0.333333333
4.01682E-4,31.7800385,0.561669761,0.574644006,0.268292683,0.333333333
4.02121E-4,32.021219177,0.562064194,0.571887919,0.271777003,0.333333333
4.03416E-4,32.262908957,0.563226821,0.569131833,0.275261324,0.333333333
