Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.39201E-4,0.02392013,0.518199047,1,0,0
2.40595E-4,0.047979644,0.520244777,0.999675219,0,0
2.40879E-4,0.072067579,0.520660849,0.999350438,0,0
2.41276E-4,0.120314681,0.521240455,0.998700877,0,0
2.42738E-4,0.217300551,0.52337259,0.997401754,0,0.002717391
2.47423E-4,0.315549744,0.530140514,0.996102631,0.000679348,0.002717391
2.50007E-4,0.415093858,0.533833586,0.994803508,0.002038043,0.002717391
2.54641E-4,0.515800753,0.540380736,0.993504385,0.002038043,0.002717391
2.58079E-4,0.618329331,0.545180154,0.992205261,0.003396739,0.002717391
2.60149E-4,0.72217054,0.548045053,0.990906138,0.004755435,0.002717391
2.60352E-4,0.774232436,0.548324316,0.990256577,0.005434783,0.005434783
2.6042E-4,0.800274421,0.548418475,0.989931796,0.00611413,0.005434783
2.61195E-4,0.904643236,0.549485444,0.988632673,0.006793478,0.005434783
2.61574E-4,1.00920844,0.550006345,0.98733355,0.007472826,0.005434783
2.61694E-4,1.113853739,0.550171012,0.986034427,0.007472826,0.005434783
2.6194E-4,1.218580463,0.550508765,0.984735304,0.00951087,0.005434783
2.62359E-4,1.323466794,0.551084211,0.983436181,0.011548913,0.008152174
2.62417E-4,1.402187886,0.551163093,0.982461838,0.012907609,0.008152174
2.62537E-4,1.507192538,0.55132707,0.981162715,0.014266304,0.008152174
2.62901E-4,1.769921311,0.55182544,0.977914907,0.016983696,0.013586957
2.63122E-4,2.006604178,0.552128435,0.97499188,0.018342391,0.019021739
2.63458E-4,2.26994736,0.552586789,0.971744073,0.020380435,0.024456522
2.63609E-4,2.507139707,0.55279325,0.968821046,0.02173913,0.024456522
2.63859E-4,2.770866411,0.553134505,0.965573238,0.023777174,0.027173913
2.64054E-4,3.008407116,0.5534006,0.962650211,0.027173913,0.027173913
2.64425E-4,3.272695544,0.553906886,0.959402403,0.03125,0.029891304
2.64754E-4,3.510864846,0.554353821,0.956479376,0.035326087,0.04076087
2.65049E-4,3.775808954,0.554754613,0.953231569,0.038043478,0.043478261
2.65391E-4,4.014581052,0.555219363,0.950308542,0.041440217,0.048913043
2.65776E-4,4.253688756,0.555742353,0.947385515,0.042119565,0.051630435
2.66471E-4,4.519899249,0.556684481,0.944137707,0.046195652,0.051630435
2.67141E-4,4.760099439,0.557589084,0.94121468,0.049592391,0.051630435
2.67777E-4,5.000814258,0.558447878,0.938291653,0.054347826,0.051630435
2.68146E-4,5.268835535,0.558944638,0.935043845,0.057065217,0.051630435
