x,y,species_0 cloglog values
1.0,1.0,0.49499696
2.0,2.0,0.52001494
3.0,3.0,0.61928326
4.0,4.0,0.63133764
5.0,5.0,0.66696936
6.0,6.0,0.4575226
7.0,7.0,0.46383157
8.0,8.0,0.6092264
9.0,9.0,0.62256163
10.0,10.0,0.47211364
11.0,11.0,0.5528567
12.0,12.0,0.71660835
13.0,13.0,0.6605785
14.0,14.0,0.5337414
15.0,15.0,0.522653
16.0,16.0,0.49777263
17.0,17.0,0.6838717
18.0,18.0,0.7205346
19.0,19.0,0.850227
20.0,20.0,0.7893817
21.0,21.0,0.6573217
22.0,22.0,0.6007049
23.0,23.0,0.8149009
24.0,24.0,0.61014676
25.0,25.0,0.52123696
26.0,26.0,0.5913561
27.0,27.0,0.5617173
28.0,28.0,0.7182755
29.0,29.0,0.6009331
30.0,30.0,0.645137
31.0,31.0,0.68024594
32.0,32.0,0.6437347
33.0,33.0,0.62401456
34.0,34.0,0.5301106
35.0,35.0,0.57171035
36.0,36.0,0.62490547
37.0,37.0,0.8759982
38.0,38.0,0.60846233
39.0,39.0,0.7150777
40.0,40.0,0.5832997
41.0,41.0,0.7373968
42.0,42.0,0.46600032
43.0,43.0,0.719229
44.0,44.0,0.63679814
45.0,45.0,0.5617173
46.0,46.0,0.68402183
47.0,47.0,0.5212395
48.0,48.0,0.5587921
49.0,49.0,0.473628
50.0,50.0,0.6479463
51.0,51.0,0.50488335
52.0,52.0,0.5964483
53.0,53.0,0.52245146
54.0,54.0,0.67521363
55.0,55.0,0.69596684
56.0,56.0,0.58931965
57.0,57.0,0.8149009
58.0,58.0,0.5455359
59.0,59.0,0.5345728
60.0,60.0,0.61192554
61.0,61.0,0.6331613
62.0,62.0,0.66352856
63.0,63.0,0.5820457
64.0,64.0,0.53236353
65.0,65.0,0.7328685
66.0,66.0,0.6724719
67.0,67.0,0.49777263
68.0,68.0,0.53236353
69.0,69.0,0.6256098
70.0,70.0,0.65300333
71.0,71.0,0.7875423
72.0,72.0,0.5143534
73.0,73.0,0.81226814
74.0,74.0,0.65109694
75.0,75.0,0.6743831
76.0,76.0,0.473628
77.0,77.0,0.5617173
78.0,78.0,0.57804203
79.0,79.0,0.5617173
80.0,80.0,0.4575226
81.0,81.0,0.60969734
82.0,82.0,0.66412055
83.0,83.0,0.6097536
84.0,84.0,0.5114347
85.0,85.0,0.7160642
86.0,86.0,0.56143457
87.0,87.0,0.46163523
88.0,88.0,0.861758
89.0,89.0,0.4576594
90.0,90.0,0.50522226
91.0,91.0,0.45817947
92.0,92.0,0.56846136
93.0,93.0,0.72446907
94.0,94.0,0.60302216
95.0,95.0,0.5212395
96.0,96.0,0.5359804
97.0,97.0,0.88785064
98.0,98.0,0.63694084
99.0,99.0,0.5172824
100.0,100.0,0.57401603
101.0,101.0,0.59469604
102.0,102.0,0.4842568
103.0,103.0,0.5302264
104.0,104.0,0.48953435
105.0,105.0,0.47211364
106.0,106.0,0.6236923
107.0,107.0,0.56959575
108.0,108.0,0.56844985
109.0,109.0,0.7373968
110.0,110.0,0.4302898
111.0,111.0,0.6550322
112.0,112.0,0.79058427
113.0,113.0,0.5301034
114.0,114.0,0.46600032
115.0,115.0,0.778272
116.0,116.0,0.49153715
117.0,117.0,0.4972225
118.0,118.0,0.7095345
119.0,119.0,0.5425752
120.0,120.0,0.62709665
121.0,121.0,0.47211364
122.0,122.0,0.7163808
123.0,123.0,0.46003386
124.0,124.0,0.473628
125.0,125.0,0.5636513
126.0,126.0,0.6649672
127.0,127.0,0.6344053
128.0,128.0,0.56124246
129.0,129.0,0.6881311
130.0,130.0,0.71823424
131.0,131.0,0.57171035
132.0,132.0,0.72303253
133.0,133.0,0.62253344
134.0,134.0,0.5302452
135.0,135.0,0.53490835
136.0,136.0,0.48693737
137.0,137.0,0.6799806
138.0,138.0,0.52828115
139.0,139.0,0.5123832
140.0,140.0,0.48884928
141.0,141.0,0.47098133
142.0,142.0,0.65783554
143.0,143.0,0.5223767
144.0,144.0,0.6530276
145.0,145.0,0.4685428
146.0,146.0,0.625651
147.0,147.0,0.79659253
148.0,148.0,0.473628
149.0,149.0,0.61426765
150.0,150.0,0.71815246
151.0,151.0,0.5866835
152.0,152.0,0.59064347
153.0,153.0,0.552851
154.0,154.0,0.6269969
155.0,155.0,0.46600032
156.0,156.0,0.45817322
157.0,157.0,0.58449924
158.0,158.0,0.473628
159.0,159.0,0.72672933
160.0,160.0,0.51625127
161.0,161.0,0.5023962
162.0,162.0,0.45817947
163.0,163.0,0.5151717
164.0,164.0,0.50071526
165.0,165.0,0.5247746
166.0,166.0,0.6724719
167.0,167.0,0.5825469
168.0,168.0,0.54132843
169.0,169.0,0.57944113
170.0,170.0,0.595719
171.0,171.0,0.6301424
172.0,172.0,0.535255
