x,y,species median
1.0,1.0,0.49057904
2.0,2.0,0.49652377
3.0,3.0,0.61216015
4.0,4.0,0.63686633
5.0,5.0,0.7238932
6.0,6.0,0.43876955
7.0,7.0,0.44481876
8.0,8.0,0.60230434
9.0,9.0,0.61695904
10.0,10.0,0.4527645
11.0,11.0,0.54713124
12.0,12.0,0.7659165
13.0,13.0,0.6605785
14.0,14.0,0.512081
15.0,15.0,0.49984282
16.0,16.0,0.4759883
17.0,17.0,0.7075449
18.0,18.0,0.76444644
19.0,19.0,0.8435556
20.0,20.0,0.7893817
21.0,21.0,0.6873161
22.0,22.0,0.5939565
23.0,23.0,0.8149009
24.0,24.0,0.60320604
25.0,25.0,0.5162198
26.0,26.0,0.5913561
27.0,27.0,0.5557973
28.0,28.0,0.7260409
29.0,29.0,0.59418
30.0,30.0,0.6405811
31.0,31.0,0.68024594
32.0,32.0,0.63868725
33.0,33.0,0.6380543
34.0,34.0,0.5248928
35.0,35.0,0.56557333
36.0,36.0,0.62837136
37.0,37.0,0.8759982
38.0,38.0,0.60155565
39.0,39.0,0.7920095
40.0,40.0,0.56724
41.0,41.0,0.74563664
42.0,42.0,0.44689894
43.0,43.0,0.7419714
44.0,44.0,0.6293203
45.0,45.0,0.5557973
46.0,46.0,0.68342656
47.0,47.0,0.5162223
48.0,48.0,0.5529361
49.0,49.0,0.454218
50.0,50.0,0.64437526
51.0,51.0,0.48031378
52.0,52.0,0.5946743
53.0,53.0,0.49958912
54.0,54.0,0.70911247
55.0,55.0,0.70342886
56.0,56.0,0.590541
57.0,57.0,0.8149009
58.0,58.0,0.53997266
59.0,59.0,0.5292546
60.0,60.0,0.60494906
61.0,61.0,0.62552494
62.0,62.0,0.68503064
63.0,63.0,0.5820457
64.0,64.0,0.527095
65.0,65.0,0.7678719
66.0,66.0,0.6004328
67.0,67.0,0.4759883
68.0,68.0,0.527095
69.0,69.0,0.61836267
70.0,70.0,0.65120494
71.0,71.0,0.7767476
72.0,72.0,0.50140184
73.0,73.0,0.8118021
74.0,74.0,0.64863044
75.0,75.0,0.68870384
76.0,76.0,0.454218
77.0,77.0,0.5557972
78.0,78.0,0.5717691
79.0,79.0,0.55769986
80.0,80.0,0.43876955
81.0,81.0,0.60276574
82.0,82.0,0.66072464
83.0,83.0,0.6028208
84.0,84.0,0.48690665
85.0,85.0,0.7238127
86.0,86.0,0.5555207
87.0,87.0,0.4427125
88.0,88.0,0.8603291
89.0,89.0,0.43890065
90.0,90.0,0.48051974
91.0,91.0,0.43939924
92.0,92.0,0.56239456
93.0,93.0,0.8109198
94.0,94.0,0.5962263
95.0,95.0,0.5162223
96.0,96.0,0.5142432
97.0,97.0,0.88785064
98.0,98.0,0.6295129
99.0,99.0,0.4401633
100.0,100.0,0.56782943
101.0,101.0,0.6027384
102.0,102.0,0.46442476
103.0,103.0,0.5086878
104.0,104.0,0.4694963
105.0,105.0,0.4527645
106.0,106.0,0.55628395
107.0,107.0,0.55182964
108.0,108.0,0.5761687
109.0,109.0,0.74529004
110.0,110.0,0.4130477
111.0,111.0,0.6727398
112.0,112.0,0.79058427
113.0,113.0,0.5248858
114.0,114.0,0.44689894
115.0,115.0,0.72364867
116.0,116.0,0.4714216
117.0,117.0,0.49275348
118.0,118.0,0.71744704
119.0,119.0,0.5370779
120.0,120.0,0.6215547
121.0,121.0,0.4527645
122.0,122.0,0.770717
123.0,123.0,0.44117704
124.0,124.0,0.454218
125.0,125.0,0.5451568
126.0,126.0,0.6649672
127.0,127.0,0.6289628
128.0,128.0,0.5553328
129.0,129.0,0.73648643
130.0,130.0,0.72599936
131.0,131.0,0.56557333
132.0,132.0,0.740329
133.0,133.0,0.6785575
134.0,134.0,0.52502435
135.0,135.0,0.5295826
136.0,136.0,0.4827047
137.0,137.0,0.6799806
138.0,138.0,0.5068105
139.0,139.0,0.49148268
140.0,140.0,0.48457265
141.0,141.0,0.45167786
142.0,142.0,0.65772986
143.0,143.0,0.49949506
144.0,144.0,0.6512377
145.0,145.0,0.44933802
146.0,146.0,0.6242545
147.0,147.0,0.7858802
148.0,148.0,0.454218
149.0,149.0,0.6529569
150.0,150.0,0.732057
151.0,151.0,0.57951796
152.0,152.0,0.5841039
153.0,153.0,0.5471257
154.0,154.0,0.6269969
155.0,155.0,0.44689894
156.0,156.0,0.43939325
157.0,157.0,0.578089
158.0,158.0,0.454218
159.0,159.0,0.76915294
160.0,160.0,0.5113473
161.0,161.0,0.4788017
162.0,162.0,0.43939924
163.0,163.0,0.49105123
164.0,164.0,0.47777924
165.0,165.0,0.51830286
166.0,166.0,0.6004328
167.0,167.0,0.576178
168.0,168.0,0.535859
169.0,169.0,0.5141159
170.0,170.0,0.5812355
171.0,171.0,0.6320533
172.0,172.0,0.5299215
173.0,173.0,0.4355107
174.0,174.0,0.4489724
175.0,175.0,0.44946918
176.0,176.0,0.57020295
177.0,177.0,0.54939866
