variable,x,y
swa_2000lulc_2km,1.0,0.7530655860900879
swa_2000lulc_2km,2.0,0.40348634123802185
swa_2000lulc_2km,3.0,0.372792512178421
swa_2000lulc_2km,6.0,0.6828051805496216
swa_2000lulc_2km,8.0,0.6828051805496216
swa_2000lulc_2km,9.0,0.6828051805496216
swa_2000lulc_2km,13.0,0.8459081053733826
swa_2000lulc_2km,14.0,0.6828051805496216
swa_2000lulc_2km,15.0,0.5179042220115662
swa_2000lulc_2km,21.0,0.6864786744117737
swa_2000lulc_2km,22.0,0.6828051805496216
swa_2000lulc_2km,25.0,0.6828051805496216
swa_2000lulc_2km,31.0,0.6828051805496216
swa_2000lulc_2km,78.0,0.6828051805496216
swa_2000lulc_2km,99.0,0.6828051805496216
