variable,x,y
swa_2000lulc_2km,1.0,0.6493553519248962
swa_2000lulc_2km,2.0,0.5464718341827393
swa_2000lulc_2km,3.0,0.442716509103775
swa_2000lulc_2km,6.0,0.6493553519248962
swa_2000lulc_2km,8.0,0.6493553519248962
swa_2000lulc_2km,9.0,0.6493553519248962
swa_2000lulc_2km,13.0,0.838611900806427
swa_2000lulc_2km,14.0,0.6493553519248962
swa_2000lulc_2km,15.0,0.4486275017261505
swa_2000lulc_2km,21.0,0.6927304267883301
swa_2000lulc_2km,22.0,0.6493553519248962
swa_2000lulc_2km,25.0,0.6493553519248962
swa_2000lulc_2km,31.0,0.6493553519248962
swa_2000lulc_2km,78.0,0.6493553519248962
swa_2000lulc_2km,99.0,0.6493553519248962
