x,y,species_1 cloglog values
1.0,1.0,0.5019489
2.0,2.0,0.61462486
3.0,3.0,0.6520252
4.0,4.0,0.6910334
5.0,5.0,0.712062
6.0,6.0,0.52079874
7.0,7.0,0.5432239
8.0,8.0,0.67419475
9.0,9.0,0.5938218
10.0,10.0,0.52859414
11.0,11.0,0.48641524
12.0,12.0,0.7117199
13.0,13.0,0.6435853
14.0,14.0,0.50554836
15.0,15.0,0.5889043
16.0,16.0,0.56269544
17.0,17.0,0.6959806
18.0,18.0,0.70492613
19.0,19.0,0.7967276
20.0,20.0,0.6643692
21.0,21.0,0.7088974
22.0,22.0,0.64764804
23.0,23.0,0.67298037
24.0,24.0,0.6520832
25.0,25.0,0.52746785
26.0,26.0,0.46167952
27.0,27.0,0.6679884
28.0,28.0,0.6796115
29.0,29.0,0.665698
30.0,30.0,0.67632467
31.0,31.0,0.66618556
32.0,32.0,0.68554837
33.0,33.0,0.6956466
34.0,34.0,0.6178354
35.0,35.0,0.65985096
36.0,36.0,0.6896897
37.0,37.0,0.7987399
38.0,38.0,0.66321766
39.0,39.0,0.7165972
40.0,40.0,0.56290495
41.0,41.0,0.68713754
42.0,42.0,0.5742444
43.0,43.0,0.5175958
44.0,44.0,0.67682374
45.0,45.0,0.6803341
46.0,46.0,0.61940765
47.0,47.0,0.52420634
48.0,48.0,0.5715411
49.0,49.0,0.54918367
50.0,50.0,0.6462817
51.0,51.0,0.5829138
52.0,52.0,0.45810154
53.0,53.0,0.56500196
54.0,54.0,0.7046598
55.0,55.0,0.6660388
56.0,56.0,0.6910451
57.0,57.0,0.68563396
58.0,58.0,0.5715251
59.0,59.0,0.55231065
60.0,60.0,0.6510549
61.0,61.0,0.682213
62.0,62.0,0.7019442
63.0,63.0,0.4593623
64.0,64.0,0.563364
65.0,65.0,0.7028051
66.0,66.0,0.630363
67.0,67.0,0.573349
68.0,68.0,0.5627388
69.0,69.0,0.656997
70.0,70.0,0.6703314
71.0,71.0,0.6306479
72.0,72.0,0.6274126
73.0,73.0,0.67300224
74.0,74.0,0.68501127
75.0,75.0,0.6913599
76.0,76.0,0.543812
77.0,77.0,0.6671447
78.0,78.0,0.6632008
79.0,79.0,0.68541175
80.0,80.0,0.49031085
81.0,81.0,0.6577447
82.0,82.0,0.6183677
83.0,83.0,0.6580308
84.0,84.0,0.60072803
85.0,85.0,0.67716414
86.0,86.0,0.46818855
87.0,87.0,0.55435514
88.0,88.0,0.80170643
89.0,89.0,0.51532906
90.0,90.0,0.5018694
91.0,91.0,0.5222329
92.0,92.0,0.5401453
93.0,93.0,0.7235238
94.0,94.0,0.6589008
95.0,95.0,0.5270598
96.0,96.0,0.4884608
97.0,97.0,0.77277285
98.0,98.0,0.66143996
99.0,99.0,0.33423096
100.0,100.0,0.6660563
101.0,101.0,0.51150084
102.0,102.0,0.56245613
103.0,103.0,0.50188476
104.0,104.0,0.47767758
105.0,105.0,0.5222768
106.0,106.0,0.60942024
107.0,107.0,0.59497863
108.0,108.0,0.6906027
109.0,109.0,0.6791233
110.0,110.0,0.39642823
111.0,111.0,0.70099664
112.0,112.0,0.6909511
113.0,113.0,0.5937381
114.0,114.0,0.58347636
115.0,115.0,0.671794
116.0,116.0,0.4747836
117.0,117.0,0.41314968
118.0,118.0,0.6842814
119.0,119.0,0.67124444
120.0,120.0,0.60773575
121.0,121.0,0.52533
122.0,122.0,0.7113467
123.0,123.0,0.5384197
124.0,124.0,0.556025
125.0,125.0,0.55716527
126.0,126.0,0.6803345
127.0,127.0,0.6093065
128.0,128.0,0.6082128
129.0,129.0,0.71592474
130.0,130.0,0.6732997
131.0,131.0,0.6542157
132.0,132.0,0.5191366
133.0,133.0,0.7193948
134.0,134.0,0.63610363
135.0,135.0,0.63826185
136.0,136.0,0.5862379
137.0,137.0,0.65166485
138.0,138.0,0.52202004
139.0,139.0,0.6233863
140.0,140.0,0.5942757
141.0,141.0,0.55951136
142.0,142.0,0.66933936
143.0,143.0,0.5541812
144.0,144.0,0.6733237
145.0,145.0,0.52099454
146.0,146.0,0.46593115
147.0,147.0,0.7006844
148.0,148.0,0.55955905
149.0,149.0,0.70635027
150.0,150.0,0.5201504
151.0,151.0,0.6685908
152.0,152.0,0.68149364
153.0,153.0,0.47329205
154.0,154.0,0.68600947
155.0,155.0,0.56629854
156.0,156.0,0.5285499
157.0,157.0,0.6697769
158.0,158.0,0.5444309
159.0,159.0,0.6942721
160.0,160.0,0.56934834
161.0,161.0,0.5080382
162.0,162.0,0.5305939
163.0,163.0,0.5120798
164.0,164.0,0.6049752
165.0,165.0,0.50646394
166.0,166.0,0.63375413
167.0,167.0,0.6068833
168.0,168.0,0.42270598
169.0,169.0,0.62455493
170.0,170.0,0.5964747
171.0,171.0,0.68895173
172.0,172.0,0.5607053
173.0,173.0,0.46329933
174.0,174.0,0.4865438
