x,y,species avg
1.0,1.0,0.5203225
2.0,2.0,0.6106381
3.0,3.0,0.65253466
4.0,4.0,0.6945937
5.0,5.0,0.7087976
6.0,6.0,0.51904017
7.0,7.0,0.5409403
8.0,8.0,0.67816764
9.0,9.0,0.59012413
10.0,10.0,0.5266357
11.0,11.0,0.50485754
12.0,12.0,0.71071726
13.0,13.0,0.64813036
14.0,14.0,0.50403696
15.0,15.0,0.58549136
16.0,16.0,0.5599159
17.0,17.0,0.69928104
18.0,18.0,0.7079173
19.0,19.0,0.78974265
20.0,20.0,0.6680071
21.0,21.0,0.7081465
22.0,22.0,0.6522346
23.0,23.0,0.6718208
24.0,24.0,0.6526036
25.0,25.0,0.53454775
26.0,26.0,0.4610617
27.0,27.0,0.6657295
28.0,28.0,0.6792252
29.0,29.0,0.6634349
30.0,30.0,0.6801796
31.0,31.0,0.6701579
32.0,32.0,0.68528056
33.0,33.0,0.6991134
34.0,34.0,0.62316734
35.0,35.0,0.66420215
36.0,36.0,0.69328856
37.0,37.0,0.79163134
38.0,38.0,0.6674431
39.0,39.0,0.71309537
40.0,40.0,0.56000465
41.0,41.0,0.686525
42.0,42.0,0.57124543
43.0,43.0,0.5243461
44.0,44.0,0.6806943
45.0,45.0,0.6842283
46.0,46.0,0.61493415
47.0,47.0,0.5313412
48.0,48.0,0.5777715
49.0,49.0,0.5467489
50.0,50.0,0.6468505
51.0,51.0,0.5796618
52.0,52.0,0.4885687
53.0,53.0,0.5621353
54.0,54.0,0.7078097
55.0,55.0,0.6660201
56.0,56.0,0.69075495
57.0,57.0,0.68765205
58.0,58.0,0.57777387
59.0,59.0,0.55766314
60.0,60.0,0.6515953
61.0,61.0,0.682049
62.0,62.0,0.7012998
63.0,63.0,0.45879772
64.0,64.0,0.569786
65.0,65.0,0.70190793
66.0,66.0,0.63090897
67.0,67.0,0.57032526
68.0,68.0,0.56917256
69.0,69.0,0.65739
70.0,70.0,0.6742985
71.0,71.0,0.6231934
72.0,72.0,0.62315506
73.0,73.0,0.6723955
74.0,74.0,0.684731
75.0,75.0,0.69478726
76.0,76.0,0.54150087
77.0,77.0,0.66490376
78.0,78.0,0.6610218
79.0,79.0,0.68527484
80.0,80.0,0.4892493
81.0,81.0,0.6620926
82.0,82.0,0.61398315
83.0,83.0,0.65591997
84.0,84.0,0.59706366
85.0,85.0,0.6807661
86.0,86.0,0.48675078
87.0,87.0,0.5518185
88.0,88.0,0.7946161
89.0,89.0,0.5136959
90.0,90.0,0.5004798
91.0,91.0,0.5204404
92.0,92.0,0.5469425
93.0,93.0,0.7198764
94.0,94.0,0.6632315
95.0,95.0,0.53414655
96.0,96.0,0.48733753
97.0,97.0,0.7659915
98.0,98.0,0.6656624
99.0,99.0,0.36219564
100.0,100.0,0.6663219
101.0,101.0,0.51871
102.0,102.0,0.5597011
103.0,103.0,0.500462
104.0,104.0,0.47685903
105.0,105.0,0.52046376
106.0,106.0,0.6104872
107.0,107.0,0.59136397
108.0,108.0,0.69425696
109.0,109.0,0.68260807
110.0,110.0,0.42626128
111.0,111.0,0.70039827
112.0,112.0,0.6900698
113.0,113.0,0.59956974
114.0,114.0,0.580267
115.0,115.0,0.6711694
116.0,116.0,0.47402766
117.0,117.0,0.4319176
118.0,118.0,0.6838242
119.0,119.0,0.6689426
120.0,120.0,0.60370976
121.0,121.0,0.5234467
122.0,122.0,0.7142188
123.0,123.0,0.53625214
124.0,124.0,0.5534328
125.0,125.0,0.55442333
126.0,126.0,0.68010956
127.0,127.0,0.60522133
128.0,128.0,0.6137043
129.0,129.0,0.7149429
130.0,130.0,0.6730494
131.0,131.0,0.65223825
132.0,132.0,0.52586746
133.0,133.0,0.71848994
134.0,134.0,0.6370798
135.0,135.0,0.6431457
136.0,136.0,0.59228075
137.0,137.0,0.649507
138.0,138.0,0.5201366
139.0,139.0,0.619217
140.0,140.0,0.6001546
141.0,141.0,0.5568428
142.0,142.0,0.6668765
143.0,143.0,0.5515636
144.0,144.0,0.6732893
145.0,145.0,0.51921594
146.0,146.0,0.46515554
147.0,147.0,0.69552875
148.0,148.0,0.5568856
149.0,149.0,0.7095888
150.0,150.0,0.5268967
151.0,151.0,0.6687843
152.0,152.0,0.6814025
153.0,153.0,0.49183258
154.0,154.0,0.6896874
155.0,155.0,0.56348145
156.0,156.0,0.52661216
157.0,157.0,0.67388445
158.0,158.0,0.54210556
159.0,159.0,0.6911094
160.0,160.0,0.5756791
161.0,161.0,0.506511
162.0,162.0,0.5286091
163.0,163.0,0.5104427
164.0,164.0,0.6012307
165.0,165.0,0.50775754
166.0,166.0,0.634226
167.0,167.0,0.6123736
168.0,168.0,0.44142905
169.0,169.0,0.62535256
170.0,170.0,0.59279114
171.0,171.0,0.69256
172.0,172.0,0.56717324
173.0,173.0,0.46283588
174.0,174.0,0.48555318
175.0,175.0,0.5410185
176.0,176.0,0.68404144
177.0,177.0,0.6909008
178.0,178.0,0.5506196
179.0,179.0,0.6794803
180.0,180.0,0.6293266
181.0,181.0,0.60940534
182.0,182.0,0.41435447
183.0,183.0,0.6039097
184.0,184.0,0.65707433
185.0,185.0,0.6994365
186.0,186.0,0.5445266
187.0,187.0,0.69486374
188.0,188.0,0.609953
189.0,189.0,0.61900973
190.0,190.0,0.50620764
191.0,191.0,0.6435025
192.0,192.0,0.82240915
193.0,193.0,0.63243645
194.0,194.0,0.69493634
195.0,195.0,0.67298144
196.0,196.0,0.59199053
197.0,197.0,0.515705
198.0,198.0,0.5306727
199.0,199.0,0.5535123
200.0,200.0,0.5056186
201.0,201.0,0.601835
202.0,202.0,0.5270114
203.0,203.0,0.57594657
204.0,204.0,0.6244201
205.0,205.0,0.55077755
206.0,206.0,0.585818
207.0,207.0,0.60457516
208.0,208.0,0.5258378
209.0,209.0,0.50978136
210.0,210.0,0.70795137
211.0,211.0,0.8057759
212.0,212.0,0.7142313
213.0,213.0,0.46736816
214.0,214.0,0.6838651
215.0,215.0,0.45240945
216.0,216.0,0.52563834
217.0,217.0,0.61942416
218.0,218.0,0.53264105
219.0,219.0,0.66884387
220.0,220.0,0.68466824
221.0,221.0,0.6160848
222.0,222.0,0.6992323
223.0,223.0,0.46638757
224.0,224.0,0.6724543
225.0,225.0,0.66752154
226.0,226.0,0.46359825
227.0,227.0,0.5163581
228.0,228.0,0.6842262
229.0,229.0,0.67240316
230.0,230.0,0.42760235
231.0,231.0,0.664968
232.0,232.0,0.56399196
233.0,233.0,0.6995719
234.0,234.0,0.68495286
235.0,235.0,0.70566005
236.0,236.0,0.7013771
237.0,237.0,0.5660786
238.0,238.0,0.650168
239.0,239.0,0.42544976
240.0,240.0,0.7028919
241.0,241.0,0.58602375
242.0,242.0,0.5063146
243.0,243.0,0.58305085
244.0,244.0,0.68457264
245.0,245.0,0.6040194
246.0,246.0,0.70751905
247.0,247.0,0.5180822
248.0,248.0,0.49955985
249.0,249.0,0.4660099
250.0,250.0,0.6837957
251.0,251.0,0.4545147
252.0,252.0,0.6848367
253.0,253.0,0.5209686
254.0,254.0,0.57747775
255.0,255.0,0.56329507
256.0,256.0,0.7077915
257.0,257.0,0.6774894
258.0,258.0,0.6821426
259.0,259.0,0.61767995
260.0,260.0,0.5499672
261.0,261.0,0.59568936
262.0,262.0,0.6568135
263.0,263.0,0.5687507
264.0,264.0,0.6098101
265.0,265.0,0.6551266
266.0,266.0,0.6782046
267.0,267.0,0.67825234
268.0,268.0,0.48883462
269.0,269.0,0.5966015
270.0,270.0,0.7167992
271.0,271.0,0.67897135
272.0,272.0,0.63082653
273.0,273.0,0.46000746
274.0,274.0,0.55477154
275.0,275.0,0.61243874
276.0,276.0,0.47498044
277.0,277.0,0.67022365
278.0,278.0,0.52963847
279.0,279.0,0.58149964
280.0,280.0,0.54880285
281.0,281.0,0.46547163
282.0,282.0,0.6266795
283.0,283.0,0.5911927
284.0,284.0,0.52247936
285.0,285.0,0.68674344
286.0,286.0,0.55806637
287.0,287.0,0.46061322
288.0,288.0,0.55059415
289.0,289.0,0.6599493
290.0,290.0,0.5240207
291.0,291.0,0.49848866
292.0,292.0,0.68573743
293.0,293.0,0.5240164
294.0,294.0,0.65135884
295.0,295.0,0.61679167
296.0,296.0,0.62610483
297.0,297.0,0.68583393
298.0,298.0,0.4975091
299.0,299.0,0.6983064
300.0,300.0,0.48756194
301.0,301.0,0.4840126
302.0,302.0,0.67132515
303.0,303.0,0.50145733
304.0,304.0,0.57821393
305.0,305.0,0.5546315
306.0,306.0,0.504648
307.0,307.0,0.6098101
308.0,308.0,0.6834557
309.0,309.0,0.6832758
310.0,310.0,0.6768784
311.0,311.0,0.6813751
312.0,312.0,0.50739324
313.0,313.0,0.71282184
314.0,314.0,0.46635324
315.0,315.0,0.46278924
316.0,316.0,0.55481106
317.0,317.0,0.67112625
318.0,318.0,0.57685924
319.0,319.0,0.53304434
320.0,320.0,0.6970649
321.0,321.0,0.5662157
322.0,322.0,0.6603447
323.0,323.0,0.6750059
324.0,324.0,0.6903241
325.0,325.0,0.52879626
326.0,326.0,0.55140495
327.0,327.0,0.67642117
328.0,328.0,0.56580424
329.0,329.0,0.6005429
330.0,330.0,0.4993419
331.0,331.0,0.5891122
332.0,332.0,0.53819823
333.0,333.0,0.59653014
334.0,334.0,0.6759259
335.0,335.0,0.52382153
336.0,336.0,0.58166164
337.0,337.0,0.68140095
338.0,338.0,0.521793
339.0,339.0,0.6792429
340.0,340.0,0.64931685
341.0,341.0,0.5156739
342.0,342.0,0.5206285
343.0,343.0,0.5456158
344.0,344.0,0.5709672
345.0,345.0,0.6284306
346.0,346.0,0.6954422
347.0,347.0,0.5372568
348.0,348.0,0.5637799
349.0,349.0,0.5489027
350.0,350.0,0.6959293
351.0,351.0,0.6765321
352.0,352.0,0.5377268
353.0,353.0,0.61481774
354.0,354.0,0.65099615
355.0,355.0,0.69077647
356.0,356.0,0.8148596
357.0,357.0,0.5963561
358.0,358.0,0.64289445
359.0,359.0,0.49952903
360.0,360.0,0.5930123
361.0,361.0,0.6724841
362.0,362.0,0.6537954
363.0,363.0,0.6676681
364.0,364.0,0.6943789
365.0,365.0,0.48821628
366.0,366.0,0.66368717
367.0,367.0,0.69842136
368.0,368.0,0.6099655
369.0,369.0,0.42043307
370.0,370.0,0.55041224
371.0,371.0,0.6969608
372.0,372.0,0.68766904
373.0,373.0,0.70003015
374.0,374.0,0.6916163
375.0,375.0,0.5911728
376.0,376.0,0.67473763
377.0,377.0,0.6837861
378.0,378.0,0.62103975
379.0,379.0,0.53695714
380.0,380.0,0.685869
381.0,381.0,0.5568612
382.0,382.0,0.5896709
383.0,383.0,0.5434897
384.0,384.0,0.52112997
385.0,385.0,0.46849695
386.0,386.0,0.61674565
387.0,387.0,0.70874596
388.0,388.0,0.46377006
389.0,389.0,0.61001706
390.0,390.0,0.49032503
391.0,391.0,0.53221035
392.0,392.0,0.6585357
393.0,393.0,0.5554439
394.0,394.0,0.72423106
395.0,395.0,0.6044506
396.0,396.0,0.53413486
397.0,397.0,0.7130252
398.0,398.0,0.46621788
399.0,399.0,0.6897925
400.0,400.0,0.6551865
401.0,401.0,0.60732514
402.0,402.0,0.6879408
403.0,403.0,0.8016094
404.0,404.0,0.658279
405.0,405.0,0.5667472
406.0,406.0,0.52880836
407.0,407.0,0.3849944
408.0,408.0,0.62499416
409.0,409.0,0.52440983
410.0,410.0,0.5536179
411.0,411.0,0.5051084
412.0,412.0,0.46027857
413.0,413.0,0.55969286
414.0,414.0,0.6726092
415.0,415.0,0.68848234
416.0,416.0,0.68307066
417.0,417.0,0.5615454
418.0,418.0,0.54992366
419.0,419.0,0.61479557
420.0,420.0,0.73757464
421.0,421.0,0.60571116
422.0,422.0,0.51918894
423.0,423.0,0.558628
424.0,424.0,0.59021956
425.0,425.0,0.6060339
426.0,426.0,0.62039685
427.0,427.0,0.6127906
428.0,428.0,0.67772806
429.0,429.0,0.59817266
430.0,430.0,0.6630552
431.0,431.0,0.4793756
432.0,432.0,0.5085667
433.0,433.0,0.6669447
434.0,434.0,0.59021956
435.0,435.0,0.6894921
436.0,436.0,0.5823217
437.0,437.0,0.6597343
438.0,438.0,0.67657775
439.0,439.0,0.6073251
440.0,440.0,0.7162259
441.0,441.0,0.68957794
442.0,442.0,0.7110131
443.0,443.0,0.67598677
444.0,444.0,0.67504096
445.0,445.0,0.52122563
446.0,446.0,0.61004233
447.0,447.0,0.5482656
448.0,448.0,0.4644075
449.0,449.0,0.6264398
450.0,450.0,0.68583935
451.0,451.0,0.7142188
452.0,452.0,0.55890286
453.0,453.0,0.59363216
454.0,454.0,0.4179513
455.0,455.0,0.5767885
456.0,456.0,0.6885881
457.0,457.0,0.4670405
458.0,458.0,0.52093387
459.0,459.0,0.6362683
460.0,460.0,0.6106349
461.0,461.0,0.52475995
462.0,462.0,0.53685486
463.0,463.0,0.4948117
464.0,464.0,0.4665243
465.0,465.0,0.69438744
466.0,466.0,0.545227
467.0,467.0,0.5165941
468.0,468.0,0.50843453
469.0,469.0,0.6978095
470.0,470.0,0.6611864
471.0,471.0,0.6715035
472.0,472.0,0.69524366
473.0,473.0,0.67917216
474.0,474.0,0.53051966
475.0,475.0,0.50298035
476.0,476.0,0.73120356
477.0,477.0,0.53371125
478.0,478.0,0.69929415
479.0,479.0,0.55989444
480.0,480.0,0.55477154
481.0,481.0,0.70002216
482.0,482.0,0.65604
483.0,483.0,0.49565107
484.0,484.0,0.60145026
485.0,485.0,0.5068074
486.0,486.0,0.54440945
487.0,487.0,0.66233903
488.0,488.0,0.5411971
489.0,489.0,0.49741405
490.0,490.0,0.53090674
491.0,491.0,0.6673678
492.0,492.0,0.58486646
493.0,493.0,0.5502963
494.0,494.0,0.6505617
495.0,495.0,0.68081886
496.0,496.0,0.6072155
497.0,497.0,0.68595266
498.0,498.0,0.6760002
499.0,499.0,0.4511731
500.0,500.0,0.67858636
501.0,501.0,0.57126284
502.0,502.0,0.50992286
503.0,503.0,0.683795
504.0,504.0,0.6713488
505.0,505.0,0.71369517
506.0,506.0,0.6604323
507.0,507.0,0.66293645
508.0,508.0,0.53331107
509.0,509.0,0.6534584
510.0,510.0,0.68323696
511.0,511.0,0.63855046
512.0,512.0,0.6538268
513.0,513.0,0.679094
514.0,514.0,0.50792974
515.0,515.0,0.6765377
516.0,516.0,0.5138913
517.0,517.0,0.50930727
518.0,518.0,0.4946326
519.0,519.0,0.69679725
520.0,520.0,0.6411075
521.0,521.0,0.58918947
522.0,522.0,0.62827444
523.0,523.0,0.62551314
524.0,524.0,0.67646754
525.0,525.0,0.69650185
526.0,526.0,0.513101
527.0,527.0,0.43184522
528.0,528.0,0.5572675
529.0,529.0,0.6836506
530.0,530.0,0.51715034
531.0,531.0,0.5418849
532.0,532.0,0.7105968
533.0,533.0,0.779993
534.0,534.0,0.50258875
535.0,535.0,0.6609866
536.0,536.0,0.6902813
537.0,537.0,0.5504712
538.0,538.0,0.6863962
539.0,539.0,0.6873868
540.0,540.0,0.7057384
541.0,541.0,0.601016
542.0,542.0,0.5738688
543.0,543.0,0.70693105
544.0,544.0,0.5603704
545.0,545.0,0.7029409
546.0,546.0,0.5716815
547.0,547.0,0.6497228
548.0,548.0,0.68835574
549.0,549.0,0.6810798
550.0,550.0,0.55835724
551.0,551.0,0.61105037
552.0,552.0,0.5022973
553.0,553.0,0.5218211
554.0,554.0,0.60292363
555.0,555.0,0.65710306
556.0,556.0,0.5132988
557.0,557.0,0.50965816
558.0,558.0,0.65637386
559.0,559.0,0.6864981
560.0,560.0,0.68713254
561.0,561.0,0.5904497
562.0,562.0,0.5166717
563.0,563.0,0.67879033
564.0,564.0,0.5650867
565.0,565.0,0.6765432
566.0,566.0,0.6988482
567.0,567.0,0.5144934
568.0,568.0,0.61817515
569.0,569.0,0.52208763
570.0,570.0,0.7044649
571.0,571.0,0.69257385
572.0,572.0,0.5897688
573.0,573.0,0.5030231
574.0,574.0,0.67261744
575.0,575.0,0.46358663
576.0,576.0,0.6970451
577.0,577.0,0.6449862
578.0,578.0,0.5796618
579.0,579.0,0.72433513
580.0,580.0,0.5630879
581.0,581.0,0.6206109
582.0,582.0,0.7151687
583.0,583.0,0.5079472
584.0,584.0,0.49024022
585.0,585.0,0.5395642
