variable,x,y
swa_2000lulc_2km,1.0,0.7967129349708557
swa_2000lulc_2km,2.0,0.719592273235321
swa_2000lulc_2km,3.0,0.6115263104438782
swa_2000lulc_2km,6.0,0.7967129349708557
swa_2000lulc_2km,8.0,0.8024804592132568
swa_2000lulc_2km,9.0,0.7967129349708557
swa_2000lulc_2km,13.0,0.7967129349708557
swa_2000lulc_2km,14.0,0.9435759782791138
swa_2000lulc_2km,15.0,0.7967129349708557
swa_2000lulc_2km,21.0,0.7345073223114014
swa_2000lulc_2km,22.0,0.7967129349708557
swa_2000lulc_2km,25.0,0.7967129349708557
swa_2000lulc_2km,31.0,0.7967129349708557
swa_2000lulc_2km,78.0,0.7967129349708557
swa_2000lulc_2km,99.0,0.7967129349708557
