x,y,species_0 cloglog values
1.0,1.0,0.4185934
2.0,2.0,0.45632678
3.0,3.0,0.4858058
4.0,4.0,0.6752367
5.0,5.0,0.93348104
6.0,6.0,0.35881346
7.0,7.0,0.3079207
8.0,8.0,0.64353406
9.0,9.0,0.51753765
10.0,10.0,0.31909212
11.0,11.0,0.42755654
12.0,12.0,0.7897693
13.0,13.0,0.58303005
14.0,14.0,0.3525047
15.0,15.0,0.4161668
16.0,16.0,0.36617583
17.0,17.0,0.81081575
18.0,18.0,0.8186467
19.0,19.0,0.60621846
20.0,20.0,0.88152313
21.0,21.0,0.65505916
22.0,22.0,0.5039206
23.0,23.0,0.8230623
24.0,24.0,0.48000026
25.0,25.0,0.34894675
26.0,26.0,0.36886802
27.0,27.0,0.57778335
28.0,28.0,0.72453946
29.0,29.0,0.59274733
30.0,30.0,0.65077823
31.0,31.0,0.72493595
32.0,32.0,0.60955894
33.0,33.0,0.70322585
34.0,34.0,0.46551904
35.0,35.0,0.5393863
36.0,36.0,0.69320965
37.0,37.0,0.7213552
38.0,38.0,0.5638124
39.0,39.0,0.8132293
40.0,40.0,0.41994694
41.0,41.0,0.7866117
42.0,42.0,0.3704973
43.0,43.0,0.60791814
44.0,44.0,0.6579571
45.0,45.0,0.60810894
46.0,46.0,0.7013606
47.0,47.0,0.34595722
48.0,48.0,0.41132626
49.0,49.0,0.33252162
50.0,50.0,0.51013047
51.0,51.0,0.39699942
52.0,52.0,0.44505888
53.0,53.0,0.3912802
54.0,54.0,0.7399932
55.0,55.0,0.6727718
56.0,56.0,0.6165938
57.0,57.0,0.8918527
58.0,58.0,0.43306312
59.0,59.0,0.7577329
60.0,60.0,0.47944486
61.0,61.0,0.5943156
62.0,62.0,0.7115698
63.0,63.0,0.3711638
64.0,64.0,0.386623
65.0,65.0,0.80445623
66.0,66.0,0.47523987
67.0,67.0,0.37711835
68.0,68.0,0.3811104
69.0,69.0,0.49596357
70.0,70.0,0.658937
71.0,71.0,0.82180506
72.0,72.0,0.47535425
73.0,73.0,0.8631029
74.0,74.0,0.61577874
75.0,75.0,0.708618
76.0,76.0,0.32364094
77.0,77.0,0.5964243
78.0,78.0,0.5822521
79.0,79.0,0.54554844
80.0,80.0,0.3485215
81.0,81.0,0.55394894
82.0,82.0,0.65282315
83.0,83.0,0.5576047
84.0,84.0,0.42362663
85.0,85.0,0.7657278
86.0,86.0,0.3971907
87.0,87.0,0.32751042
88.0,88.0,0.6490126
89.0,89.0,0.3000656
90.0,90.0,0.33399642
91.0,91.0,0.30397052
92.0,92.0,0.38624483
