Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.09733E-4,0.020973325,0.33422347,1,0,0
2.25605E-4,0.043533825,0.354407165,0.999533582,0,0
2.2893E-4,0.066426803,0.358557056,0.999067164,0,0
2.30931E-4,0.112465829,0.361042573,0.998134328,0,0
2.35245E-4,0.205758538,0.366365962,0.996268657,0,0
2.41343E-4,0.302086385,0.373816693,0.994402985,0,0
2.42311E-4,0.423023382,0.37499056,0.992070896,0.004545455,0
2.42865E-4,0.5200729,0.375662093,0.990205224,0.004545455,0
2.43649E-4,0.617340491,0.376610613,0.988339552,0.004545455,0
2.4466E-4,0.715062749,0.377831924,0.986473881,0.004545455,0
2.44799E-4,0.76401915,0.377999982,0.985541045,0.004545455,0
2.45336E-4,0.813074868,0.378647893,0.984608209,0.004545455,0
2.4633E-4,0.911436161,0.379844672,0.982742537,0.004545455,0
2.46621E-4,1.010049621,0.380193847,0.980876866,0.004545455,0
2.4692E-4,1.108782428,0.380553553,0.979011194,0.004545455,0
2.47727E-4,1.207737304,0.381522215,0.977145522,0.004545455,0
2.48333E-4,1.30696885,0.382249387,0.975279851,0.004545455,0
2.49188E-4,1.406514193,0.383272078,0.973414179,0.004545455,0
2.494E-4,1.506250144,0.383526023,0.971548507,0.004545455,0
2.51352E-4,1.756767599,0.385855759,0.966884328,0.009090909,0
2.53272E-4,2.009358124,0.388139116,0.962220149,0.009090909,0
2.54274E-4,2.263126197,0.389326105,0.95755597,0.009090909,0
2.55177E-4,2.517998193,0.390394983,0.952891791,0.009090909,0.018181818
2.55666E-4,2.773470263,0.390973066,0.948227612,0.009090909,0.018181818
2.56583E-4,3.004009572,0.392054845,0.944029851,0.009090909,0.018181818
2.58021E-4,3.261642906,0.393749004,0.939365672,0.013636364,0.018181818
2.5933E-4,3.520289666,0.395285886,0.934701493,0.013636364,0.018181818
2.60691E-4,3.754419566,0.396880806,0.930503731,0.018181818,0.036363636
2.61789E-4,4.015772763,0.398163445,0.925839552,0.022727273,0.054545455
2.62995E-4,4.251905464,0.39956976,0.921641791,0.022727273,0.072727273
2.64226E-4,4.51561919,0.401001936,0.916977612,0.031818182,0.072727273
2.64722E-4,4.753704544,0.401577833,0.912779851,0.05,0.072727273
2.66003E-4,5.018965317,0.403062561,0.908115672,0.05,0.072727273
2.67182E-4,5.258812629,0.404425797,0.90391791,0.05,0.072727273
2.68136E-4,5.526265057,0.40552658,0.899253731,0.05,0.072727273
2.68952E-4,5.768015317,0.4064668,0.89505597,0.05,0.072727273
2.69704E-4,6.010298276,0.407332032,0.890858209,0.059090909,0.072727273
2.70666E-4,6.253464437,0.40843729,0.886660448,0.059090909,0.072727273
2.71347E-4,6.524393136,0.409217762,0.881996269,0.063636364,0.072727273
2.71653E-4,6.768776361,0.409568368,0.877798507,0.068181818,0.072727273
2.72538E-4,7.013752965,0.410581135,0.873600746,0.072727273,0.072727273
2.73087E-4,7.259239297,0.411208482,0.869402985,0.072727273,0.072727273
2.73482E-4,7.505174509,0.411659859,0.865205224,0.072727273,0.090909091
2.74661E-4,7.751917842,0.413003331,0.861007463,0.072727273,0.090909091
2.75339E-4,8.026890366,0.413774715,0.856343284,0.072727273,0.090909091
2.76631E-4,8.275170194,0.41524232,0.852145522,0.072727273,0.090909091
2.77297E-4,8.524468318,0.415996358,0.847947761,0.086363636,0.090909091
2.78263E-4,8.774558111,0.417089715,0.84375,0.086363636,0.090909091
2.78649E-4,9.025213194,0.417525728,0.839552239,0.086363636,0.109090909
2.7944E-4,9.276441813,0.418418667,0.835354478,0.090909091,0.109090909
2.80273E-4,9.500449589,0.419358541,0.831623134,0.095454545,0.127272727
2.80516E-4,9.752811469,0.419631429,0.827425373,0.095454545,0.127272727
2.8102E-4,10.005580838,0.420198907,0.823227612,0.095454545,0.127272727
2.81424E-4,10.258734529,0.420652986,0.819029851,0.1,0.127272727
2.81833E-4,10.512196685,0.421112218,0.81483209,0.113636364,0.127272727
2.82146E-4,10.766018854,0.421463239,0.810634328,0.113636364,0.127272727
2.82939E-4,11.020333404,0.422352445,0.806436567,0.113636364,0.127272727
2.83329E-4,11.275203194,0.422789762,0.802238806,0.113636364,0.127272727
2.84055E-4,11.50226967,0.423601793,0.798507463,0.118181818,0.127272727
2.8482E-4,11.758311017,0.424456437,0.794309701,0.122727273,0.127272727
2.85462E-4,12.014881596,0.425173046,0.79011194,0.122727273,0.127272727
2.85919E-4,12.272025204,0.425681806,0.785914179,0.122727273,0.127272727
2.86936E-4,12.501206389,0.426813596,0.782182836,0.131818182,0.127272727
2.8762E-4,12.759794164,0.427573385,0.777985075,0.136363636,0.127272727
2.88408E-4,13.019052214,0.428448207,0.773787313,0.136363636,0.127272727
2.89218E-4,13.250139951,0.429345352,0.77005597,0.136363636,0.127272727
2.89874E-4,13.510741284,0.43007107,0.765858209,0.140909091,0.127272727
2.90336E-4,13.771832048,0.430580918,0.761660448,0.145454545,0.127272727
2.90771E-4,14.004328873,0.43106153,0.757929104,0.15,0.127272727
2.91857E-4,14.266516277,0.432258704,0.753731343,0.159090909,0.127272727
2.92777E-4,14.500553694,0.433271334,0.75,0.168181818,0.127272727
2.93511E-4,14.764441196,0.434076687,0.745802239,0.168181818,0.127272727
2.944E-4,15.029045025,0.435052335,0.741604478,0.168181818,0.127272727
2.95132E-4,15.264944278,0.435853434,0.737873134,0.168181818,0.127272727
2.95898E-4,15.501429271,0.436690928,0.734141791,0.172727273,0.127272727
2.97035E-4,15.768251414,0.43793194,0.72994403,0.172727273,0.127272727
2.98032E-4,16.006384515,0.439017689,0.726212687,0.177272727,0.127272727
2.99087E-4,16.275140011,0.440164773,0.722014925,0.181818182,0.145454545
2.99779E-4,16.514740357,0.440915674,0.718283582,0.181818182,0.145454545
3.00211E-4,16.754814261,0.441383758,0.714552239,0.181818182,0.163636364
3.0123E-4,17.025467053,0.442486505,0.710354478,0.186363636,0.181818182
3.02304E-4,17.266957074,0.44364699,0.706623134,0.186363636,0.2
3.02977E-4,17.509091365,0.444372956,0.702891791,0.186363636,0.2
3.03622E-4,17.751750251,0.445067989,0.699160448,0.186363636,0.2
3.0512E-4,18.02575069,0.446677769,0.694962687,0.190909091,0.2
3.06227E-4,18.270400112,0.447864474,0.691231343,0.190909091,0.2
3.07333E-4,18.515820404,0.44904749,0.6875,0.190909091,0.2
3.08287E-4,18.762126303,0.450066162,0.683768657,0.190909091,0.2
3.08985E-4,19.008999996,0.450810348,0.680037313,0.190909091,0.2
3.09612E-4,19.25644488,0.451477921,0.67630597,0.190909091,0.2
3.10714E-4,19.504636577,0.452649377,0.672574627,0.2,0.2
3.12269E-4,19.753900018,0.454296921,0.668843284,0.2,0.2
3.13549E-4,20.004239487,0.455650799,0.66511194,0.204545455,0.218181818
3.14789E-4,20.255502343,0.456958029,0.661380597,0.204545455,0.218181818
3.15152E-4,20.507486154,0.457340117,0.657649254,0.204545455,0.218181818
3.15829E-4,20.759803394,0.458051972,0.65391791,0.204545455,0.218181818
3.1666E-4,21.012760715,0.458925169,0.650186567,0.209090909,0.218181818
