Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.11836E-4,0.031183637,0.484139512,1,0,0
3.139E-4,0.062573648,0.486394347,0.999534234,0,0
3.14245E-4,0.125417393,0.486770637,0.998602701,0.004424779,0
3.14476E-4,0.251161626,0.487021574,0.996739637,0.008849558,0
3.14972E-4,0.314142108,0.487561748,0.995808104,0.013274336,0
3.15284E-4,0.408672927,0.487900334,0.994410806,0.013274336,0
3.1563E-4,0.503335432,0.488277165,0.993013507,0.013274336,0
3.1694E-4,0.629850873,0.489698283,0.991150442,0.017699115,0
3.17254E-4,0.724972436,0.490037564,0.989753144,0.017699115,0
3.1737E-4,0.788434822,0.490163411,0.988821612,0.017699115,0
3.1737E-4,0.820171829,0.49016342,0.988355845,0.017699115,0
3.17658E-4,0.915426788,0.490474685,0.986958547,0.017699115,0.01754386
3.17871E-4,1.010769366,0.490705224,0.985561248,0.017699115,0.01754386
3.18104E-4,1.106194521,0.490957045,0.98416395,0.017699115,0.01754386
3.18571E-4,1.201703843,0.491461077,0.982766651,0.017699115,0.01754386
3.19002E-4,1.329203238,0.491926972,0.980903586,0.017699115,0.01754386
3.19119E-4,1.424922779,0.492053052,0.979506288,0.022123894,0.01754386
3.19313E-4,1.520693234,0.492261977,0.978108989,0.022123894,0.01754386
3.19623E-4,1.776327851,0.492595839,0.97438286,0.022123894,0.01754386
3.20291E-4,2.032368374,0.493314673,0.97065673,0.022123894,0.01754386
3.20878E-4,2.288872161,0.493946039,0.966930601,0.026548673,0.01754386
3.22174E-4,2.513904399,0.495336341,0.963670238,0.026548673,0.01754386
3.23392E-4,2.772219778,0.496638381,0.959944108,0.026548673,0.01754386
3.24243E-4,3.031295099,0.49754748,0.956217979,0.026548673,0.01754386
3.24901E-4,3.258484582,0.498249051,0.952957615,0.026548673,0.01754386
3.27171E-4,3.519595259,0.500660135,0.949231486,0.026548673,0.01754386
3.27708E-4,3.781534231,0.501229831,0.945505356,0.026548673,0.01754386
3.28734E-4,4.044223772,0.50231418,0.941779227,0.026548673,0.01754386
3.30461E-4,4.275085696,0.504135948,0.938518864,0.026548673,0.01754386
3.32912E-4,4.507481952,0.506708682,0.9352585,0.026548673,0.01754386
3.57876E-4,4.751280837,0.532167679,0.931998137,0.026548673,0.035087719
3.61777E-4,5.003349274,0.536025072,0.928737774,0.026548673,0.035087719
3.66813E-4,5.258500909,0.540958258,0.92547741,0.03539823,0.035087719
3.70558E-4,6.258285608,0.544592923,0.912901723,0.039823009,0.052631579
3.74692E-4,6.518635063,0.548572417,0.90964136,0.044247788,0.052631579
4.05704E-4,6.757285875,0.57733164,0.906846763,0.044247788,0.052631579
4.10592E-4,7.002093645,0.581693986,0.904052166,0.048672566,0.052631579
4.18798E-4,7.251555213,0.588917133,0.901257569,0.048672566,0.052631579
4.18925E-4,7.670480625,0.589028468,0.896599907,0.053097345,0.052631579
4.19168E-4,7.754291073,0.589239744,0.895668374,0.053097345,0.052631579
4.19235E-4,16.934070148,0.589298748,0.79366558,0.128318584,0.192982456
4.19478E-4,17.059869228,0.589510059,0.792268281,0.128318584,0.192982456
4.1995E-4,17.269748396,0.589921228,0.78993945,0.128318584,0.192982456
4.20423E-4,17.56387876,0.590332448,0.786679087,0.128318584,0.210526316
4.20831E-4,17.774199458,0.590687643,0.784350256,0.128318584,0.210526316
4.21294E-4,18.026815612,0.591089629,0.781555659,0.128318584,0.210526316
4.21758E-4,18.279737167,0.591491661,0.778761062,0.128318584,0.210526316
4.21977E-4,18.575051283,0.591682281,0.775500699,0.14159292,0.210526316
4.22497E-4,18.828390777,0.592132667,0.772706102,0.146017699,0.210526316
4.22807E-4,19.0397524,0.592400763,0.770377271,0.146017699,0.210526316
4.23616E-4,19.293689503,0.593100249,0.767582673,0.146017699,0.228070175
4.24238E-4,19.505652974,0.593636605,0.765253843,0.154867257,0.245614035
4.2486E-4,19.802837144,0.594173039,0.761993479,0.154867257,0.245614035
4.25327E-4,20.015391768,0.594575415,0.759664648,0.159292035,0.245614035
4.25795E-4,20.27072853,0.594977835,0.756870051,0.163716814,0.245614035
4.26828E-4,20.56929452,0.595864691,0.753609688,0.163716814,0.245614035
4.27672E-4,20.868476785,0.596587933,0.750349325,0.163716814,0.245614035
4.27985E-4,21.082391053,0.596856347,0.748020494,0.168141593,0.245614035
4.28395E-4,21.339333038,0.597206697,0.745225897,0.17699115,0.245614035
4.28613E-4,21.51073881,0.597393229,0.743362832,0.181415929,0.245614035
4.29085E-4,21.810968862,0.597795937,0.740102469,0.181415929,0.245614035
4.30029E-4,22.025788308,0.598601471,0.737773638,0.181415929,0.245614035
4.30818E-4,22.284073834,0.599272867,0.734979041,0.185840708,0.245614035
4.32716E-4,22.543244765,0.600884644,0.732184443,0.185840708,0.245614035
4.33828E-4,22.75995836,0.601825116,0.729855612,0.190265487,0.245614035
4.38624E-4,23.02181447,0.605857802,0.727061015,0.194690265,0.245614035
4.43147E-4,23.28649897,0.60962441,0.724266418,0.194690265,0.245614035
4.44325E-4,23.50849927,0.610599199,0.721937587,0.194690265,0.245614035
4.46898E-4,23.775886297,0.612720143,0.71914299,0.199115044,0.245614035
4.49526E-4,24.044532533,0.614874499,0.716348393,0.203539823,0.245614035
4.50337E-4,24.269518096,0.615536732,0.714019562,0.203539823,0.245614035
4.52004E-4,24.540361184,0.616894735,0.711224965,0.203539823,0.245614035
4.53165E-4,24.766744514,0.61783767,0.708896134,0.207964602,0.263157895
4.53729E-4,25.084155849,0.618294909,0.705635771,0.207964602,0.263157895
4.54329E-4,25.265827393,0.618780697,0.703772706,0.207964602,0.263157895
4.55496E-4,25.584324261,0.61972381,0.700512343,0.216814159,0.263157895
4.56666E-4,25.766756522,0.620667003,0.698649278,0.225663717,0.263157895
4.5851E-4,26.041324446,0.622149311,0.695854681,0.243362832,0.263157895
4.5952E-4,26.270847304,0.622957911,0.69352585,0.247787611,0.263157895
4.60362E-4,26.500838897,0.623631779,0.691197019,0.247787611,0.263157895
4.61883E-4,26.777613757,0.624844809,0.688402422,0.247787611,0.263157895
4.63919E-4,27.055303095,0.626462303,0.685607825,0.247787611,0.263157895
4.65281E-4,27.287850878,0.627540695,0.683278994,0.247787611,0.263157895
4.66305E-4,27.520781357,0.628349514,0.680950163,0.247787611,0.263157895
4.67845E-4,27.847715335,0.629562777,0.6776898,0.252212389,0.280701754
4.6836E-4,28.034939264,0.629967205,0.675826735,0.252212389,0.280701754
4.70252E-4,28.26963501,0.631450124,0.673497904,0.256637168,0.280701754
4.71632E-4,28.505105902,0.63252862,0.671169073,0.256637168,0.280701754
4.73017E-4,28.788535227,0.633607112,0.668374476,0.261061947,0.280701754
4.73981E-4,76.460910012,0.634355762,0.199813694,0.707964602,0.789473684
4.74058E-4,76.555713924,0.634415973,0.198882161,0.707964602,0.789473684
4.74765E-4,76.792922814,0.634963716,0.19655333,0.712389381,0.807017544
4.75276E-4,77.030423079,0.635359629,0.194224499,0.716814159,0.807017544
4.75935E-4,77.268259158,0.635869709,0.191895668,0.716814159,0.807017544
4.77158E-4,77.50329063,0.63681333,0.189566837,0.716814159,0.807017544
4.77896E-4,77.793064785,0.637381671,0.18677224,0.716814159,0.824561404
4.7891E-4,78.032396816,0.638161305,0.184443409,0.725663717,0.824561404
4.7965E-4,78.27201728,0.638729614,0.182114578,0.725663717,0.824561404
4.8053E-4,78.512129982,0.639403552,0.179785748,0.725663717,0.824561404
4.80882E-4,78.752542011,0.639673121,0.177456917,0.725663717,0.824561404
4.81588E-4,79.089475481,0.640212246,0.174196553,0.725663717,0.824561404
4.82256E-4,79.330412903,0.640722217,0.171867722,0.730088496,0.824561404
4.83179E-4,79.523517409,0.641425212,0.170004658,0.734513274,0.824561404
4.84026E-4,79.765378672,0.642069904,0.167675827,0.738938053,0.824561404
4.85842E-4,80.007905459,0.643446586,0.165346996,0.752212389,0.824561404
4.86733E-4,80.251018473,0.644120304,0.163018165,0.752212389,0.824561404
4.89236E-4,80.531562783,0.646006487,0.160223568,0.761061947,0.842105263
4.91393E-4,80.83817269,0.647622921,0.157428971,0.765486726,0.859649123
4.92616E-4,81.035086299,0.648536587,0.155565906,0.765486726,0.859649123
4.94282E-4,81.28184355,0.649777685,0.153237075,0.769911504,0.877192982
4.95007E-4,81.529198203,0.650316282,0.150908244,0.769911504,0.877192982
4.96097E-4,81.777006504,0.651124102,0.148579413,0.783185841,0.877192982
4.96642E-4,82.025178277,0.651527977,0.146250582,0.783185841,0.877192982
4.97189E-4,82.273699808,0.651931828,0.143921751,0.783185841,0.877192982
4.98831E-4,82.572779366,0.653143231,0.141127154,0.787610619,0.877192982
4.9938E-4,82.772385034,0.653546981,0.139264089,0.787610619,0.877192982
5.00113E-4,83.022276426,0.654085272,0.136935259,0.796460177,0.877192982
5.01213E-4,83.372887153,0.654892617,0.133674895,0.796460177,0.877192982
5.01949E-4,83.523398186,0.655430784,0.132277597,0.796460177,0.894736842
5.02317E-4,83.774482873,0.655699849,0.129948766,0.796460177,0.894736842
5.02869E-4,84.076038578,0.656103421,0.127154169,0.800884956,0.894736842
5.03567E-4,84.277366628,0.656612392,0.125291104,0.800884956,0.894736842
5.0453E-4,84.529548376,0.657313956,0.122962273,0.800884956,0.894736842
5.05416E-4,84.78215311,0.657957282,0.120633442,0.800884956,0.894736842
5.06343E-4,85.08581176,0.658629594,0.117838845,0.800884956,0.894736842
5.0694E-4,85.339110468,0.659062002,0.115510014,0.800884956,0.894736842
5.07497E-4,85.542008399,0.659465309,0.113646949,0.800884956,0.894736842
5.08574E-4,85.846908221,0.660242762,0.110852352,0.805309735,0.894736842
5.09547E-4,86.050663018,0.660943804,0.108989287,0.809734513,0.894736842
5.11003E-4,86.254764802,0.661989723,0.107126223,0.809734513,0.894736842
5.11752E-4,86.612747735,0.66252711,0.103865859,0.814159292,0.894736842
5.12544E-4,86.766426052,0.663093467,0.102468561,0.82300885,0.912280702
5.15328E-4,87.023702175,0.665078748,0.10013973,0.82300885,0.912280702
