variable,x,y
swa_2000lulc_2km,1.0,0.4510290324687958
swa_2000lulc_2km,2.0,0.6717073321342468
swa_2000lulc_2km,3.0,0.586414098739624
swa_2000lulc_2km,6.0,0.5673166513442993
swa_2000lulc_2km,8.0,0.5673166513442993
swa_2000lulc_2km,9.0,0.5673166513442993
swa_2000lulc_2km,13.0,0.9731215238571167
swa_2000lulc_2km,14.0,0.9734606742858887
swa_2000lulc_2km,15.0,0.5161780714988708
swa_2000lulc_2km,21.0,0.38584890961647034
swa_2000lulc_2km,22.0,0.5673166513442993
swa_2000lulc_2km,25.0,0.5673166513442993
swa_2000lulc_2km,31.0,0.5673166513442993
swa_2000lulc_2km,78.0,0.5673166513442993
swa_2000lulc_2km,99.0,0.5673166513442993
