x,y,species_4 cloglog values
1.0,1.0,0.4137976
2.0,2.0,0.45444393
3.0,3.0,0.4724576
4.0,4.0,0.24877293
5.0,5.0,0.087473966
6.0,6.0,0.85152256
7.0,7.0,0.7030106
8.0,8.0,0.40033785
9.0,9.0,0.6318781
10.0,10.0,0.62889224
11.0,11.0,0.45119795
12.0,12.0,0.16014677
13.0,13.0,0.6580998
14.0,14.0,0.58364856
15.0,15.0,0.53368896
16.0,16.0,0.56287014
17.0,17.0,0.2691094
18.0,18.0,0.24046913
19.0,19.0,0.8517787
20.0,20.0,0.71667314
21.0,21.0,0.124863744
22.0,22.0,0.59213364
23.0,23.0,0.7266612
24.0,24.0,0.4630445
25.0,25.0,0.5449925
26.0,26.0,0.6431919
27.0,27.0,0.32892716
28.0,28.0,0.5414823
29.0,29.0,0.3958423
30.0,30.0,0.4190266
31.0,31.0,0.53286093
32.0,32.0,0.28016484
33.0,33.0,0.20794034
34.0,34.0,0.47947633
35.0,35.0,0.44346207
36.0,36.0,0.25593454
37.0,37.0,0.8323695
38.0,38.0,0.48680118
39.0,39.0,0.10038283
40.0,40.0,0.65049666
41.0,41.0,0.45789647
42.0,42.0,0.54551214
43.0,43.0,0.8113162
44.0,44.0,0.39600396
45.0,45.0,0.30290052
46.0,46.0,0.6312829
47.0,47.0,0.5449221
48.0,48.0,0.57360697
49.0,49.0,0.62087095
50.0,50.0,0.5327729
51.0,51.0,0.5268521
52.0,52.0,0.63157874
53.0,53.0,0.56196153
54.0,54.0,0.18574175
55.0,55.0,0.49276847
56.0,56.0,0.19829524
57.0,57.0,0.7647939
58.0,58.0,0.562238
59.0,59.0,0.5561674
60.0,60.0,0.46736643
61.0,61.0,0.29475823
62.0,62.0,0.17004623
63.0,63.0,0.6420938
64.0,64.0,0.5541342
65.0,65.0,0.24946348
66.0,66.0,0.5268731
67.0,67.0,0.54871875
68.0,68.0,0.55442476
69.0,69.0,0.47259375
70.0,70.0,0.47684115
71.0,71.0,0.8682937
72.0,72.0,0.29842782
73.0,73.0,0.633214
74.0,74.0,0.305814
75.0,75.0,0.3262242
76.0,76.0,0.6419763
77.0,77.0,0.33655947
78.0,78.0,0.39126468
79.0,79.0,0.22696227
80.0,80.0,0.81181085
81.0,81.0,0.5043661
82.0,82.0,0.61517096
83.0,83.0,0.52122784
84.0,84.0,0.5017965
85.0,85.0,0.62905896
86.0,86.0,0.5261078
87.0,87.0,0.6532215
88.0,88.0,0.8076326
89.0,89.0,0.83581465
90.0,90.0,0.56220794
91.0,91.0,0.7860759
92.0,92.0,0.5799017
93.0,93.0,0.07995483
94.0,94.0,0.5367708
95.0,95.0,0.5444405
