x,y,species_4 cloglog values
1.0,1.0,0.31821263
2.0,2.0,0.38769326
3.0,3.0,0.23139751
4.0,4.0,0.121318094
5.0,5.0,0.6349865
6.0,6.0,0.8217649
7.0,7.0,0.606687
8.0,8.0,0.43556023
9.0,9.0,0.80753833
10.0,10.0,0.7548099
11.0,11.0,0.20559832
12.0,12.0,0.6622888
13.0,13.0,0.8068002
14.0,14.0,0.6969589
15.0,15.0,0.7348163
16.0,16.0,0.84896696
17.0,17.0,0.20824873
18.0,18.0,0.65717494
19.0,19.0,0.44863698
20.0,20.0,0.6069049
21.0,21.0,0.1701754
22.0,22.0,0.12921143
23.0,23.0,0.5894262
24.0,24.0,0.39394525
25.0,25.0,0.36530745
26.0,26.0,0.67655474
27.0,27.0,0.57656133
28.0,28.0,0.468219
29.0,29.0,0.6115862
30.0,30.0,0.31100997
31.0,31.0,0.6115862
32.0,32.0,0.8217649
33.0,33.0,0.49975035
34.0,34.0,0.82937044
35.0,35.0,0.2513097
36.0,36.0,0.5589533
37.0,37.0,0.48182666
38.0,38.0,0.15062477
39.0,39.0,0.70763516
40.0,40.0,0.52341634
41.0,41.0,0.1698908
42.0,42.0,0.5665724
43.0,43.0,0.101516105
44.0,44.0,0.22604705
45.0,45.0,0.7868953
46.0,46.0,0.59184647
47.0,47.0,0.59508157
48.0,48.0,0.36500356
49.0,49.0,0.5911094
50.0,50.0,0.64101654
51.0,51.0,0.31268564
52.0,52.0,0.21134841
53.0,53.0,0.5856423
54.0,54.0,0.7131459
55.0,55.0,0.728722
56.0,56.0,0.6079826
57.0,57.0,0.6379397
58.0,58.0,0.67636335
59.0,59.0,0.64926714
60.0,60.0,0.6557818
61.0,61.0,0.5644583
62.0,62.0,0.3865328
63.0,63.0,0.34039783
64.0,64.0,0.61306816
65.0,65.0,0.58156365
66.0,66.0,0.6581231
67.0,67.0,0.8125641
68.0,68.0,0.28014168
69.0,69.0,0.092264675
70.0,70.0,0.74164665
71.0,71.0,0.8012038
72.0,72.0,0.65812314
73.0,73.0,0.8108816
74.0,74.0,0.81054026
75.0,75.0,0.57966864
76.0,76.0,0.17128229
77.0,77.0,0.55868757
78.0,78.0,0.6802405
79.0,79.0,0.6116666
80.0,80.0,0.6176196
81.0,81.0,0.6129122
82.0,82.0,0.6690786
83.0,83.0,0.6204092
84.0,84.0,0.6353685
85.0,85.0,0.6596871
86.0,86.0,0.31372193
87.0,87.0,0.6320852
88.0,88.0,0.4426092
89.0,89.0,0.18208471
90.0,90.0,0.8036728
91.0,91.0,0.41598544
92.0,92.0,0.61567587
93.0,93.0,0.39443368
94.0,94.0,0.42713684
95.0,95.0,0.08793036
96.0,96.0,0.80676043
97.0,97.0,0.3895727
98.0,98.0,0.29880458
99.0,99.0,0.6213099
100.0,100.0,0.6204092
101.0,101.0,0.60091925
102.0,102.0,0.21739276
103.0,103.0,0.4235937
104.0,104.0,0.5424317
105.0,105.0,0.18494436
106.0,106.0,0.6852101
107.0,107.0,0.21826039
108.0,108.0,0.44914857
109.0,109.0,0.6137991
110.0,110.0,0.9353662
111.0,111.0,0.58092916
112.0,112.0,0.6956365
113.0,113.0,0.67717993
114.0,114.0,0.12494322
115.0,115.0,0.051327933
116.0,116.0,0.6204092
117.0,117.0,0.66784394
118.0,118.0,0.2043849
119.0,119.0,0.5929058
120.0,120.0,0.1262567
121.0,121.0,0.20635547
122.0,122.0,0.4221463
123.0,123.0,0.23021908
124.0,124.0,0.095040254
125.0,125.0,0.312467
126.0,126.0,0.52390975
127.0,127.0,0.7044703
128.0,128.0,0.6090892
129.0,129.0,0.09793083
130.0,130.0,0.7348543
131.0,131.0,0.23159677
132.0,132.0,0.5603128
133.0,133.0,0.30468687
134.0,134.0,0.15600091
135.0,135.0,0.46623322
136.0,136.0,0.97621065
137.0,137.0,0.6204092
138.0,138.0,0.2496459
139.0,139.0,0.48122787
140.0,140.0,0.68638057
141.0,141.0,0.6204092
142.0,142.0,0.15991396
143.0,143.0,0.2699638
144.0,144.0,0.72971666
145.0,145.0,0.511768
146.0,146.0,0.47191334
147.0,147.0,0.12407063
148.0,148.0,0.3847959
149.0,149.0,0.14132124
150.0,150.0,0.5235865
151.0,151.0,0.35714382
152.0,152.0,0.669523
153.0,153.0,0.3917926
154.0,154.0,0.5594575
155.0,155.0,0.6401378
156.0,156.0,0.64737964
157.0,157.0,0.8075052
158.0,158.0,0.75996876
159.0,159.0,0.11430295
160.0,160.0,0.4194707
161.0,161.0,0.5130103
162.0,162.0,0.53399557
163.0,163.0,0.5903498
164.0,164.0,0.6729554
165.0,165.0,0.6115862
166.0,166.0,0.4781428
167.0,167.0,0.16768087
168.0,168.0,0.6740131
169.0,169.0,0.5109965
170.0,170.0,0.1274035
171.0,171.0,0.51344144
172.0,172.0,0.5848426
173.0,173.0,0.61692405
174.0,174.0,0.562439
175.0,175.0,0.7082712
176.0,176.0,0.8217649
177.0,177.0,0.08786864
178.0,178.0,0.6704404
179.0,179.0,0.6248052
180.0,180.0,0.42983645
181.0,181.0,0.596081
182.0,182.0,0.72322124
183.0,183.0,0.08511736
184.0,184.0,0.46727246
185.0,185.0,0.20303422
186.0,186.0,0.81969273
187.0,187.0,0.24978337
188.0,188.0,0.7193676
189.0,189.0,0.6689447
190.0,190.0,0.52658904
191.0,191.0,0.80676043
192.0,192.0,0.626738
193.0,193.0,0.07217629
194.0,194.0,0.5841954
195.0,195.0,0.8217649
196.0,196.0,0.2726621
197.0,197.0,0.40057227
198.0,198.0,0.61511075
199.0,199.0,0.5602889
200.0,200.0,0.4911059
201.0,201.0,0.6129881
202.0,202.0,0.12966575
203.0,203.0,0.61917406
204.0,204.0,0.63506263
205.0,205.0,0.6118906
206.0,206.0,0.79107755
207.0,207.0,0.26089576
208.0,208.0,0.2593331
209.0,209.0,0.6268083
210.0,210.0,0.5001811
211.0,211.0,0.2835145
212.0,212.0,0.58491194
213.0,213.0,0.6546547
214.0,214.0,0.6350091
215.0,215.0,0.22016956
216.0,216.0,0.10147093
217.0,217.0,0.627999
218.0,218.0,0.7131459
219.0,219.0,0.890435
220.0,220.0,0.5745256
221.0,221.0,0.4775506
222.0,222.0,0.49014822
223.0,223.0,0.5385356
224.0,224.0,0.34197617
225.0,225.0,0.6101674
226.0,226.0,0.2859646
227.0,227.0,0.3572662
228.0,228.0,0.23526731
229.0,229.0,0.1428381
230.0,230.0,0.63539934
231.0,231.0,0.5820315
232.0,232.0,0.2911159
233.0,233.0,0.7348543
234.0,234.0,0.23672913
235.0,235.0,0.6187354
236.0,236.0,0.08983318
237.0,237.0,0.6016366
238.0,238.0,0.5698349
239.0,239.0,0.14590243
240.0,240.0,0.35082614
241.0,241.0,0.61511075
242.0,242.0,0.62360317
243.0,243.0,0.58243006
244.0,244.0,0.8002602
245.0,245.0,0.74791926
246.0,246.0,0.6969589
247.0,247.0,0.7225799
248.0,248.0,0.62646633
249.0,249.0,0.5863007
250.0,250.0,0.3011737
251.0,251.0,0.6115862
252.0,252.0,0.53438216
253.0,253.0,0.21130396
254.0,254.0,0.108009085
255.0,255.0,0.119607255
256.0,256.0,0.087598585
257.0,257.0,0.8217649
258.0,258.0,0.12125828
259.0,259.0,0.6238267
260.0,260.0,0.50219035
261.0,261.0,0.4554203
262.0,262.0,0.13674438
263.0,263.0,0.47672662
264.0,264.0,0.5796436
265.0,265.0,0.52284306
266.0,266.0,0.5608104
