variable,x,y
swa_2000lulc_2km,1.0,0.7902888059616089
swa_2000lulc_2km,2.0,0.7378135919570923
swa_2000lulc_2km,3.0,0.5805491805076599
swa_2000lulc_2km,6.0,0.7591730356216431
swa_2000lulc_2km,8.0,0.7591730356216431
swa_2000lulc_2km,9.0,0.8346476554870605
swa_2000lulc_2km,13.0,0.7750541567802429
swa_2000lulc_2km,14.0,0.7591730356216431
swa_2000lulc_2km,15.0,0.7591730356216431
swa_2000lulc_2km,21.0,0.7591730356216431
swa_2000lulc_2km,22.0,0.7591730356216431
swa_2000lulc_2km,25.0,0.8331962823867798
swa_2000lulc_2km,31.0,0.7591730356216431
swa_2000lulc_2km,78.0,0.7591730356216431
swa_2000lulc_2km,99.0,0.7591730356216431
