x,y,species max
1.0,1.0,0.46847105
2.0,2.0,0.5549259
3.0,3.0,0.5715192
4.0,4.0,0.67821074
5.0,5.0,0.8360307
6.0,6.0,0.36897036
7.0,7.0,0.47388157
8.0,8.0,0.61969584
9.0,9.0,0.61906976
10.0,10.0,0.38015118
11.0,11.0,0.45869875
12.0,12.0,0.8193198
13.0,13.0,0.61873704
14.0,14.0,0.43689746
15.0,15.0,0.4852829
16.0,16.0,0.4065461
17.0,17.0,0.75657463
18.0,18.0,0.81856734
19.0,19.0,0.83912414
20.0,20.0,0.8289637
21.0,21.0,0.73111546
22.0,22.0,0.6421132
23.0,23.0,0.87170684
24.0,24.0,0.5616495
25.0,25.0,0.39221856
26.0,26.0,0.4835395
27.0,27.0,0.65140814
28.0,28.0,0.75195044
29.0,29.0,0.6992139
30.0,30.0,0.6573817
31.0,31.0,0.6804061
32.0,32.0,0.6715785
33.0,33.0,0.68470466
34.0,34.0,0.42466512
35.0,35.0,0.55570674
36.0,36.0,0.67108095
37.0,37.0,0.8797763
38.0,38.0,0.5894495
39.0,39.0,0.891667
40.0,40.0,0.5198287
41.0,41.0,0.79291457
42.0,42.0,0.41443256
43.0,43.0,0.61400783
44.0,44.0,0.64640594
45.0,45.0,0.60848624
46.0,46.0,0.743076
47.0,47.0,0.39123353
48.0,48.0,0.44472834
49.0,49.0,0.38652235
50.0,50.0,0.59970665
51.0,51.0,0.458942
52.0,52.0,0.6136673
53.0,53.0,0.43759638
54.0,54.0,0.75692403
55.0,55.0,0.69414604
56.0,56.0,0.64381295
57.0,57.0,0.8863559
58.0,58.0,0.43152013
59.0,59.0,0.48284838
60.0,60.0,0.5616357
61.0,61.0,0.6473806
62.0,62.0,0.7301625
63.0,63.0,0.48173106
64.0,64.0,0.4124967
65.0,65.0,0.81447005
66.0,66.0,0.57180303
67.0,67.0,0.43012738
68.0,68.0,0.41214707
69.0,69.0,0.5885311
70.0,70.0,0.65172994
71.0,71.0,0.84887266
72.0,72.0,0.58656585
73.0,73.0,0.8654988
74.0,74.0,0.6809329
75.0,75.0,0.7355945
76.0,76.0,0.38493553
77.0,77.0,0.64962786
78.0,78.0,0.6634352
79.0,79.0,0.6127607
80.0,80.0,0.36004227
81.0,81.0,0.57981503
82.0,82.0,0.72081286
83.0,83.0,0.6975873
84.0,84.0,0.510828
85.0,85.0,0.75235355
86.0,86.0,0.47778034
87.0,87.0,0.38111418
88.0,88.0,0.8652679
89.0,89.0,0.36752582
90.0,90.0,0.4003685
91.0,91.0,0.36976254
92.0,92.0,0.44922993
93.0,93.0,0.9060159
94.0,94.0,0.5744225
95.0,95.0,0.3920966
96.0,96.0,0.43981326
97.0,97.0,0.8451212
98.0,98.0,0.6133346
99.0,99.0,0.41405544
100.0,100.0,0.564417
101.0,101.0,0.4679076
102.0,102.0,0.39660674
103.0,103.0,0.43233377
104.0,104.0,0.3807752
105.0,105.0,0.37928033
106.0,106.0,0.50543135
107.0,107.0,0.5808913
108.0,108.0,0.6383873
109.0,109.0,0.7836566
110.0,110.0,0.3824429
111.0,111.0,0.71596193
112.0,112.0,0.8696573
113.0,113.0,0.41842693
114.0,114.0,0.4377419
115.0,115.0,0.8046812
116.0,116.0,0.38325623
117.0,117.0,0.38454983
118.0,118.0,0.75784105
119.0,119.0,0.6331176
120.0,120.0,0.65011466
121.0,121.0,0.3799718
122.0,122.0,0.82231265
123.0,123.0,0.37554356
124.0,124.0,0.38854262
125.0,125.0,0.48459458
126.0,126.0,0.6879703
127.0,127.0,0.6626304
128.0,128.0,0.44694656
129.0,129.0,0.7843614
130.0,130.0,0.739342
