x,y,species_2 cloglog values
1.0,1.0,0.5613083
2.0,2.0,0.59800303
3.0,3.0,0.61543506
4.0,4.0,0.7033882
5.0,5.0,0.42575908
6.0,6.0,0.40724742
7.0,7.0,0.43137512
8.0,8.0,0.568465
9.0,9.0,0.40807483
10.0,10.0,0.40976813
11.0,11.0,0.71929055
12.0,12.0,0.42293325
13.0,13.0,0.40799168
14.0,14.0,0.4075132
15.0,15.0,0.41281563
16.0,16.0,0.8615981
17.0,17.0,0.5824581
18.0,18.0,0.4845114
19.0,19.0,0.55247504
20.0,20.0,0.49304938
21.0,21.0,0.7266748
22.0,22.0,0.7267074
23.0,23.0,0.52359307
24.0,24.0,0.5831001
25.0,25.0,0.5538288
26.0,26.0,0.50439346
27.0,27.0,0.4313481
28.0,28.0,0.58296984
29.0,29.0,0.43449083
30.0,30.0,0.7645218
31.0,31.0,0.43449083
32.0,32.0,0.40716055
33.0,33.0,0.5109086
34.0,34.0,0.7928818
35.0,35.0,0.8896663
36.0,36.0,0.85862863
37.0,37.0,0.78201294
38.0,38.0,0.6462249
39.0,39.0,0.4163803
40.0,40.0,0.4851956
41.0,41.0,0.7300302
42.0,42.0,0.43078724
43.0,43.0,0.6967261
44.0,44.0,0.81248564
45.0,45.0,0.6312451
46.0,46.0,0.8545795
47.0,47.0,0.71715575
48.0,48.0,0.73570997
49.0,49.0,0.77299285
50.0,50.0,0.46825126
51.0,51.0,0.67323834
52.0,52.0,0.6607917
53.0,53.0,0.38910922
54.0,54.0,0.41566196
55.0,55.0,0.3961917
56.0,56.0,0.49160066
57.0,57.0,0.45888707
58.0,58.0,0.8464452
59.0,59.0,0.43766794
60.0,60.0,0.43019056
61.0,61.0,0.44051257
62.0,62.0,0.5566456
63.0,63.0,0.5641205
64.0,64.0,0.47975254
65.0,65.0,0.440105
66.0,66.0,0.42277893
67.0,67.0,0.6522967
68.0,68.0,0.6344275
69.0,69.0,0.80146533
70.0,70.0,0.41033933
71.0,71.0,0.4071005
72.0,72.0,0.4227789
73.0,73.0,0.40789604
74.0,74.0,0.64838356
75.0,75.0,0.45527053
76.0,76.0,0.62272066
77.0,77.0,0.44198743
78.0,78.0,0.68138313
79.0,79.0,0.48183727
80.0,80.0,0.42934158
81.0,81.0,0.4252043
82.0,82.0,0.42136812
83.0,83.0,0.44554043
84.0,84.0,0.4646108
85.0,85.0,0.4258229
86.0,86.0,0.65084255
87.0,87.0,0.45396313
88.0,88.0,0.51515925
89.0,89.0,0.8279873
90.0,90.0,0.40775385
91.0,91.0,0.8609302
92.0,92.0,0.83146214
93.0,93.0,0.69836587
94.0,94.0,0.59582925
95.0,95.0,0.7900235
96.0,96.0,0.4076343
97.0,97.0,0.58951914
98.0,98.0,0.5625352
99.0,99.0,0.433238
100.0,100.0,0.4455404
101.0,101.0,0.44147322
102.0,102.0,0.8738074
103.0,103.0,0.5824751
104.0,104.0,0.46028134
105.0,105.0,0.70906335
106.0,106.0,0.4175155
107.0,107.0,0.7931799
108.0,108.0,0.605793
109.0,109.0,0.44024014
110.0,110.0,0.86716634
111.0,111.0,0.45229205
112.0,112.0,0.5174223
113.0,113.0,0.510147
114.0,114.0,0.6541643
115.0,115.0,0.7169533
116.0,116.0,0.4455404
117.0,117.0,0.88017374
118.0,118.0,0.7438913
119.0,119.0,0.7176245
120.0,120.0,0.6994046
121.0,121.0,0.60699767
122.0,122.0,0.5649439
123.0,123.0,0.7320627
124.0,124.0,0.6984934
125.0,125.0,0.55273914
126.0,126.0,0.70520437
127.0,127.0,0.74649763
128.0,128.0,0.43435887
129.0,129.0,0.7786601
130.0,130.0,0.41281062
131.0,131.0,0.56792617
132.0,132.0,0.5842458
133.0,133.0,0.6578069
134.0,134.0,0.6895266
135.0,135.0,0.7462934
136.0,136.0,0.8343612
137.0,137.0,0.4455404
138.0,138.0,0.5752114
139.0,139.0,0.61832076
140.0,140.0,0.5211473
141.0,141.0,0.4455404
142.0,142.0,0.73699564
143.0,143.0,0.72582996
144.0,144.0,0.41057557
145.0,145.0,0.50369006
146.0,146.0,0.69636863
147.0,147.0,0.6932874
148.0,148.0,0.5571121
149.0,149.0,0.61032695
150.0,150.0,0.6303577
151.0,151.0,0.5529296
152.0,152.0,0.42067003
153.0,153.0,0.4949488
154.0,154.0,0.55522966
155.0,155.0,0.44858682
156.0,156.0,0.42416215
157.0,157.0,0.40829042
158.0,158.0,0.61454
159.0,159.0,0.66386414
160.0,160.0,0.60984266
161.0,161.0,0.50213534
162.0,162.0,0.47611773
163.0,163.0,0.45527053
164.0,164.0,0.6970212
165.0,165.0,0.43449083
166.0,166.0,0.50913906
167.0,167.0,0.68733835
168.0,168.0,0.41746932
169.0,169.0,0.50194484
170.0,170.0,0.68781304
171.0,171.0,0.5497811
172.0,172.0,0.45527053
173.0,173.0,0.4441651
174.0,174.0,0.46887717
175.0,175.0,0.41596857
176.0,176.0,0.40724742
177.0,177.0,0.6697917
178.0,178.0,0.4948001
179.0,179.0,0.46580738
180.0,180.0,0.55160713
181.0,181.0,0.84242684
182.0,182.0,0.66614187
183.0,183.0,0.6845791
184.0,184.0,0.536705
185.0,185.0,0.58180285
186.0,186.0,0.811864
187.0,187.0,0.6450755
188.0,188.0,0.4143066
189.0,189.0,0.49812788
190.0,190.0,0.6994494
191.0,191.0,0.4076343
192.0,192.0,0.45185274
193.0,193.0,0.69173986
194.0,194.0,0.45527053
195.0,195.0,0.40720397
196.0,196.0,0.607089
197.0,197.0,0.66251504
198.0,198.0,0.44188538
199.0,199.0,0.4409149
200.0,200.0,0.8288551
201.0,201.0,0.5020832
202.0,202.0,0.6981726
203.0,203.0,0.44398478
204.0,204.0,0.4642166
205.0,205.0,0.49160063
206.0,206.0,0.8482533
207.0,207.0,0.7839824
208.0,208.0,0.5873119
209.0,209.0,0.45364633
210.0,210.0,0.55435497
211.0,211.0,0.68945307
212.0,212.0,0.47604033
213.0,213.0,0.4805682
214.0,214.0,0.46723834
215.0,215.0,0.6182622
216.0,216.0,0.7282151
217.0,217.0,0.42196143
218.0,218.0,0.41566196
219.0,219.0,0.7562832
220.0,220.0,0.44168296
221.0,221.0,0.49307913
222.0,222.0,0.84645844
223.0,223.0,0.7277864
224.0,224.0,0.5327934
225.0,225.0,0.43272766
226.0,226.0,0.6851463
227.0,227.0,0.560335
228.0,228.0,0.65210116
229.0,229.0,0.68217397
230.0,230.0,0.4589039
231.0,231.0,0.45387873
232.0,232.0,0.6487321
233.0,233.0,0.41281062
234.0,234.0,0.57778156
235.0,235.0,0.48327237
236.0,236.0,0.74501055
237.0,237.0,0.4757924
238.0,238.0,0.47077987
239.0,239.0,0.7758646
240.0,240.0,0.7822612
241.0,241.0,0.44188538
242.0,242.0,0.45261526
243.0,243.0,0.5873185
244.0,244.0,0.40851527
245.0,245.0,0.748629
246.0,246.0,0.4074263
247.0,247.0,0.40930888
248.0,248.0,0.5113903
249.0,249.0,0.49534115
250.0,250.0,0.65645003
251.0,251.0,0.43449083
252.0,252.0,0.47021854
253.0,253.0,0.664904
254.0,254.0,0.68926233
255.0,255.0,0.77888227
256.0,256.0,0.79720527
257.0,257.0,0.407443
258.0,258.0,0.77152175
259.0,259.0,0.46725532
260.0,260.0,0.49170622
261.0,261.0,0.7513354
262.0,262.0,0.68284416
263.0,263.0,0.55714357
264.0,264.0,0.44469178
265.0,265.0,0.7062897
266.0,266.0,0.47693595
267.0,267.0,0.7662903
268.0,268.0,0.6734741
269.0,269.0,0.5533691
270.0,270.0,0.4100464
271.0,271.0,0.85674685
272.0,272.0,0.40688333
273.0,273.0,0.4441651
274.0,274.0,0.863061
275.0,275.0,0.40823236
276.0,276.0,0.68739945
277.0,277.0,0.8118846
278.0,278.0,0.5517078
279.0,279.0,0.44328487
280.0,280.0,0.796517
281.0,281.0,0.7557352
282.0,282.0,0.5472894
283.0,283.0,0.7808129
284.0,284.0,0.45564783
285.0,285.0,0.5527827
286.0,286.0,0.56560755
287.0,287.0,0.44031438
288.0,288.0,0.48825708
289.0,289.0,0.41466844
290.0,290.0,0.69839877
291.0,291.0,0.6894344
292.0,292.0,0.4809184
293.0,293.0,0.48350587
294.0,294.0,0.7214818
