variable,x,y
swa_2000lulc_2km,1.0,0.8990915417671204
swa_2000lulc_2km,2.0,0.5611181855201721
swa_2000lulc_2km,3.0,0.8545814156532288
swa_2000lulc_2km,6.0,0.8545814156532288
swa_2000lulc_2km,8.0,0.8545814156532288
swa_2000lulc_2km,9.0,0.8545814156532288
swa_2000lulc_2km,13.0,0.9238840341567993
swa_2000lulc_2km,14.0,0.8545814156532288
swa_2000lulc_2km,15.0,0.8545814156532288
swa_2000lulc_2km,21.0,0.8172763586044312
swa_2000lulc_2km,22.0,0.8545814156532288
swa_2000lulc_2km,25.0,0.8545814156532288
swa_2000lulc_2km,31.0,0.8545814156532288
swa_2000lulc_2km,78.0,0.8545814156532288
swa_2000lulc_2km,99.0,0.8545814156532288
