variable,x,y
swa_2000lulc_2km,1.0,0.3389088809490204
swa_2000lulc_2km,2.0,0.7082907557487488
swa_2000lulc_2km,3.0,0.6145467758178711
swa_2000lulc_2km,7.0,0.6145467758178711
swa_2000lulc_2km,8.0,0.5704718828201294
swa_2000lulc_2km,9.0,0.6426317691802979
swa_2000lulc_2km,12.0,0.6145467758178711
swa_2000lulc_2km,13.0,0.8321570754051208
swa_2000lulc_2km,14.0,0.6145467758178711
swa_2000lulc_2km,15.0,0.6145467758178711
swa_2000lulc_2km,21.0,0.4765530526638031
swa_2000lulc_2km,25.0,0.6145467758178711
swa_2000lulc_2km,31.0,0.6145467758178711
swa_2000lulc_2km,99.0,0.6145467758178711
