x,y,species stddev
1.0,1.0,0.019818125
2.0,2.0,0.020686945
3.0,3.0,0.01697558
4.0,4.0,0.016743254
5.0,5.0,0.0107021695
6.0,6.0,0.0043419194
7.0,7.0,0.01836935
8.0,8.0,0.016020408
9.0,9.0,0.006896176
10.0,10.0,0.008533597
11.0,11.0,0.01730532
12.0,12.0,0.010005993
13.0,13.0,0.0060392353
14.0,14.0,0.0062165833
15.0,15.0,0.014703236
16.0,16.0,0.048561018
17.0,17.0,0.01988405
18.0,18.0,0.02075571
19.0,19.0,0.012387463
20.0,20.0,0.009890533
21.0,21.0,0.016884452
22.0,22.0,0.016808007
23.0,23.0,0.017571937
24.0,24.0,0.0153460065
25.0,25.0,0.019022973
26.0,26.0,0.027790949
27.0,27.0,0.019779805
28.0,28.0,0.018864391
29.0,29.0,0.019365126
30.0,30.0,0.016793638
31.0,31.0,0.021282246
32.0,32.0,0.0038119939
33.0,33.0,0.01923799
34.0,34.0,0.014068352
35.0,35.0,0.01619977
36.0,36.0,0.013539525
37.0,37.0,0.01738283
38.0,38.0,0.014626741
39.0,39.0,0.012630873
40.0,40.0,0.01661385
41.0,41.0,0.016786372
42.0,42.0,0.015679155
43.0,43.0,0.017455654
44.0,44.0,0.016583728
45.0,45.0,0.02081469
46.0,46.0,0.016718326
47.0,47.0,0.017819911
48.0,48.0,0.016693879
49.0,49.0,0.015361373
50.0,50.0,0.022537593
51.0,51.0,0.016757429
52.0,52.0,0.016810516
53.0,53.0,0.036058474
54.0,54.0,0.014138411
55.0,55.0,0.02012909
56.0,56.0,0.010390889
57.0,57.0,0.023479562
58.0,58.0,0.016337859
59.0,59.0,0.012077278
60.0,60.0,0.010947331
61.0,61.0,0.013212566
62.0,62.0,0.015493809
63.0,63.0,0.017831573
64.0,64.0,0.01644997
65.0,65.0,0.010717556
66.0,66.0,0.015911825
67.0,67.0,0.017589323
68.0,68.0,0.017294373
69.0,69.0,0.016305082
70.0,70.0,0.012280123
71.0,71.0,0.009282624
72.0,72.0,0.015750442
73.0,73.0,0.006675353
74.0,74.0,0.018224047
75.0,75.0,0.009194714
76.0,76.0,0.017031334
77.0,77.0,0.014396543
78.0,78.0,0.01982081
79.0,79.0,0.012024744
80.0,80.0,0.023699783
81.0,81.0,0.02087814
82.0,82.0,0.009753674
83.0,83.0,0.018896084
84.0,84.0,0.0049267486
85.0,85.0,0.010247245
86.0,86.0,0.01615522
87.0,87.0,0.023932781
88.0,88.0,0.011616118
89.0,89.0,0.016835647
90.0,90.0,0.0043825456
91.0,91.0,0.01760928
92.0,92.0,0.015891353
93.0,93.0,0.018485483
94.0,94.0,0.018984789
95.0,95.0,0.016777795
96.0,96.0,0.002707498
97.0,97.0,0.015604142
98.0,98.0,0.019532228
99.0,99.0,0.02876984
100.0,100.0,0.014978355
101.0,101.0,0.011587325
102.0,102.0,0.016485881
103.0,103.0,0.016288606
104.0,104.0,0.016786106
105.0,105.0,0.017689439
106.0,106.0,0.0012713159
107.0,107.0,0.016598782
108.0,108.0,0.021647312
109.0,109.0,0.015107654
110.0,110.0,0.051670093
111.0,111.0,0.013864103
112.0,112.0,0.02202466
113.0,113.0,0.018593675
114.0,114.0,0.01457718
115.0,115.0,0.0066397646
116.0,116.0,0.01692901
117.0,117.0,0.046606492
118.0,118.0,0.017073039
119.0,119.0,0.018146092
120.0,120.0,0.016201923
121.0,121.0,0.017290017
122.0,122.0,0.01470389
123.0,123.0,0.017380415
124.0,124.0,0.01630452
125.0,125.0,0.01801745
126.0,126.0,0.018347468
127.0,127.0,0.014453223
128.0,128.0,0.018029977
129.0,129.0,0.016547535
130.0,130.0,0.014901936
131.0,131.0,0.017311957
132.0,132.0,0.020225046
133.0,133.0,0.016203225
134.0,134.0,0.016603986
135.0,135.0,0.017127214
136.0,136.0,0.04616501
137.0,137.0,0.017517982
138.0,138.0,0.016892806
139.0,139.0,0.019106263
140.0,140.0,0.020045934
141.0,141.0,0.01273118
142.0,142.0,0.016897997
143.0,143.0,0.017396666
144.0,144.0,0.015261017
145.0,145.0,0.018462725
146.0,146.0,0.018353194
147.0,147.0,0.017385302
148.0,148.0,0.015816562
149.0,149.0,0.015381238
150.0,150.0,0.020460788
151.0,151.0,0.018424772
152.0,152.0,0.008236699
153.0,153.0,0.019009076
154.0,154.0,0.024496844
155.0,155.0,0.0151755465
156.0,156.0,0.011853146
157.0,157.0,0.008587814
158.0,158.0,0.010552584
159.0,159.0,0.016665284
160.0,160.0,0.021689754
161.0,161.0,0.018464565
162.0,162.0,0.016957946
163.0,163.0,0.009881613
164.0,164.0,0.020391772
165.0,165.0,0.02002029
166.0,166.0,0.017577954
167.0,167.0,0.017293354
168.0,168.0,0.01470502
169.0,169.0,0.015469062
170.0,170.0,0.01765512
171.0,171.0,0.015789213
172.0,172.0,0.008559575
173.0,173.0,0.019523522
174.0,174.0,0.011063482
175.0,175.0,0.011509393
176.0,176.0,0.0044236137
177.0,177.0,0.01114328
178.0,178.0,0.03047789
179.0,179.0,0.014887422
180.0,180.0,0.019593183
181.0,181.0,0.01643773
182.0,182.0,0.014184329
183.0,183.0,0.016364137
184.0,184.0,0.017828725
185.0,185.0,0.02008417
186.0,186.0,0.0187595
187.0,187.0,0.016824484
188.0,188.0,0.009541672
189.0,189.0,0.015929177
190.0,190.0,0.013923337
191.0,191.0,0.0054272646
192.0,192.0,0.017445464
193.0,193.0,0.016102837
194.0,194.0,0.008970398
195.0,195.0,0.004113592
196.0,196.0,0.017164517
197.0,197.0,0.016307253
198.0,198.0,0.005965531
199.0,199.0,0.013701023
200.0,200.0,0.016638778
201.0,201.0,0.013456996
202.0,202.0,0.016529435
203.0,203.0,0.014209647
204.0,204.0,0.006492423
205.0,205.0,0.009819661
206.0,206.0,0.0477745
207.0,207.0,0.013898632
208.0,208.0,0.017267395
209.0,209.0,0.018252809
210.0,210.0,0.01631701
211.0,211.0,0.017718924
212.0,212.0,0.010892387
213.0,213.0,0.021129362
214.0,214.0,0.0091305785
215.0,215.0,0.017622704
216.0,216.0,0.016401025
217.0,217.0,0.010288376
218.0,218.0,0.019410102
219.0,219.0,0.014653328
220.0,220.0,0.0099206865
221.0,221.0,0.009166314
222.0,222.0,0.016657814
223.0,223.0,0.018331904
224.0,224.0,0.019229203
225.0,225.0,0.014057538
226.0,226.0,0.016691348
227.0,227.0,0.016581869
228.0,228.0,0.01685991
229.0,229.0,0.018647963
230.0,230.0,0.023315959
231.0,231.0,0.009339072
232.0,232.0,0.017471898
233.0,233.0,0.019874323
234.0,234.0,0.019589292
235.0,235.0,0.011699856
236.0,236.0,0.0172597
237.0,237.0,0.01004593
238.0,238.0,0.01634914
239.0,239.0,0.016561301
240.0,240.0,0.016947769
241.0,241.0,0.0074603106
242.0,242.0,0.012813462
243.0,243.0,0.020695928
244.0,244.0,0.010189191
245.0,245.0,0.01849966
246.0,246.0,0.0055364454
247.0,247.0,0.015800098
248.0,248.0,0.015561204
249.0,249.0,0.009533199
250.0,250.0,0.016222613
251.0,251.0,0.02056168
252.0,252.0,0.016477684
253.0,253.0,0.017249832
254.0,254.0,0.017274234
255.0,255.0,0.016776877
256.0,256.0,0.016422885
257.0,257.0,0.0058729253
258.0,258.0,0.016661044
259.0,259.0,0.015999567
260.0,260.0,0.0173728
261.0,261.0,0.015722007
262.0,262.0,0.014396946
263.0,263.0,0.016969185
264.0,264.0,0.014928483
265.0,265.0,0.015539582
266.0,266.0,0.013876525
267.0,267.0,0.015048155
268.0,268.0,0.01759561
269.0,269.0,0.015616802
270.0,270.0,0.0113725895
271.0,271.0,0.015708936
272.0,272.0,0.007816134
273.0,273.0,0.018012624
274.0,274.0,0.013250819
275.0,275.0,0.008138009
