x,y,species median
1.0,1.0,0.37801483
2.0,2.0,0.6670871
3.0,3.0,0.17019576
4.0,4.0,0.672025
5.0,5.0,0.3905914
6.0,6.0,0.33008394
7.0,7.0,0.4787605
8.0,8.0,0.2897816
9.0,9.0,0.12570585
10.0,10.0,0.0854761
11.0,11.0,0.3836703
12.0,12.0,0.17630118
13.0,13.0,0.5310051
14.0,14.0,0.5357407
15.0,15.0,0.31738403
16.0,16.0,0.64785624
17.0,17.0,0.06782585
18.0,18.0,0.08474617
19.0,19.0,0.28526524
20.0,20.0,0.09346312
21.0,21.0,0.22254391
22.0,22.0,0.64756763
23.0,23.0,0.30104125
24.0,24.0,0.17350559
25.0,25.0,0.023441615
26.0,26.0,0.7148439
27.0,27.0,0.6748138
28.0,28.0,0.12543343
29.0,29.0,0.42582518
30.0,30.0,0.05183428
31.0,31.0,0.037804972
32.0,32.0,0.24363244
33.0,33.0,0.3001527
34.0,34.0,0.21261178
35.0,35.0,0.16588558
36.0,36.0,0.5149048
37.0,37.0,0.63238174
38.0,38.0,0.031955548
39.0,39.0,0.07706648
40.0,40.0,0.57588917
41.0,41.0,0.12681158
42.0,42.0,0.028985864
43.0,43.0,0.130456
44.0,44.0,0.61109793
45.0,45.0,0.09544525
46.0,46.0,0.57418984
47.0,47.0,0.46138057
48.0,48.0,0.5303449
49.0,49.0,0.6881495
50.0,50.0,0.38311437
51.0,51.0,0.48390433
52.0,52.0,0.038472526
53.0,53.0,0.1884555
54.0,54.0,0.69582736
55.0,55.0,0.7362659
56.0,56.0,0.37521327
57.0,57.0,0.10011317
58.0,58.0,0.674718
59.0,59.0,0.01149738
60.0,60.0,0.4348498
61.0,61.0,0.42469442
62.0,62.0,0.37586978
63.0,63.0,0.057167597
64.0,64.0,0.59887886
65.0,65.0,0.16519244
66.0,66.0,0.30187696
67.0,67.0,0.014872807
68.0,68.0,0.0525317
69.0,69.0,0.5870954
70.0,70.0,0.23955077
71.0,71.0,0.57098377
72.0,72.0,0.5151076
73.0,73.0,0.67423475
74.0,74.0,0.6711568
75.0,75.0,0.12039614
76.0,76.0,0.2486884
77.0,77.0,0.40713787
78.0,78.0,0.22901246
79.0,79.0,0.3635073
80.0,80.0,0.44874042
81.0,81.0,0.30643633
82.0,82.0,0.37216827
83.0,83.0,0.014714833
84.0,84.0,0.63274086
85.0,85.0,0.19357924
86.0,86.0,0.56909084
87.0,87.0,0.034042735
88.0,88.0,0.08075648
89.0,89.0,0.6632622
90.0,90.0,0.015228479
91.0,91.0,0.18269804
92.0,92.0,0.51735455
93.0,93.0,0.76275927
94.0,94.0,0.119687915
95.0,95.0,0.32954195
96.0,96.0,0.053422906
97.0,97.0,0.014320239
98.0,98.0,0.3100068
99.0,99.0,0.039017197
100.0,100.0,0.2974895
101.0,101.0,0.5350548
102.0,102.0,0.09679299
103.0,103.0,0.5273832
104.0,104.0,0.5221393
105.0,105.0,0.11607222
106.0,106.0,0.021223167
107.0,107.0,0.09306269
108.0,108.0,0.22475384
109.0,109.0,0.040391356
110.0,110.0,0.103173874
111.0,111.0,0.56954837
112.0,112.0,0.103238076
113.0,113.0,0.048453156
114.0,114.0,0.25923786
115.0,115.0,0.6905604
116.0,116.0,0.071553044
117.0,117.0,0.40301841
118.0,118.0,0.3777022
119.0,119.0,0.041566405
120.0,120.0,0.16465926
121.0,121.0,0.67135227
122.0,122.0,0.36872816
123.0,123.0,0.0163407
124.0,124.0,0.03824705
125.0,125.0,0.03592793
126.0,126.0,0.702304
127.0,127.0,0.6111357
128.0,128.0,0.52923304
129.0,129.0,0.35498655
130.0,130.0,0.10581215
131.0,131.0,0.5562359
132.0,132.0,0.056389853
133.0,133.0,0.38323945
134.0,134.0,0.635435
135.0,135.0,0.7136633
136.0,136.0,0.3755346
137.0,137.0,0.20961069
138.0,138.0,0.73081374
139.0,139.0,0.12980025
140.0,140.0,0.5617394
141.0,141.0,0.4655497
142.0,142.0,0.7042918
143.0,143.0,0.61907536
144.0,144.0,0.041329253
145.0,145.0,0.19721496
146.0,146.0,0.42930883
147.0,147.0,0.046833355
148.0,148.0,0.019960731
149.0,149.0,0.23237807
150.0,150.0,0.10892617
151.0,151.0,0.6736977
152.0,152.0,0.5532467
153.0,153.0,0.37502015
154.0,154.0,0.6813842
155.0,155.0,0.52591604
156.0,156.0,0.60199356
157.0,157.0,0.47094756
158.0,158.0,0.035995144
159.0,159.0,0.7415821
160.0,160.0,0.19050492
161.0,161.0,0.01752931
162.0,162.0,0.039027803
163.0,163.0,0.017029097
164.0,164.0,0.2813024
165.0,165.0,0.61716545
166.0,166.0,0.1759979
167.0,167.0,0.7357441
168.0,168.0,0.038256098
169.0,169.0,0.01697415
170.0,170.0,0.016702466
171.0,171.0,0.63240963
172.0,172.0,0.7207984
173.0,173.0,0.022143057
174.0,174.0,0.47792667
175.0,175.0,0.039870467
176.0,176.0,0.59201336
177.0,177.0,0.17354605
178.0,178.0,0.46894848
179.0,179.0,0.7039141
180.0,180.0,0.093420595
181.0,181.0,0.027116872
182.0,182.0,0.014583074
183.0,183.0,0.64108187
184.0,184.0,0.5651349
185.0,185.0,0.53015494
186.0,186.0,0.058064062
187.0,187.0,0.018260725
188.0,188.0,0.5415945
