x,y,species median
1.0,1.0,0.19831887
2.0,2.0,0.589646
3.0,3.0,0.3869197
4.0,4.0,0.64146286
5.0,5.0,0.020511024
6.0,6.0,0.034168914
7.0,7.0,0.028878968
8.0,8.0,0.37787667
9.0,9.0,0.038397394
10.0,10.0,0.045545615
11.0,11.0,0.701637
12.0,12.0,0.07279681
13.0,13.0,0.03630511
14.0,14.0,0.10795691
15.0,15.0,0.017511157
16.0,16.0,0.7437779
17.0,17.0,0.6539381
18.0,18.0,0.05551024
19.0,19.0,0.4050057
20.0,20.0,0.10345807
21.0,21.0,0.6456521
22.0,22.0,0.6975558
23.0,23.0,0.3656872
24.0,24.0,0.4664181
25.0,25.0,0.6025727
26.0,26.0,0.014018734
27.0,27.0,0.08414573
28.0,28.0,0.50087184
29.0,29.0,0.010992012
30.0,30.0,0.58778733
31.0,31.0,0.012107912
32.0,32.0,0.031590186
33.0,33.0,0.15136442
34.0,34.0,0.5748455
35.0,35.0,0.70641327
36.0,36.0,0.8013685
37.0,37.0,0.6334702
38.0,38.0,0.44463164
39.0,39.0,0.031114608
40.0,40.0,0.12563534
41.0,41.0,0.6458302
42.0,42.0,0.08133031
43.0,43.0,0.6893229
44.0,44.0,0.6754196
45.0,45.0,0.018289126
46.0,46.0,0.6455229
47.0,47.0,0.800855
48.0,48.0,0.6140869
49.0,49.0,0.5233889
50.0,50.0,0.01207759
51.0,51.0,0.5767737
52.0,52.0,0.5858629
53.0,53.0,0.006887339
54.0,54.0,0.012760028
55.0,55.0,0.008548951
56.0,56.0,0.20839712
57.0,57.0,0.011171626
58.0,58.0,0.54185903
59.0,59.0,0.08572522
60.0,60.0,0.0799718
61.0,61.0,0.08542546
62.0,62.0,0.42147076
63.0,63.0,0.27989063
64.0,64.0,0.42185345
65.0,65.0,0.14024697
66.0,66.0,0.01642731
67.0,67.0,0.03652556
68.0,68.0,0.44069752
69.0,69.0,0.7468538
70.0,70.0,0.055262983
71.0,71.0,0.11596012
72.0,72.0,0.018449157
73.0,73.0,0.04054666
74.0,74.0,0.035439465
